Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1985,4,12,0,NA,NA,NA,NA,NA
1985,4,12,3,NA,NA,NA,NA,NA
1985,4,12,6,NA,NA,NA,NA,NA
1985,4,12,9,-14.94,NA,NA,NA,NA
1985,4,12,12,NA,NA,NA,NA,NA
1985,4,12,15,NA,NA,NA,NA,NA
1985,4,12,18,-14.09,NA,NA,NA,NA
1985,4,12,21,-13.9,NA,NA,NA,NA
1985,4,13,0,NA,NA,NA,NA,NA
1985,4,13,3,NA,NA,NA,NA,NA
1985,4,13,6,NA,NA,NA,NA,NA
1985,4,13,9,NA,NA,NA,NA,NA
1985,4,13,12,-13.87,NA,NA,NA,NA
1985,4,13,15,-15.02,NA,NA,NA,NA
1985,4,13,18,-15.15,NA,NA,NA,NA
1985,4,13,21,NA,NA,NA,NA,NA
1985,4,14,0,NA,NA,NA,NA,NA
1985,4,14,3,NA,NA,NA,NA,NA
1985,4,14,6,NA,NA,NA,NA,NA
1985,4,14,9,NA,NA,NA,NA,NA
1985,4,14,12,-21.34,NA,NA,NA,NA
1985,4,14,15,-21.92,NA,NA,NA,NA
1985,4,14,18,NA,NA,NA,NA,NA
1985,4,14,21,NA,NA,NA,NA,NA
1985,4,15,0,NA,NA,NA,NA,NA
1985,4,15,3,NA,NA,NA,NA,NA
1985,4,15,6,NA,NA,NA,NA,NA
1985,4,15,9,-29.01,NA,NA,NA,NA
1985,4,15,12,-30.22,NA,NA,NA,NA
1985,4,15,15,-32.06,NA,NA,NA,NA
1985,4,15,18,NA,NA,NA,NA,NA
1985,4,15,21,NA,NA,NA,NA,NA
1985,4,16,0,NA,NA,NA,NA,NA
1985,4,16,3,NA,NA,NA,NA,NA
1985,4,16,6,NA,NA,NA,NA,NA
1985,4,16,9,NA,NA,NA,NA,NA
1985,4,16,12,-20.44,NA,NA,NA,NA
1985,4,16,15,-19.8,NA,NA,NA,NA
1985,4,16,18,NA,NA,NA,NA,NA
1985,4,16,21,NA,NA,NA,NA,NA
1985,4,17,0,NA,NA,NA,NA,NA
1985,4,17,3,-23.37,NA,NA,NA,NA
1985,4,17,6,-24.07,NA,NA,NA,NA
1985,4,17,9,-26.86,NA,NA,NA,NA
1985,4,17,12,-27.82,NA,NA,NA,NA
1985,4,17,15,NA,NA,NA,NA,NA
1985,4,17,18,-29.49,NA,NA,NA,NA
1985,4,17,21,-31.07,NA,NA,NA,NA
1985,4,18,0,NA,NA,NA,NA,NA
1985,4,18,3,NA,NA,NA,NA,NA
1985,4,18,6,NA,NA,NA,NA,NA
1985,4,18,9,NA,NA,NA,NA,NA
1985,4,18,12,-35.11,NA,NA,NA,NA
1985,4,18,15,-36.3,NA,NA,NA,NA
1985,4,18,18,-36.96,NA,NA,NA,NA
1985,4,18,21,-37.15,NA,NA,NA,NA
1985,4,19,0,NA,NA,NA,NA,NA
1985,4,19,3,NA,NA,NA,NA,NA
1985,4,19,6,-35.7,NA,NA,NA,NA
1985,4,19,9,NA,NA,NA,NA,NA
1985,4,19,12,NA,NA,NA,NA,NA
1985,4,19,15,-37.42,NA,NA,NA,NA
1985,4,19,18,-36.79,NA,NA,NA,NA
1985,4,19,21,-36.46,NA,NA,NA,NA
1985,4,20,0,NA,NA,NA,NA,NA
1985,4,20,3,-35.57,NA,NA,NA,NA
1985,4,20,6,-34.72,NA,NA,NA,NA
1985,4,20,9,-34.9,NA,NA,NA,NA
1985,4,20,12,NA,NA,NA,NA,NA
1985,4,20,15,NA,NA,NA,NA,NA
1985,4,20,18,-34.01,NA,NA,NA,NA
1985,4,20,21,-31.88,NA,NA,NA,NA
1985,4,21,0,NA,NA,NA,NA,NA
1985,4,21,3,NA,NA,NA,NA,NA
1985,4,21,6,-28.09,NA,NA,NA,NA
1985,4,21,9,-27.62,NA,NA,NA,NA
1985,4,21,12,NA,NA,NA,NA,NA
1985,4,21,15,NA,NA,NA,NA,NA
1985,4,21,18,-23.74,NA,NA,NA,NA
1985,4,21,21,-23.31,NA,NA,NA,NA
1985,4,22,0,NA,NA,NA,NA,NA
1985,4,22,3,NA,NA,NA,NA,NA
1985,4,22,6,NA,NA,NA,NA,NA
1985,4,22,9,-28.41,NA,NA,NA,NA
1985,4,22,12,-32.09,NA,NA,NA,NA
1985,4,22,15,NA,NA,NA,NA,NA
1985,4,22,18,NA,NA,NA,NA,NA
1985,4,22,21,NA,NA,NA,NA,NA
1985,4,23,0,NA,NA,NA,NA,NA
1985,4,23,3,NA,NA,NA,NA,NA
1985,4,23,6,NA,NA,NA,NA,NA
1985,4,23,9,-38.41,NA,NA,NA,NA
1985,4,23,12,-37.66,NA,NA,NA,NA
1985,4,23,15,-37.82,NA,NA,NA,NA
1985,4,23,18,NA,NA,NA,NA,NA
1985,4,23,21,-38.3,NA,NA,NA,NA
1985,4,24,0,NA,NA,NA,NA,NA
1985,4,24,3,NA,NA,NA,NA,NA
1985,4,24,6,-35.69,NA,NA,NA,NA
1985,4,24,9,-34.34,NA,NA,NA,NA
1985,4,24,12,NA,NA,NA,NA,NA
1985,4,24,15,-30.45,NA,NA,NA,NA
1985,4,24,18,-28.89,NA,NA,NA,NA
1985,4,24,21,-27.87,NA,NA,NA,NA
1985,4,25,0,-26.97,NA,NA,NA,NA
1985,4,25,3,NA,NA,NA,NA,NA
1985,4,25,6,NA,NA,NA,NA,NA
1985,4,25,9,NA,NA,NA,NA,NA
1985,4,25,12,-27.91,NA,NA,NA,NA
1985,4,25,15,-29.65,NA,NA,NA,NA
1985,4,25,18,-31.09,NA,NA,NA,NA
1985,4,25,21,-31.94,NA,NA,NA,NA
1985,4,26,0,NA,NA,NA,NA,NA
1985,4,26,3,-32.65,NA,NA,NA,NA
1985,4,26,6,-32.23,NA,NA,NA,NA
1985,4,26,9,NA,NA,NA,NA,NA
1985,4,26,12,-31.96,NA,NA,NA,NA
1985,4,26,15,-34.01,NA,NA,NA,NA
1985,4,26,18,NA,NA,NA,NA,NA
1985,4,26,21,NA,NA,NA,NA,NA
1985,4,27,0,NA,NA,NA,NA,NA
1985,4,27,3,NA,NA,NA,NA,NA
1985,4,27,6,NA,NA,NA,NA,NA
1985,4,27,9,NA,NA,NA,NA,NA
1985,4,27,12,-38.25,NA,NA,NA,NA
1985,4,27,15,-36,NA,NA,NA,NA
1985,4,27,18,-34.64,NA,NA,NA,NA
1985,4,27,21,NA,NA,NA,NA,NA
1985,4,28,0,NA,NA,NA,NA,NA
1985,4,28,3,-24.37,NA,NA,NA,NA
1985,4,28,6,NA,NA,NA,NA,NA
1985,4,28,9,NA,NA,NA,NA,NA
1985,4,28,12,-19.8,NA,NA,NA,NA
1985,4,28,15,NA,NA,NA,NA,NA
1985,4,28,18,-20.11,NA,NA,NA,NA
1985,4,28,21,NA,NA,NA,NA,NA
1985,4,29,0,NA,NA,NA,NA,NA
1985,4,29,3,NA,NA,NA,NA,NA
1985,4,29,6,NA,NA,NA,NA,NA
1985,4,29,9,NA,NA,NA,NA,NA
1985,4,29,12,NA,NA,NA,NA,NA
