Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2002,2,12,0,NA,NA,NA,NA,NA
2002,2,12,3,NA,NA,NA,NA,NA
2002,2,12,6,NA,NA,NA,NA,NA
2002,2,12,9,NA,NA,NA,NA,NA
2002,2,12,12,NA,NA,NA,NA,NA
2002,2,12,15,NA,NA,NA,NA,NA
2002,2,12,18,NA,NA,NA,NA,NA
2002,2,12,21,NA,NA,NA,NA,NA
2002,2,13,0,NA,NA,NA,NA,NA
2002,2,13,3,NA,NA,NA,NA,NA
2002,2,13,6,NA,NA,NA,NA,NA
2002,2,13,9,NA,NA,NA,NA,NA
2002,2,13,12,NA,NA,NA,NA,NA
2002,2,13,15,NA,NA,NA,NA,NA
2002,2,13,18,NA,NA,NA,NA,NA
2002,2,13,21,NA,NA,NA,NA,NA
2002,2,14,0,NA,NA,NA,NA,NA
2002,2,14,3,NA,NA,NA,NA,NA
2002,2,14,6,NA,NA,NA,NA,NA
2002,2,14,9,NA,NA,NA,NA,NA
2002,2,14,12,NA,NA,NA,NA,NA
2002,2,14,15,NA,NA,NA,NA,NA
2002,2,14,18,NA,NA,NA,NA,NA
2002,2,14,21,NA,NA,NA,NA,NA
2002,2,15,0,NA,NA,NA,NA,NA
2002,2,15,3,NA,NA,NA,NA,NA
2002,2,15,6,NA,NA,NA,NA,NA
2002,2,15,9,NA,NA,NA,NA,NA
2002,2,15,12,NA,NA,NA,NA,NA
2002,2,15,15,NA,NA,NA,NA,NA
2002,2,15,18,NA,NA,NA,NA,NA
2002,2,15,21,NA,NA,NA,NA,NA
2002,2,16,0,NA,NA,NA,NA,NA
2002,2,16,3,NA,NA,NA,NA,NA
2002,2,16,6,NA,NA,NA,NA,NA
2002,2,16,9,NA,NA,NA,NA,NA
2002,2,16,12,NA,NA,NA,NA,NA
2002,2,16,15,NA,NA,NA,NA,NA
2002,2,16,18,NA,NA,NA,NA,NA
2002,2,16,21,NA,NA,NA,NA,NA
2002,2,17,0,NA,NA,NA,NA,NA
2002,2,17,3,NA,NA,NA,NA,NA
2002,2,17,6,NA,NA,NA,NA,NA
2002,2,17,9,NA,NA,NA,NA,NA
2002,2,17,12,NA,NA,NA,NA,NA
2002,2,17,15,NA,NA,NA,NA,NA
2002,2,17,18,NA,NA,NA,NA,NA
2002,2,17,21,NA,NA,NA,NA,NA
2002,2,18,0,NA,NA,NA,NA,NA
2002,2,18,3,NA,NA,NA,NA,NA
2002,2,18,6,NA,981.6,2.5,NA,NA
2002,2,18,9,NA,NA,NA,NA,NA
2002,2,18,12,NA,983,4.7,198,NA
2002,2,18,15,NA,983.6,2.7,210,NA
2002,2,18,18,NA,983.8,5.3,186,NA
2002,2,18,21,NA,984.2,5.5,186,NA
2002,2,19,0,NA,NA,NA,NA,NA
2002,2,19,3,NA,984.6,7.7,186,NA
2002,2,19,6,NA,984.4,9.1,198,NA
2002,2,19,9,NA,984,10.3,192,NA
2002,2,19,12,NA,NA,NA,NA,NA
2002,2,19,15,NA,982.8,9.3,204,NA
2002,2,19,18,NA,981.8,8.4,210,NA
2002,2,19,21,NA,980.6,9.6,198,NA
2002,2,20,0,NA,NA,NA,NA,NA
2002,2,20,3,NA,NA,NA,NA,NA
2002,2,20,6,NA,977.4,11.7,210,NA
2002,2,20,9,NA,976.2,11.3,204,NA
2002,2,20,12,NA,NA,NA,NA,NA
2002,2,20,15,NA,NA,NA,NA,NA
2002,2,20,18,NA,972.4,8.4,222,NA
2002,2,20,21,NA,970.6,8.7,222,NA
2002,2,21,0,NA,969.2,9.4,210,NA
2002,2,21,3,NA,NA,NA,NA,NA
2002,2,21,6,NA,966.8,11.5,198,NA
2002,2,21,9,NA,965.6,11.6,204,NA
2002,2,21,12,NA,964.8,10.4,210,NA
2002,2,21,15,NA,NA,NA,NA,NA
2002,2,21,18,NA,963.6,8.4,216,NA
2002,2,21,21,NA,963.6,8.1,222,NA
2002,2,22,0,NA,963.8,8.8,216,NA
2002,2,22,3,NA,964.4,10.4,210,NA
2002,2,22,6,NA,NA,NA,NA,NA
2002,2,22,9,NA,965.6,11.9,210,NA
2002,2,22,12,NA,968,9.9,210,NA
2002,2,22,15,NA,970.6,NA,216,NA
2002,2,22,18,NA,NA,NA,NA,NA
2002,2,22,21,NA,975.2,1.2,138,NA
2002,2,23,0,NA,977,1.6,168,NA
2002,2,23,3,NA,978,3.3,162,NA
2002,2,23,6,NA,NA,NA,NA,NA
2002,2,23,9,NA,979.6,5.4,180,NA
2002,2,23,12,NA,979.2,5.9,186,NA
2002,2,23,15,NA,978.8,6.4,186,NA
2002,2,23,18,NA,978,6,180,NA
2002,2,23,21,NA,NA,NA,NA,NA
2002,2,24,0,NA,NA,NA,NA,NA
2002,2,24,3,NA,975,5.4,180,NA
2002,2,24,6,NA,974,6,180,NA
2002,2,24,9,NA,NA,NA,NA,NA
2002,2,24,12,NA,971.8,8.3,174,NA
2002,2,24,15,NA,970.8,5.8,192,NA
2002,2,24,18,NA,NA,NA,NA,NA
2002,2,24,21,NA,NA,NA,NA,NA
2002,2,25,0,NA,NA,NA,NA,NA
2002,2,25,3,NA,NA,NA,NA,NA
2002,2,25,6,NA,971.6,5.9,180,NA
2002,2,25,9,NA,NA,NA,NA,NA
2002,2,25,12,NA,971.6,4.6,162,NA
2002,2,25,15,NA,971.8,4.2,150,NA
2002,2,25,18,NA,972.6,5.4,180,NA
2002,2,25,21,NA,973.8,4.9,186,NA
2002,2,26,0,NA,974.8,5.7,186,NA
2002,2,26,3,NA,976.2,6.6,204,NA
2002,2,26,6,NA,NA,NA,NA,NA
2002,2,26,9,NA,NA,NA,NA,NA
2002,2,26,12,NA,979.2,8.3,192,NA
2002,2,26,15,NA,980.4,5.3,204,NA
2002,2,26,18,NA,980.6,6.9,192,NA
2002,2,26,21,NA,NA,NA,NA,NA
2002,2,27,0,NA,980,8.8,198,NA
2002,2,27,3,NA,979.2,9.4,198,NA
2002,2,27,6,NA,977.6,9.1,204,NA
2002,2,27,9,NA,NA,NA,NA,NA
2002,2,27,12,NA,972.2,12.3,198,NA
2002,2,27,15,NA,970.8,10.4,198,NA
