Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2011,2,1,0,NA,NA,NA,NA,NA
2011,2,1,3,NA,NA,NA,NA,NA
2011,2,1,6,NA,NA,NA,NA,NA
2011,2,1,9,NA,NA,NA,NA,NA
2011,2,1,12,NA,NA,NA,NA,NA
2011,2,1,15,NA,NA,NA,NA,NA
2011,2,1,18,NA,NA,NA,NA,NA
2011,2,1,21,NA,NA,NA,NA,NA
2011,2,2,0,NA,NA,NA,NA,NA
2011,2,2,3,NA,NA,NA,NA,NA
2011,2,2,6,NA,NA,NA,NA,NA
2011,2,2,9,NA,NA,NA,NA,NA
2011,2,2,12,NA,NA,NA,NA,NA
2011,2,2,15,NA,NA,NA,NA,NA
2011,2,2,18,NA,NA,NA,NA,NA
2011,2,2,21,NA,NA,NA,NA,NA
2011,2,3,0,NA,NA,NA,NA,NA
2011,2,3,3,NA,NA,NA,NA,NA
2011,2,3,6,-18.8,987,4.9,239,82
2011,2,3,9,-17.8,988,6.7,225,83
2011,2,3,12,-17.9,988,5.6,241,80.6
2011,2,3,15,-17.9,988,7.3,241,82
2011,2,3,18,-18.7,988,7,243,82
2011,2,3,21,-18.8,987,6.8,266,81
2011,2,4,0,-16,986,7.1,258,75
2011,2,4,3,-14,985,8.8,264,77
2011,2,4,6,-12.5,984,5.7,228,78
2011,2,4,9,-12.4,983,9,260,72
2011,2,4,12,-13.6,983,8.4,234,66
2011,2,4,15,-13.4,981,6.5,269,53
2011,2,4,18,-12.1,981,7.5,295,72
2011,2,4,21,-10.9,981,9.3,273,55
2011,2,5,0,-9.6,980,9.1,275,60.7
2011,2,5,3,-10,980,9.4,277,74
2011,2,5,6,-9.2,980,9.6,265,91
2011,2,5,9,-8,980,8.4,245,93
2011,2,5,12,-11,981,4.8,236,85
2011,2,5,15,NA,981,NA,313,89.9
2011,2,5,18,-8.8,981,NA,276,92.2
2011,2,5,21,NA,983,NA,248,86
2011,2,6,0,-12.9,986,6.4,201,86
2011,2,6,3,-12.4,987,3.3,201,83.2
2011,2,6,6,-12.6,988,2.1,171,83
2011,2,6,9,-14.3,991,6.5,226,84
2011,2,6,12,NA,991,6.6,232,86
2011,2,6,15,-13.1,990,6.9,255,89
2011,2,6,18,-15.2,989,8.3,262,88
2011,2,6,21,-16.2,989,7.1,261,83.1
2011,2,7,0,-14.1,989,4.5,263,83
2011,2,7,3,-12.8,987,6,274,71.8
2011,2,7,6,-11.6,987,7.8,266,80
2011,2,7,9,-12.5,986,4.4,267,80
2011,2,7,12,-12.9,985,3.8,266,69
2011,2,7,15,-12.4,984,2,329,78.3
2011,2,7,18,-12.5,984,3.7,44,76
2011,2,7,21,NA,983,0.7,317,76.9
2011,2,8,0,-9.9,984,2.1,288,72
2011,2,8,3,-10.6,984,2.9,247,74
2011,2,8,6,-11.8,984,3.7,247,66
2011,2,8,9,-12.8,985,6.2,252,83.6
2011,2,8,12,-15.2,986,8.3,250,88
2011,2,8,15,-15.7,986,4.6,251,89
2011,2,8,18,-17.7,988,4.1,211,83.2
2011,2,8,21,-18.3,989,4.5,242,80.3
2011,2,9,0,-14.6,988,5.2,279,80.7
2011,2,9,3,NA,987,8.1,269,82
2011,2,9,6,-11.1,986,8,258,86.2
2011,2,9,9,-11.5,985,7.3,256,91
2011,2,9,12,-13.4,984,7.8,254,80
2011,2,9,15,-14.8,982,3.9,273,83
2011,2,9,18,-17.1,981,NA,262,71
