Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1999,2,4,0,NA,NA,NA,NA,NA
1999,2,4,3,NA,NA,NA,NA,NA
1999,2,4,6,-11.04,972.2,3.4,180,58
1999,2,4,9,-8.54,973.8,3.2,174,56
1999,2,4,12,-8.04,974.2,2.7,180,58
1999,2,4,15,NA,973.8,2.7,222,72
1999,2,4,18,NA,972.6,3.4,222,86
1999,2,4,21,-16.5,971.4,3.1,228,88
1999,2,5,0,-14.22,969,NA,198,78
1999,2,5,3,NA,968.2,6.9,192,62
1999,2,5,6,NA,966.4,7.6,198,56
1999,2,5,9,NA,NA,NA,NA,NA
1999,2,5,12,-6.1,964,NA,180,60
1999,2,5,15,NA,963.6,1.5,228,94
1999,2,5,18,NA,963.8,0.5,240,84
1999,2,5,21,NA,964.6,1,NA,80
1999,2,6,0,NA,965.4,1,78,84
1999,2,6,3,NA,967.2,2.5,192,66
1999,2,6,6,NA,968.8,5.1,204,66
1999,2,6,9,NA,NA,NA,NA,NA
1999,2,6,12,-6.08,969.8,5.6,204,70
1999,2,6,15,-7.24,969.8,3.4,228,84
1999,2,6,18,-8.94,969.4,2.1,222,88
1999,2,6,21,-12.14,969,3.5,216,84
1999,2,7,0,NA,NA,NA,NA,NA
1999,2,7,3,NA,968.2,7.9,204,76
1999,2,7,6,-7.5,967.2,NA,210,66
1999,2,7,9,-7.22,967,11.4,204,68
1999,2,7,12,NA,NA,NA,NA,NA
1999,2,7,15,-9.58,964.6,8.2,216,74
1999,2,7,18,-12.16,964.2,6.5,210,76
1999,2,7,21,NA,965.6,3.5,210,84
1999,2,8,0,NA,968.4,4.3,222,68
1999,2,8,3,NA,NA,NA,NA,NA
1999,2,8,6,NA,973.4,3,216,NA
1999,2,8,9,-6.9,976.8,2.7,180,46
1999,2,8,12,NA,NA,NA,NA,NA
1999,2,8,15,NA,NA,NA,NA,NA
1999,2,8,18,-8.34,982.2,4.1,198,92
1999,2,8,21,-7.24,983.6,4.4,198,88
1999,2,9,0,-8.04,984,4.4,204,82
1999,2,9,3,-8.76,984.4,5.6,204,70
1999,2,9,6,NA,NA,NA,NA,NA
1999,2,9,9,-4.72,986.4,5.1,204,60
1999,2,9,12,NA,986.6,1.8,204,56
1999,2,9,15,NA,NA,NA,NA,NA
1999,2,9,18,NA,NA,NA,NA,NA
1999,2,9,21,NA,988.8,1.3,216,84
1999,2,10,0,-15.38,988.8,2.2,234,82
1999,2,10,3,NA,988.6,3.3,222,62
1999,2,10,6,NA,NA,NA,NA,NA
1999,2,10,9,-6.36,987,7.2,192,64
1999,2,10,12,-6.58,985,6.3,198,72
1999,2,10,15,NA,982.8,4.1,216,82
1999,2,10,18,-11.24,980.2,5.5,204,80
1999,2,10,21,-11.78,979,7.9,204,80
1999,2,11,0,-12.12,977,7.5,198,74
1999,2,11,3,-9.66,975.4,8.6,192,62
1999,2,11,6,-7.32,975.2,9.8,192,62
1999,2,11,9,-6.12,974.8,8.3,192,64
1999,2,11,12,-6.66,974.6,5.6,198,68
1999,2,11,15,NA,975.4,4.1,198,76
1999,2,11,18,NA,976.6,2.8,228,78
1999,2,11,21,NA,978.2,3.2,270,74
1999,2,12,0,-15.72,980.2,5,258,62
1999,2,12,3,NA,NA,NA,NA,NA
1999,2,12,6,NA,NA,NA,NA,NA
1999,2,12,9,NA,986.8,0.5,228,26
1999,2,12,12,NA,987.4,1.4,240,52
1999,2,12,15,NA,987.4,2.1,270,74
1999,2,12,18,NA,987.4,2.4,234,80
1999,2,12,21,NA,987,3.1,240,86
1999,2,13,0,NA,986.6,2.5,234,74
1999,2,13,3,NA,NA,NA,NA,NA
1999,2,13,6,NA,983,6.3,204,62
1999,2,13,9,NA,NA,NA,NA,NA
1999,2,13,12,-9.12,980.6,9,210,68
1999,2,13,15,-12.4,978.8,9.5,198,64
1999,2,13,18,NA,977.8,NA,252,74
1999,2,13,21,NA,977.6,NA,234,70
1999,2,14,0,-21.22,978.4,3.4,222,64
1999,2,14,3,NA,979.4,4.9,216,54
1999,2,14,6,NA,980.8,4.3,204,48
1999,2,14,9,NA,NA,NA,NA,NA
1999,2,14,12,NA,982.8,0.9,288,54
1999,2,14,15,NA,983.8,0.9,282,78
1999,2,14,18,-16.06,985,2.4,246,80
1999,2,14,21,-15.42,986.4,2.2,198,76
1999,2,15,0,-14.48,987.4,3.4,222,74
1999,2,15,3,NA,NA,NA,NA,NA
1999,2,15,6,-10.06,989.8,6.3,210,56
1999,2,15,9,NA,NA,NA,NA,NA
1999,2,15,12,-8.7,990.4,3.5,204,64
1999,2,15,15,-10.64,990,2.5,228,80
1999,2,15,18,NA,989.8,1.6,252,78
1999,2,15,21,NA,989.2,1.6,282,72
1999,2,16,0,NA,NA,NA,NA,NA
1999,2,16,3,-12.44,988.2,4.1,258,62
1999,2,16,6,-11.78,987.8,4.4,258,50
1999,2,16,9,NA,986.8,2.4,282,32
1999,2,16,12,NA,NA,NA,NA,NA
1999,2,16,15,NA,985.4,4.7,330,74
1999,2,16,18,NA,984.8,3.5,318,76
1999,2,16,21,NA,985.2,3.1,252,74
1999,2,17,0,-21.56,986,6.1,216,76
1999,2,17,3,NA,NA,NA,NA,NA
1999,2,17,6,NA,986.6,6.4,216,54
1999,2,17,9,-11.74,986.8,5.6,210,56
1999,2,17,12,-12.28,986.8,3.2,228,64
1999,2,17,15,NA,NA,NA,NA,NA
1999,2,17,18,NA,986.8,3.7,222,82
1999,2,17,21,-18.44,987.2,5.5,222,72
1999,2,18,0,NA,NA,NA,NA,NA
1999,2,18,3,-14.94,988,5.6,222,54
1999,2,18,6,NA,NA,NA,NA,NA
1999,2,18,9,-11.28,988,5,210,50
1999,2,18,12,NA,987.2,1.9,222,54
1999,2,18,15,NA,NA,NA,NA,NA
1999,2,18,18,NA,NA,NA,NA,NA
1999,2,18,21,-20.38,985.8,4,216,72
1999,2,19,0,-20.12,985.6,3.9,222,68
1999,2,19,3,NA,985.2,5.1,222,58
1999,2,19,6,NA,NA,NA,NA,NA
1999,2,19,9,NA,984.8,4.4,222,54
1999,2,19,12,NA,984.8,1.5,258,60
1999,2,19,15,NA,985,2,246,78
1999,2,19,18,NA,985.6,0.5,192,78
1999,2,19,21,NA,NA,NA,NA,NA
1999,2,20,0,NA,NA,NA,NA,NA
1999,2,20,3,-15.12,987.6,2.7,246,66
1999,2,20,6,-13.24,988.4,4.5,210,62
1999,2,20,9,-10.44,988.4,2.8,198,50
1999,2,20,12,NA,987.8,1.3,228,68
1999,2,20,15,NA,987.4,1.2,204,88
1999,2,20,18,NA,987.2,0.5,204,88
1999,2,20,21,NA,986.6,0.8,252,86
1999,2,21,0,NA,986.2,0.9,270,84
1999,2,21,3,NA,NA,NA,NA,NA
1999,2,21,6,NA,NA,NA,NA,NA
1999,2,21,9,-10.46,986.8,3.1,210,64
1999,2,21,12,NA,986.4,1.2,294,50
1999,2,21,15,NA,986.6,1.4,282,88
1999,2,21,18,NA,987,1.1,258,84
1999,2,21,21,-21.88,987.2,2,312,80
1999,2,22,0,-19.04,987.8,2,294,84
1999,2,22,3,NA,988.6,3.3,258,58
1999,2,22,6,NA,989,4.2,228,56
1999,2,22,9,-12.1,988.4,4.1,228,58
1999,2,22,12,-13,988,2.8,228,60
1999,2,22,15,NA,987.8,2.2,210,90
1999,2,22,18,NA,987.6,1.6,204,76
1999,2,22,21,NA,987.6,1.3,198,76
1999,2,23,0,NA,987,3.6,222,80
1999,2,23,3,NA,987,5.1,222,60
1999,2,23,6,NA,986.6,5.8,210,60
1999,2,23,9,NA,NA,NA,NA,NA
1999,2,23,12,-14.48,984.8,4.4,210,68
1999,2,23,15,NA,983.8,2.5,240,84
1999,2,23,18,-15.44,983,4.4,204,78
1999,2,23,21,-19.72,982.8,4.6,204,74
1999,2,24,0,-19.5,982.6,5.6,222,72
1999,2,24,3,-16.5,982.6,7.2,210,64
1999,2,24,6,-14.98,983,9.2,204,60
1999,2,24,9,NA,NA,NA,NA,NA
1999,2,24,12,-14.52,983.4,7.4,204,62
1999,2,24,15,NA,984.6,NA,246,76
1999,2,24,18,NA,986.2,NA,240,74
1999,2,24,21,-23.86,988,2.1,234,74
1999,2,25,0,NA,NA,NA,NA,NA
1999,2,25,3,NA,NA,NA,NA,NA
1999,2,25,6,NA,992.2,4.9,216,60
1999,2,25,9,-17.54,992.2,6.2,198,66
1999,2,25,12,NA,NA,NA,NA,NA
1999,2,25,15,-18.96,989.2,7.4,198,80
1999,2,25,18,-17.5,988,10,192,78
1999,2,25,21,-17.7,986.2,7.9,210,76
1999,2,26,0,-15.6,986.2,11.2,204,70
1999,2,26,3,NA,NA,NA,NA,NA
1999,2,26,6,-14.78,984.6,14.7,204,76
1999,2,26,9,-13.76,984.2,15,198,78
1999,2,26,12,NA,NA,NA,NA,NA
1999,2,26,15,NA,NA,NA,NA,NA
1999,2,26,18,-12.9,983.6,12.6,204,76
1999,2,26,21,-13.02,983.4,12.9,204,78
1999,2,27,0,-13.18,982.6,13.6,204,80
1999,2,27,3,NA,NA,NA,NA,NA
1999,2,27,6,NA,NA,NA,NA,NA
1999,2,27,9,-10.78,982.2,12.7,210,72
1999,2,27,12,-9.98,981.6,10.1,198,72
1999,2,27,15,NA,NA,NA,NA,NA
1999,2,27,18,NA,NA,NA,NA,NA
1999,2,27,21,-10.06,977.4,10.9,198,86
