Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2014,9,25,0,NA,NA,NA,NA,NA
2014,9,25,3,-43.68,689.8,NA,NA,NA
2014,9,25,6,-41.42,690.2,NA,NA,NA
2014,9,25,9,-44.8,690.6,NA,NA,NA
2014,9,25,12,NA,691,NA,NA,NA
2014,9,25,15,NA,691.4,NA,NA,NA
2014,9,25,18,-51.04,691.8,NA,NA,NA
2014,9,25,21,-48.92,692.6,NA,NA,NA
2014,9,26,0,-47.62,693,NA,NA,NA
2014,9,26,3,NA,693.6,NA,NA,NA
2014,9,26,6,NA,694,NA,NA,NA
2014,9,26,9,NA,694.4,NA,NA,NA
2014,9,26,12,NA,694.6,NA,NA,NA
2014,9,26,15,NA,694.8,NA,NA,NA
2014,9,26,18,NA,694.6,NA,NA,NA
2014,9,26,21,-54.76,694.6,NA,NA,NA
2014,9,27,0,-53.14,694.6,NA,NA,NA
2014,9,27,3,NA,694.4,NA,NA,NA
2014,9,27,6,NA,694.4,NA,NA,NA
2014,9,27,9,-48.18,694,NA,NA,NA
2014,9,27,12,NA,694.6,NA,NA,NA
2014,9,27,15,-53.1,694.2,NA,NA,NA
2014,9,27,18,-55.02,694,NA,NA,NA
2014,9,27,21,-55.92,693.8,NA,NA,NA
2014,9,28,0,-51.26,693.6,NA,NA,NA
2014,9,28,3,NA,693,NA,NA,NA
2014,9,28,6,NA,693.4,NA,NA,NA
2014,9,28,9,-46.02,693.2,NA,NA,NA
2014,9,28,12,NA,693.2,NA,NA,NA
2014,9,28,15,NA,692.6,NA,NA,NA
2014,9,28,18,-53.42,692.4,NA,NA,NA
2014,9,28,21,-53.68,692.6,NA,NA,NA
2014,9,29,0,-52.64,692.2,NA,NA,NA
2014,9,29,3,NA,NA,NA,NA,NA
2014,9,29,6,-44.78,692.2,NA,NA,NA
2014,9,29,9,-45.56,691.6,NA,NA,NA
2014,9,29,12,NA,690.6,NA,NA,NA
2014,9,29,15,NA,689,NA,NA,NA
2014,9,29,18,-52.62,687.2,NA,NA,NA
2014,9,29,21,-54.44,684.8,NA,NA,NA
2014,9,30,0,-51.94,682.6,NA,NA,NA
2014,9,30,3,NA,NA,NA,NA,NA
2014,9,30,6,-40.06,681.4,NA,NA,NA
2014,9,30,9,-38.82,681.8,NA,NA,NA
2014,9,30,12,-41.62,682.6,NA,NA,NA
2014,9,30,15,NA,684.6,NA,NA,NA
2014,9,30,18,NA,686.6,NA,NA,NA
2014,9,30,21,-49.04,687.6,NA,NA,NA
2014,10,1,0,-46.32,688.4,NA,NA,NA
2014,10,1,3,NA,688.6,NA,NA,NA
2014,10,1,6,NA,689,NA,NA,NA
2014,10,1,9,-42.38,689.4,NA,NA,NA
2014,10,1,12,NA,689.8,NA,NA,NA
2014,10,1,15,NA,690.2,NA,NA,NA
2014,10,1,18,-49.36,690.6,NA,NA,NA
2014,10,1,21,-48.02,691,NA,NA,NA
2014,10,2,0,-45.92,691.4,NA,NA,NA
2014,10,2,3,NA,691.2,NA,NA,NA
2014,10,2,6,NA,691,NA,NA,NA
2014,10,2,9,-43.52,691,NA,NA,NA
2014,10,2,12,NA,690.6,NA,NA,NA
2014,10,2,15,NA,690.4,NA,NA,NA
2014,10,2,18,-52.7,689.8,NA,NA,NA
2014,10,2,21,-53.04,689.4,NA,NA,NA
2014,10,3,0,NA,689,NA,NA,NA
2014,10,3,3,NA,688.2,NA,NA,NA
2014,10,3,6,NA,687.2,NA,NA,NA
2014,10,3,9,NA,686.2,NA,NA,NA
2014,10,3,12,NA,685.2,NA,NA,NA
2014,10,3,15,NA,683.8,NA,NA,NA
2014,10,3,18,-55.34,682.8,NA,NA,NA
2014,10,3,21,-54.94,682.2,NA,NA,NA
2014,10,4,0,-50.98,681,NA,NA,NA
2014,10,4,3,NA,679.4,NA,NA,NA
2014,10,4,6,NA,679,NA,NA,NA
2014,10,4,9,-42.34,678,NA,NA,NA
2014,10,4,12,NA,677.4,NA,NA,NA
2014,10,4,15,NA,677,NA,NA,NA
2014,10,4,18,-52.04,677,NA,NA,NA
2014,10,4,21,-53.62,677.4,NA,NA,NA
2014,10,5,0,-48.68,678.2,NA,NA,NA
2014,10,5,3,NA,678.6,NA,NA,NA
2014,10,5,6,NA,679.2,NA,NA,NA
2014,10,5,9,-43.6,680.2,NA,NA,NA
2014,10,5,12,NA,681,NA,NA,NA
2014,10,5,15,NA,681.4,NA,NA,NA
2014,10,5,18,-58.58,681.8,NA,NA,NA
2014,10,5,21,-59.68,681.8,NA,NA,NA
2014,10,6,0,NA,681.8,NA,NA,NA
2014,10,6,3,NA,681.6,NA,NA,NA
2014,10,6,6,NA,681.2,NA,NA,NA
2014,10,6,9,NA,680.8,NA,NA,NA
2014,10,6,12,NA,680.2,NA,NA,NA
2014,10,6,15,NA,679.2,NA,NA,NA
2014,10,6,18,NA,678,NA,NA,NA
2014,10,6,21,-62.24,677.6,NA,NA,NA
2014,10,7,0,NA,676.8,NA,NA,NA
2014,10,7,3,NA,676.6,NA,NA,NA
2014,10,7,6,NA,676.6,NA,NA,NA
2014,10,7,9,-51.68,676.8,NA,NA,NA
2014,10,7,12,NA,676.6,NA,NA,NA
2014,10,7,15,NA,676.4,NA,NA,NA
2014,10,7,18,NA,676.6,NA,NA,NA
2014,10,7,21,-62.68,677,NA,NA,NA
2014,10,8,0,NA,677,NA,NA,NA
2014,10,8,3,NA,NA,NA,NA,NA
2014,10,8,6,-47.36,677.8,NA,NA,NA
2014,10,8,9,-50.36,678.6,NA,NA,NA
2014,10,8,12,NA,679,NA,NA,NA
2014,10,8,15,NA,679.4,NA,NA,NA
2014,10,8,18,-59.58,679.8,NA,NA,NA
2014,10,8,21,-58.88,680.4,NA,NA,NA
2014,10,9,0,NA,680.4,NA,NA,NA
2014,10,9,3,NA,NA,NA,NA,NA
2014,10,9,6,-47.92,680.2,NA,NA,NA
2014,10,9,9,-51.68,680.2,NA,NA,NA
2014,10,9,12,NA,680.2,NA,NA,NA
2014,10,9,15,NA,679.6,NA,NA,NA
2014,10,9,18,NA,679.4,NA,NA,NA
2014,10,9,21,-60.08,679.2,NA,NA,NA
2014,10,10,0,-55.96,678.4,NA,NA,NA
2014,10,10,3,NA,677.6,NA,NA,NA
2014,10,10,6,NA,676.4,NA,NA,NA
2014,10,10,9,-50.84,676,NA,NA,NA
2014,10,10,12,NA,675.4,NA,NA,NA
2014,10,10,15,NA,675,NA,NA,NA
2014,10,10,18,-58.44,674.8,NA,NA,NA
2014,10,10,21,-58.26,675.4,NA,NA,NA
2014,10,11,0,-54.46,676.4,NA,NA,NA
2014,10,11,3,NA,677,NA,NA,NA
2014,10,11,6,NA,678,NA,NA,NA
2014,10,11,9,-50.06,679.8,NA,NA,NA
2014,10,11,12,NA,681.2,NA,NA,NA
2014,10,11,15,NA,682.8,NA,NA,NA
2014,10,11,18,-58.08,684.2,NA,NA,NA
2014,10,11,21,-57.82,686.8,NA,NA,NA
2014,10,12,0,-53.78,688.4,NA,NA,NA
2014,10,12,3,NA,689.6,NA,NA,NA
2014,10,12,6,NA,691.8,NA,NA,NA
2014,10,12,9,-46.76,692.6,NA,NA,NA
2014,10,12,12,NA,693.4,NA,NA,NA
2014,10,12,15,NA,693.8,NA,NA,NA
2014,10,12,18,-53.12,692.8,NA,NA,NA
2014,10,12,21,-52.92,693.4,NA,NA,NA
2014,10,13,0,NA,692.4,NA,NA,NA
2014,10,13,3,NA,691.6,NA,NA,NA
2014,10,13,6,NA,NA,NA,NA,NA
2014,10,13,9,-37.1,691.4,NA,NA,NA
2014,10,13,12,NA,691.6,NA,NA,NA
2014,10,13,15,NA,691.8,NA,NA,NA
2014,10,13,18,-46.32,692,NA,NA,NA
2014,10,13,21,-47.66,692.6,NA,NA,NA
2014,10,14,0,-45.8,692.8,NA,NA,NA
2014,10,14,3,NA,693,NA,NA,NA
2014,10,14,6,NA,692.8,NA,NA,NA
2014,10,14,9,-39.08,692.6,NA,NA,NA
2014,10,14,12,NA,691.8,NA,NA,NA
2014,10,14,15,NA,690.6,NA,NA,NA
2014,10,14,18,-48.52,690,NA,NA,NA
2014,10,14,21,-48.62,689.8,NA,NA,NA
2014,10,15,0,-45.52,689,NA,NA,NA
2014,10,15,3,NA,688.6,NA,NA,NA
2014,10,15,6,NA,688,NA,NA,NA
2014,10,15,9,-39.64,687.6,NA,NA,NA
2014,10,15,12,NA,687.2,NA,NA,NA
2014,10,15,15,NA,686.4,NA,NA,NA
2014,10,15,18,NA,686,NA,NA,NA
2014,10,15,21,-51.54,686,NA,NA,NA
