Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2015,12,1,0,NA,NA,NA,NA,NA
2015,12,1,3,NA,NA,NA,NA,NA
2015,12,1,6,NA,NA,NA,NA,NA
2015,12,1,9,NA,NA,NA,NA,NA
2015,12,1,12,NA,NA,NA,NA,NA
2015,12,1,15,NA,NA,NA,NA,NA
2015,12,1,18,NA,NA,NA,NA,NA
2015,12,1,21,NA,NA,NA,NA,NA
2015,12,2,0,NA,NA,NA,NA,NA
2015,12,2,3,NA,NA,NA,NA,NA
2015,12,2,6,NA,NA,NA,NA,NA
2015,12,2,9,NA,NA,NA,NA,NA
2015,12,2,12,NA,NA,NA,NA,NA
2015,12,2,15,NA,NA,NA,NA,NA
2015,12,2,18,NA,NA,NA,NA,NA
2015,12,2,21,NA,NA,NA,NA,NA
2015,12,3,0,NA,NA,NA,NA,NA
2015,12,3,3,NA,NA,NA,NA,NA
2015,12,3,6,NA,NA,NA,NA,NA
2015,12,3,9,NA,NA,NA,NA,NA
2015,12,3,12,NA,NA,NA,NA,NA
2015,12,3,15,NA,NA,NA,NA,NA
2015,12,3,18,NA,NA,NA,NA,NA
2015,12,3,21,NA,NA,NA,NA,NA
2015,12,4,0,NA,NA,NA,NA,NA
2015,12,4,3,NA,NA,NA,NA,NA
2015,12,4,6,NA,NA,NA,NA,NA
2015,12,4,9,NA,NA,NA,NA,NA
2015,12,4,12,NA,NA,NA,NA,NA
2015,12,4,15,NA,NA,NA,NA,NA
2015,12,4,18,NA,NA,NA,NA,NA
2015,12,4,21,NA,NA,NA,NA,NA
2015,12,5,0,NA,NA,NA,NA,NA
2015,12,5,3,NA,NA,NA,NA,NA
2015,12,5,6,NA,NA,NA,NA,NA
2015,12,5,9,NA,NA,NA,NA,NA
2015,12,5,12,NA,NA,NA,NA,NA
2015,12,5,15,NA,NA,NA,NA,NA
2015,12,5,18,NA,NA,NA,NA,NA
2015,12,5,21,NA,NA,NA,NA,NA
2015,12,6,0,NA,NA,NA,NA,NA
2015,12,6,3,NA,NA,NA,NA,NA
2015,12,6,6,NA,NA,NA,NA,NA
2015,12,6,9,NA,NA,NA,NA,NA
2015,12,6,12,NA,NA,NA,NA,NA
2015,12,6,15,NA,NA,NA,NA,NA
2015,12,6,18,NA,NA,NA,NA,NA
2015,12,6,21,NA,NA,NA,NA,NA
2015,12,7,0,NA,NA,NA,NA,NA
2015,12,7,3,NA,NA,NA,NA,NA
2015,12,7,6,NA,NA,NA,NA,NA
2015,12,7,9,NA,NA,NA,NA,NA
2015,12,7,12,NA,NA,NA,NA,NA
2015,12,7,15,NA,NA,NA,NA,NA
2015,12,7,18,NA,NA,NA,NA,NA
2015,12,7,21,NA,NA,NA,NA,NA
2015,12,8,0,NA,NA,NA,NA,NA
2015,12,8,3,NA,NA,NA,NA,NA
2015,12,8,6,NA,NA,NA,NA,NA
2015,12,8,9,NA,NA,NA,NA,NA
2015,12,8,12,NA,NA,NA,NA,NA
2015,12,8,15,NA,NA,NA,NA,NA
2015,12,8,18,NA,NA,NA,NA,NA
2015,12,8,21,NA,NA,NA,NA,NA
2015,12,9,0,NA,NA,NA,NA,NA
2015,12,9,3,NA,NA,NA,NA,NA
2015,12,9,6,NA,NA,NA,NA,NA
2015,12,9,9,NA,NA,NA,NA,NA
2015,12,9,12,NA,NA,NA,NA,NA
2015,12,9,15,NA,NA,NA,NA,NA
2015,12,9,18,NA,NA,NA,NA,NA
2015,12,9,21,NA,NA,NA,NA,NA
2015,12,10,0,NA,NA,NA,NA,NA
2015,12,10,3,NA,NA,NA,NA,NA
2015,12,10,6,NA,NA,NA,NA,NA
2015,12,10,9,NA,NA,NA,NA,NA
2015,12,10,12,NA,NA,NA,NA,NA
2015,12,10,15,NA,NA,NA,NA,NA
2015,12,10,18,NA,NA,NA,NA,NA
2015,12,10,21,NA,NA,NA,NA,NA
2015,12,11,0,NA,NA,NA,NA,NA
2015,12,11,3,NA,NA,NA,NA,NA
2015,12,11,6,NA,NA,NA,NA,NA
2015,12,11,9,NA,NA,NA,NA,NA
2015,12,11,12,NA,NA,NA,NA,NA
2015,12,11,15,NA,NA,NA,NA,NA
2015,12,11,18,NA,NA,NA,NA,NA
2015,12,11,21,NA,NA,NA,NA,NA
2015,12,12,0,NA,NA,NA,NA,NA
2015,12,12,3,NA,NA,NA,NA,NA
2015,12,12,6,-17.1,848.6,6.9,138,81
2015,12,12,9,-18.2,848.1,7.2,138,79.3
2015,12,12,12,-15.9,847.9,7.1,132,79
2015,12,12,15,-13.3,847.5,6.5,142,80
2015,12,12,18,-11.7,847.5,6.2,139,80
2015,12,12,21,-11.6,847.4,7.2,140,80
2015,12,13,0,-12.6,846.9,6.7,129,82
2015,12,13,3,-15.1,846.6,5,125,81
2015,12,13,6,NA,846.2,4.1,125,80
2015,12,13,9,-19.7,845.7,3.3,124,79
2015,12,13,12,-17.1,845.3,3.3,141,78
2015,12,13,15,NA,845,4.5,124,77
2015,12,13,18,-12.2,844.8,5.4,117,72
2015,12,13,21,-11.8,845,4.9,110,68
2015,12,14,0,-12.6,845.2,3.4,120,76
2015,12,14,3,-15.6,845,4.3,112,79
2015,12,14,6,NA,845,3.9,100,80
2015,12,14,9,-19.8,844.9,2.8,111,82
2015,12,14,12,-17.6,844.5,5.9,65,80
2015,12,14,15,NA,843.9,7.1,45,81
2015,12,14,18,NA,843.7,7,28,74
2015,12,14,21,-12.5,844,6.7,12,78.2
2015,12,15,0,-12,844,4.8,1,81
2015,12,15,3,NA,843.9,1.8,331,84
2015,12,15,6,NA,843.9,1.9,332,87
2015,12,15,9,NA,843.9,1.5,47,81
2015,12,15,12,-11.8,843.7,3.3,353,82
2015,12,15,15,-10.5,842.9,5.8,359,79
2015,12,15,18,-9.3,841.9,NA,343,80.3
2015,12,15,21,-8.8,840.7,10,340,84
2015,12,16,0,-7.6,839,NA,334,87.6
2015,12,16,3,-7.5,838.3,NA,325,90
2015,12,16,6,-7.9,838.8,15.6,327,90
2015,12,16,9,-7.2,839.5,14.7,336,90
2015,12,16,12,-6.6,839.3,14.1,349,88
2015,12,16,15,-6.5,839.2,15.5,347,85.9
2015,12,16,18,-8,838.9,14.9,1,82
2015,12,16,21,-8.5,838.3,14.8,2,82.1
2015,12,17,0,-9.3,837.6,17.5,352,84
2015,12,17,3,-9.3,837.8,15.5,359,88.3
2015,12,17,6,-9,838.4,13.3,360,88
2015,12,17,9,-9.6,838.4,13.9,356,87
2015,12,17,12,-9.2,839.1,11.8,359,87
2015,12,17,15,-7.7,838.9,9.9,344,85
2015,12,17,18,-6.7,838.9,9.3,336,85
2015,12,17,21,-7,839,8.9,344,84
2015,12,18,0,-6.7,838.5,7.4,341,86
2015,12,18,3,-7.4,837.9,5.6,327,90
2015,12,18,6,-8.2,837,6.1,336,89
2015,12,18,9,-8.3,836,5.4,337,88
2015,12,18,12,-7.8,835.1,5.1,335,90
2015,12,18,15,-6.5,834.1,4.8,325,86
2015,12,18,18,-5.9,833.2,3.9,318,86.8
2015,12,18,21,-5.5,832.6,4.3,314,88
2015,12,19,0,-5.6,832.1,4.4,324,89
2015,12,19,3,-6.3,831.2,5,311,91
2015,12,19,6,-7.4,830.8,4.2,306,92
2015,12,19,9,-8,830.5,4.1,322,89
