Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1986,1,1,0,NA,NA,NA,NA,NA
1986,1,1,3,NA,NA,NA,NA,NA
1986,1,1,6,NA,NA,NA,NA,NA
1986,1,1,9,NA,NA,NA,NA,NA
1986,1,1,12,NA,NA,NA,NA,NA
1986,1,1,15,NA,NA,NA,NA,NA
1986,1,1,18,NA,NA,NA,NA,NA
1986,1,1,21,NA,NA,NA,NA,NA
1986,1,2,0,NA,NA,NA,NA,NA
1986,1,2,3,NA,NA,NA,NA,NA
1986,1,2,6,NA,NA,NA,NA,NA
1986,1,2,9,NA,NA,NA,NA,NA
1986,1,2,12,NA,NA,NA,NA,NA
1986,1,2,15,NA,NA,NA,NA,NA
1986,1,2,18,NA,NA,NA,NA,NA
1986,1,2,21,NA,NA,NA,NA,NA
1986,1,3,0,NA,NA,NA,NA,NA
1986,1,3,3,NA,NA,NA,NA,NA
1986,1,3,6,NA,NA,NA,NA,NA
1986,1,3,9,NA,NA,NA,NA,NA
1986,1,3,12,NA,NA,NA,NA,NA
1986,1,3,15,NA,NA,NA,NA,NA
1986,1,3,18,NA,NA,NA,NA,NA
1986,1,3,21,NA,NA,NA,NA,NA
1986,1,4,0,NA,NA,NA,NA,NA
1986,1,4,3,NA,NA,NA,NA,NA
1986,1,4,6,NA,NA,NA,NA,NA
1986,1,4,9,NA,NA,NA,NA,NA
1986,1,4,12,NA,NA,NA,NA,NA
1986,1,4,15,NA,NA,NA,NA,NA
1986,1,4,18,NA,NA,NA,NA,NA
1986,1,4,21,NA,NA,NA,NA,NA
1986,1,5,0,NA,NA,NA,NA,NA
1986,1,5,3,NA,NA,NA,NA,NA
1986,1,5,6,NA,NA,NA,NA,NA
1986,1,5,9,NA,NA,NA,NA,NA
1986,1,5,12,NA,NA,NA,NA,NA
1986,1,5,15,NA,NA,NA,NA,NA
1986,1,5,18,NA,NA,NA,NA,NA
1986,1,5,21,NA,NA,NA,NA,NA
1986,1,6,0,NA,NA,NA,NA,NA
1986,1,6,3,NA,NA,NA,NA,NA
1986,1,6,6,NA,NA,NA,NA,NA
1986,1,6,9,NA,NA,NA,NA,NA
1986,1,6,12,NA,NA,NA,NA,NA
1986,1,6,15,NA,NA,NA,NA,NA
1986,1,6,18,NA,NA,NA,NA,NA
1986,1,6,21,NA,NA,NA,NA,NA
1986,1,7,0,NA,NA,NA,NA,NA
1986,1,7,3,NA,NA,NA,NA,NA
1986,1,7,6,NA,NA,NA,NA,NA
1986,1,7,9,NA,NA,NA,NA,NA
1986,1,7,12,NA,NA,NA,NA,NA
1986,1,7,15,NA,NA,NA,NA,NA
1986,1,7,18,NA,NA,NA,NA,NA
1986,1,7,21,NA,NA,NA,NA,NA
1986,1,8,0,NA,NA,NA,NA,NA
1986,1,8,3,NA,NA,NA,NA,NA
1986,1,8,6,NA,NA,NA,NA,NA
1986,1,8,9,NA,NA,NA,NA,NA
1986,1,8,12,NA,NA,NA,NA,NA
1986,1,8,15,NA,NA,NA,NA,NA
1986,1,8,18,NA,NA,NA,NA,NA
1986,1,8,21,NA,NA,NA,NA,NA
1986,1,9,0,NA,NA,NA,NA,NA
1986,1,9,3,NA,NA,NA,NA,NA
1986,1,9,6,NA,NA,NA,NA,NA
1986,1,9,9,NA,NA,NA,NA,NA
1986,1,9,12,NA,NA,NA,NA,NA
1986,1,9,15,NA,NA,NA,NA,NA
1986,1,9,18,NA,NA,NA,NA,NA
1986,1,9,21,NA,NA,NA,NA,NA
1986,1,10,0,NA,NA,NA,NA,NA
1986,1,10,3,NA,NA,NA,NA,NA
1986,1,10,6,NA,NA,NA,NA,NA
1986,1,10,9,NA,NA,NA,NA,NA
1986,1,10,12,NA,NA,NA,NA,NA
1986,1,10,15,NA,NA,NA,NA,NA
1986,1,10,18,NA,NA,NA,NA,NA
1986,1,10,21,NA,NA,NA,NA,NA
1986,1,11,0,NA,NA,NA,NA,NA
1986,1,11,3,NA,NA,NA,NA,NA
1986,1,11,6,-15.1,755.9,9,163,51
1986,1,11,9,-15.4,756.6,9.5,167,52
1986,1,11,12,-16.2,756.2,10.5,170,50
1986,1,11,15,-17.1,756.2,9,181,47
1986,1,11,18,-16.1,756.9,NA,185,42
1986,1,11,21,-14.5,756.9,8,158,43
1986,1,12,0,-14.2,757.5,6,142,47
1986,1,12,3,-14.1,757.5,10.5,161,47
1986,1,12,6,NA,NA,NA,NA,NA
1986,1,12,9,NA,NA,NA,NA,NA
1986,1,12,12,NA,NA,NA,NA,NA
1986,1,12,15,NA,NA,NA,NA,NA
1986,1,12,18,NA,NA,NA,NA,NA
1986,1,12,21,NA,NA,NA,NA,NA
1986,1,13,0,NA,NA,NA,NA,NA
1986,1,13,3,NA,NA,NA,NA,NA
1986,1,13,6,NA,NA,NA,NA,NA
1986,1,13,9,-17.6,757,15.2,161,68
1986,1,13,12,-16.4,759.5,NA,147,61
1986,1,13,15,-17.7,759.5,14.4,161,70
1986,1,13,18,-17.1,760,NA,153,69
1986,1,13,21,NA,NA,NA,NA,NA
1986,1,14,0,-13.6,761.2,9.2,160,59
1986,1,14,3,-13.2,762.3,11,147,60
1986,1,14,6,-12.1,763.5,7.5,156,54
1986,1,14,9,-13.7,764.4,NA,147,59
1986,1,14,12,-12.7,765.1,NA,154,52
1986,1,14,15,-14.9,765.3,9.2,161,55
1986,1,14,18,-15.1,765.9,10,172,50
1986,1,14,21,-15.6,765.4,9.7,189,47
1986,1,15,0,-15.4,764.1,9.7,189,45
1986,1,15,3,-15.1,762.2,9,189,43
1986,1,15,6,-15.1,760.4,10,192,46
1986,1,15,9,-15.1,759.2,8.2,174,45
1986,1,15,12,-16.1,758,8,177,46
1986,1,15,15,-16.7,756.7,7.7,168,45
1986,1,15,18,-17.1,755.4,8.2,188,44
1986,1,15,21,-16,754.1,7.5,158,44
1986,1,16,0,-15.6,752.9,9.7,157,47
1986,1,16,3,-12.1,752.9,NA,1,33
1986,1,16,6,-13.6,754,4.7,161,41
1986,1,16,9,-14.9,754.7,NA,151,51
1986,1,16,12,-12.6,756.1,NA,156,38
1986,1,16,15,-15,756.7,NA,144,48
1986,1,16,18,-16.2,757.5,6.2,150,47
1986,1,16,21,-15.5,757.9,7,150,46
1986,1,17,0,-15.4,758.3,8.5,153,42
1986,1,17,3,-15.6,758.3,11,158,42
1986,1,17,6,-16.1,758.1,9,167,44
1986,1,17,9,-16.1,757.3,10.7,172,42
1986,1,17,12,-17.2,756.7,9.5,177,43
1986,1,17,15,-17.5,755.3,9,167,47
1986,1,17,18,-16.9,754.5,8,165,45
1986,1,17,21,-15.9,754,7.5,149,41
1986,1,18,0,-16.1,753.1,9.5,167,43
1986,1,18,3,-16,751.9,8.7,165,39
1986,1,18,6,-15.1,751.2,7.5,160,48
1986,1,18,9,-12.6,751.4,NA,0,56
1986,1,18,12,-16,752.7,NA,0,53
