Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2010,2,18,0,NA,NA,NA,NA,NA
2010,2,18,3,NA,NA,NA,NA,NA
2010,2,18,6,NA,NA,NA,NA,NA
2010,2,18,9,NA,NA,NA,NA,NA
2010,2,18,12,NA,NA,NA,NA,NA
2010,2,18,15,NA,NA,NA,NA,NA
2010,2,18,18,6,985.9,3.4,252,47.9
2010,2,18,21,4.4,985.3,4.5,286,52.2
2010,2,19,0,1.9,984.6,7,266,50.8
2010,2,19,3,2.2,983.8,8.1,264,50.6
2010,2,19,6,0.7,983.8,4.7,220,53.6
2010,2,19,9,1.1,983.7,4.7,224,57.3
2010,2,19,12,4.1,983.9,2.5,228,51.4
2010,2,19,15,NA,983.9,1.8,316,47.9
2010,2,19,18,NA,983.8,1.8,192,50.1
2010,2,19,21,-0.5,983.8,5.3,196,85.6
2010,2,20,0,NA,984.2,NA,196,94.6
2010,2,20,3,-3.4,985,9.5,189,92
2010,2,20,6,-5.8,986,9.8,197,89
2010,2,20,9,-7.7,988.1,12.2,182,87.7
2010,2,20,12,-8.6,990.5,10.1,199,86.1
2010,2,20,15,-8.6,991.6,9.6,195,82.9
2010,2,20,18,-7.5,992.8,5.9,206,74
2010,2,20,21,-8.4,994.6,6.7,199,72.9
2010,2,21,0,-10,996.9,7.6,204,81.9
2010,2,21,3,-11,997.7,11.6,214,78.8
2010,2,21,6,-11.6,998.8,12,215,67.3
2010,2,21,9,-11.4,998.9,7.4,212,69.4
2010,2,21,12,-9.4,999,NA,167,65.7
2010,2,21,15,-7.3,998,3.7,295,61.5
2010,2,21,18,-8.7,996.4,NA,333,73.3
2010,2,21,21,-9,994.5,8.5,334,72.1
2010,2,22,0,-10.2,993.2,9.7,335,86.1
2010,2,22,3,-11.3,991.4,11.5,336,89.5
2010,2,22,6,-11.9,990.2,9.6,337,90.1
2010,2,22,9,-12,989.2,7,338,91
2010,2,22,12,-10.3,988.2,6,341,90.6
2010,2,22,15,-8.6,987.8,4.2,359,90.9
2010,2,22,18,-6.2,988,2,345,85.8
2010,2,22,21,-5.6,989.3,4.1,193,85
2010,2,23,0,-6.8,990.4,6.1,190,82.9
2010,2,23,3,-8.2,990.9,4.2,206,82.9
2010,2,23,6,-8.6,991,6.3,201,86.5
2010,2,23,9,-9.1,991.5,6.5,197,91
2010,2,23,12,NA,991.5,1.8,347,83.8
2010,2,23,15,NA,990.8,1.7,74,80.8
2010,2,23,18,NA,990.1,1.2,100,78.4
2010,2,23,21,NA,988.6,1.4,46,76.1
2010,2,24,0,-5.5,987,2.4,181,81.7
2010,2,24,3,-7.2,985.5,2.3,286,85.8
2010,2,24,6,-8.5,982.9,4.9,335,88.9
2010,2,24,9,-6.4,980.9,NA,344,83.8
2010,2,24,12,NA,980.7,NA,324,87.3
2010,2,24,15,-7,981.2,NA,191,83.8
2010,2,24,18,-5.5,982.2,2.1,123,82.1
2010,2,24,21,-5.8,983.1,6.3,197,83.7
2010,2,25,0,NA,983.7,1.8,321,91.9
2010,2,25,3,-7.1,983.1,2.8,203,94.2
2010,2,25,6,NA,982.8,1.2,324,95.5
2010,2,25,9,NA,982.4,0.8,23,96.1
2010,2,25,12,NA,982.1,0.8,238,92.7
2010,2,25,15,-3.9,980.9,2.8,114,81.6
2010,2,25,18,-2.2,979.7,2.7,87,74.5
2010,2,25,21,-6.5,977.7,3.9,346,96.8
2010,2,26,0,-6.4,975.1,5.5,342,95.4
2010,2,26,3,-5.7,972.4,NA,NA,94.4
2010,2,26,6,-5.7,968.9,NA,NA,95
2010,2,26,9,-6.1,966.7,7.2,200,91.8
2010,2,26,12,-7,965.3,NA,213,91.3
2010,2,26,15,-6.1,964.8,NA,222,85.4
2010,2,26,18,-6.9,964.8,NA,NA,88
2010,2,26,21,-7.2,965.4,17.3,221,88.9
2010,2,27,0,-7.5,966.7,18.8,222,90.1
2010,2,27,3,-7.6,968,NA,211,90.1
2010,2,27,6,-7.9,969.7,NA,199,89.5
2010,2,27,9,-8,971.1,14.9,220,85.8
2010,2,27,12,-6.6,971.8,14.6,210,81.5
2010,2,27,15,-5.5,972.7,11.6,201,77.5
2010,2,27,18,-5.8,973,NA,207,79.8
2010,2,27,21,-6.3,972.7,7.7,197,78.9
2010,2,28,0,-7.4,971.6,7.9,202,84.1
2010,2,28,3,-8,969.6,7.2,193,89.5
2010,2,28,6,-8.4,967.9,8.2,202,89.9
2010,2,28,9,-9.1,966.3,NA,209,85.9
2010,2,28,12,-8.6,965.2,NA,NA,88.2
2010,2,28,15,-7.7,966.6,16.9,207,89.8
2010,2,28,18,-8.9,968.2,NA,NA,90
2010,2,28,21,-10.4,970.5,19.4,203,88.5
2010,3,1,0,-11.9,973.3,NA,NA,87.9
2010,3,1,3,-12.4,976.6,12.9,205,87.7
2010,3,1,6,-11.9,978.8,12,209,80.4
2010,3,1,9,-12.7,980.4,11.9,196,80
2010,3,1,12,-12.7,982.6,9.5,210,78.4
2010,3,1,15,-12,983.5,11,202,75.7
2010,3,1,18,-11.9,985.3,12.6,204,73.1
2010,3,1,21,-14,987.5,NA,188,79.3
2010,3,2,0,-15.6,989.3,NA,196,82
2010,3,2,3,-17.1,990,3,315,91.1
2010,3,2,6,-16.1,990,4.5,223,85.4
2010,3,2,9,-17.1,990.4,3.1,323,94
2010,3,2,12,-13.9,990.9,5.3,338,87.3
2010,3,2,15,-13.9,990.4,6.3,349,88.5
2010,3,2,18,-12.4,990.7,3.7,345,89
2010,3,2,21,-11.6,989.6,5.6,350,90.8
2010,3,3,0,-11.6,987.5,2.9,29,91.4
