Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1999,1,1,0,NA,NA,NA,NA,NA
1999,1,1,3,NA,NA,NA,NA,NA
1999,1,1,6,NA,NA,NA,NA,NA
1999,1,1,9,NA,NA,NA,NA,NA
1999,1,1,12,NA,NA,NA,NA,NA
1999,1,1,15,NA,NA,NA,NA,NA
1999,1,1,18,NA,NA,NA,NA,NA
1999,1,1,21,NA,NA,NA,NA,NA
1999,1,2,0,NA,NA,NA,NA,NA
1999,1,2,3,NA,NA,NA,NA,NA
1999,1,2,6,NA,NA,NA,NA,NA
1999,1,2,9,NA,NA,NA,NA,NA
1999,1,2,12,NA,NA,NA,NA,NA
1999,1,2,15,NA,NA,NA,NA,NA
1999,1,2,18,NA,NA,NA,NA,NA
1999,1,2,21,NA,NA,NA,NA,NA
1999,1,3,0,NA,NA,NA,NA,NA
1999,1,3,3,NA,NA,NA,NA,NA
1999,1,3,6,NA,NA,NA,NA,NA
1999,1,3,9,NA,NA,NA,NA,NA
1999,1,3,12,NA,NA,NA,NA,NA
1999,1,3,15,NA,NA,NA,NA,NA
1999,1,3,18,NA,NA,NA,NA,NA
1999,1,3,21,NA,NA,NA,NA,NA
1999,1,4,0,NA,NA,NA,NA,NA
1999,1,4,3,NA,NA,NA,NA,NA
1999,1,4,6,NA,NA,NA,NA,NA
1999,1,4,9,NA,NA,NA,NA,NA
1999,1,4,12,NA,NA,NA,NA,NA
1999,1,4,15,NA,NA,NA,NA,NA
1999,1,4,18,NA,NA,NA,NA,NA
1999,1,4,21,NA,NA,NA,NA,NA
1999,1,5,0,NA,NA,NA,NA,NA
1999,1,5,3,NA,NA,NA,NA,NA
1999,1,5,6,NA,NA,NA,NA,NA
1999,1,5,9,NA,NA,NA,NA,NA
1999,1,5,12,NA,NA,NA,NA,NA
1999,1,5,15,NA,NA,NA,NA,NA
1999,1,5,18,NA,NA,NA,NA,NA
1999,1,5,21,NA,NA,NA,NA,NA
1999,1,6,0,NA,NA,NA,NA,NA
1999,1,6,3,NA,NA,NA,NA,NA
1999,1,6,6,NA,NA,NA,NA,NA
1999,1,6,9,NA,NA,NA,NA,NA
1999,1,6,12,NA,NA,NA,NA,NA
1999,1,6,15,NA,NA,NA,NA,NA
1999,1,6,18,NA,NA,NA,NA,NA
1999,1,6,21,NA,NA,NA,NA,NA
1999,1,7,0,NA,NA,NA,NA,NA
1999,1,7,3,NA,NA,NA,NA,NA
1999,1,7,6,NA,NA,NA,NA,NA
1999,1,7,9,NA,NA,NA,NA,NA
1999,1,7,12,NA,NA,NA,NA,NA
1999,1,7,15,NA,NA,NA,NA,NA
1999,1,7,18,NA,NA,NA,NA,NA
1999,1,7,21,NA,NA,NA,NA,NA
1999,1,8,0,NA,NA,NA,NA,NA
1999,1,8,3,NA,NA,NA,NA,NA
1999,1,8,6,NA,NA,NA,NA,NA
1999,1,8,9,NA,NA,NA,NA,NA
1999,1,8,12,NA,NA,NA,NA,NA
1999,1,8,15,NA,NA,NA,NA,NA
1999,1,8,18,NA,NA,NA,NA,NA
1999,1,8,21,NA,NA,NA,NA,NA
1999,1,9,0,NA,NA,NA,NA,NA
1999,1,9,3,NA,NA,NA,NA,NA
1999,1,9,6,NA,NA,NA,NA,NA
1999,1,9,9,NA,NA,NA,NA,NA
1999,1,9,12,NA,NA,NA,NA,NA
1999,1,9,15,NA,NA,NA,NA,NA
1999,1,9,18,NA,NA,NA,NA,NA
1999,1,9,21,NA,NA,NA,NA,NA
1999,1,10,0,NA,NA,NA,NA,NA
1999,1,10,3,NA,NA,NA,NA,NA
1999,1,10,6,NA,NA,NA,NA,NA
1999,1,10,9,NA,NA,NA,NA,NA
1999,1,10,12,NA,NA,NA,NA,NA
1999,1,10,15,NA,NA,NA,NA,NA
1999,1,10,18,NA,NA,NA,NA,NA
1999,1,10,21,NA,NA,NA,NA,NA
1999,1,11,0,NA,NA,NA,NA,NA
1999,1,11,3,NA,NA,NA,NA,NA
1999,1,11,6,NA,NA,NA,NA,NA
1999,1,11,9,NA,NA,NA,NA,NA
1999,1,11,12,NA,NA,NA,NA,NA
1999,1,11,15,NA,NA,NA,NA,NA
1999,1,11,18,-7.4,982.7,4.3,23,99
1999,1,11,21,-5.4,982.5,2.7,355,89
1999,1,12,0,NA,982.1,0.2,180,30
1999,1,12,3,-5.5,981.7,4.7,120,73
1999,1,12,6,NA,981.1,1,119,27
1999,1,12,9,-7.2,980.8,2.5,299,81
1999,1,12,12,NA,981.6,1.2,216,91
1999,1,12,15,-7.6,982.7,3.3,146,95
1999,1,12,18,NA,981.9,0.2,37,66
1999,1,12,21,NA,980.5,1.2,347,84
1999,1,13,0,-4.8,979.5,4.9,199,76
1999,1,13,3,-5.9,979.4,NA,225,88
1999,1,13,6,-4.8,978.7,5.5,212,93
1999,1,13,9,-4.6,977.4,6.2,250,78
1999,1,13,12,-5.8,977.2,7.2,195,83
1999,1,13,15,-6.6,977.3,2.9,205,77
1999,1,13,18,-5.8,976.3,3.9,326,80
1999,1,13,21,-2.9,975.4,5.3,307,60
1999,1,14,0,NA,974.6,3.1,313,41
1999,1,14,3,-0.1,975.2,NA,300,17
1999,1,14,6,-3.5,975.2,4.3,324,77
1999,1,14,9,NA,976,1.6,146,49
1999,1,14,12,-6.8,976.4,4.1,241,64
1999,1,14,15,-4.4,976.8,5.3,254,57
1999,1,14,18,-3.4,976.6,4.7,237,62
1999,1,14,21,-1.8,975.4,7.4,258,56
1999,1,15,0,-3.6,976.1,7.4,185,76
1999,1,15,3,-4.1,976.8,2.9,189,77
1999,1,15,6,-4.1,976.9,6.4,189,75
1999,1,15,9,-6.6,978.3,4.9,192,94
1999,1,15,12,NA,979.9,7.2,157,99
1999,1,15,15,-8.9,981.2,NA,132,74
1999,1,15,18,-8,980.9,3.3,1,91
1999,1,15,21,-5.4,979.8,3.5,187,51
1999,1,16,0,-7,981.2,NA,161,91
1999,1,16,3,NA,983.4,NA,172,91
1999,1,16,6,-10.8,984.9,7,180,86
1999,1,16,9,-10.2,986.1,NA,144,84
1999,1,16,12,-10.5,986.9,4.1,216,96
1999,1,16,15,-10.5,986.9,2.1,205,83
1999,1,16,18,NA,987.6,1.8,120,72
1999,1,16,21,NA,988.5,0.2,217,35
1999,1,17,0,-8.5,989.8,NA,171,73
1999,1,17,3,-7.4,990.4,4.5,188,81
1999,1,17,6,-9.1,991.1,8.6,167,95
1999,1,17,9,-7,991.5,NA,355,85
1999,1,17,12,-8,991.7,NA,229,78
1999,1,17,15,NA,991.6,0.2,2,66
1999,1,17,18,NA,991.2,1.9,355,93
1999,1,17,21,NA,991,1.2,324,86
1999,1,18,0,NA,989.6,0.8,327,43
1999,1,18,3,NA,988.5,1.8,336,59
1999,1,18,6,NA,988.4,0.2,355,30
1999,1,18,9,NA,988.4,0.2,2,68
1999,1,18,12,NA,989.5,2.7,11,NA
1999,1,18,15,NA,990,3.9,355,98
1999,1,18,18,-8.8,989.9,3.7,317,87
1999,1,18,21,NA,989.7,2.7,336,70
1999,1,19,0,NA,988.3,5.5,317,73
1999,1,19,3,-2,986.8,5.8,312,81
1999,1,19,6,-3.2,986.3,4.7,312,93
1999,1,19,9,-2.9,986.5,6.8,293,88
1999,1,19,12,-3.2,986.3,8.4,293,97
1999,1,19,15,-2.9,985.9,7.6,299,90
1999,1,19,18,-3.5,986.7,NA,194,71
1999,1,19,21,-6,988.1,3.3,104,78
1999,1,20,0,-4.4,989.9,2.7,109,60
1999,1,20,3,NA,991.8,1.4,135,51
1999,1,20,6,-5.9,993.5,6,151,99
1999,1,20,9,-6.1,994.5,NA,85,83
1999,1,20,12,NA,994.9,1.4,33,NA
1999,1,20,15,-8.8,994.1,3.5,355,NA
1999,1,20,18,-7,992.5,5.1,355,95
1999,1,20,21,-4.9,991.2,3.3,336,79
1999,1,21,0,NA,988.4,2.3,295,59
1999,1,21,3,NA,985.2,1.4,303,28
1999,1,21,6,0.6,983.8,NA,281,53
1999,1,21,9,-1.2,982.5,NA,285,70
1999,1,21,12,-2.4,982.6,NA,260,84
1999,1,21,15,-3.4,981.6,NA,175,80
1999,1,21,18,-3,981.3,2.1,181,73
1999,1,21,21,NA,980.1,0.2,303,40
1999,1,22,0,-2.4,979.3,4.1,201,66
1999,1,22,3,-1.9,979.3,4.9,163,72
1999,1,22,6,-2.2,979.9,3.1,320,90
1999,1,22,9,-1.8,980,NA,206,82
1999,1,22,12,-2.9,981,NA,203,91
1999,1,22,15,-4.1,982.7,5.1,189,93
1999,1,22,18,-2.5,983.7,6.8,191,70
1999,1,22,21,-1,984.4,6,206,74
1999,1,23,0,-4.1,985.6,9.6,177,81
1999,1,23,3,-3.1,987.3,5.3,185,72
1999,1,23,6,-1.6,987.2,NA,163,61
1999,1,23,9,-2.9,987.9,2.9,281,89
1999,1,23,12,-5.9,989.3,2.5,236,99
1999,1,23,15,NA,989.4,0.8,19,89
