Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1997,12,20,0,NA,NA,NA,NA,NA
1997,12,20,3,NA,NA,NA,NA,NA
1997,12,20,6,-12.82,824,16.5,NA,76
1997,12,20,9,-12.8,825,15.1,NA,76
1997,12,20,12,-12.74,825.6,13.8,NA,82
1997,12,20,15,-12.9,825.4,12.6,NA,86
1997,12,20,18,-13.64,825.2,9.8,NA,86
1997,12,20,21,-14.1,824.8,NA,NA,84
1997,12,21,0,NA,NA,NA,NA,NA
1997,12,21,3,NA,NA,NA,NA,NA
1997,12,21,6,-9.66,826,10.9,NA,68
1997,12,21,9,-10.06,827.4,12.9,NA,78
1997,12,21,12,NA,NA,NA,NA,NA
1997,12,21,15,NA,NA,NA,NA,NA
1997,12,21,18,-10.16,827.6,7.9,NA,90
1997,12,21,21,-11.24,826.6,11.5,NA,86
1997,12,22,0,-10.68,827.8,10.9,NA,78
1997,12,22,3,NA,NA,NA,NA,NA
1997,12,22,6,-9.2,830.6,9,NA,64
1997,12,22,9,-9.24,832.4,7.1,NA,72
1997,12,22,12,-9.5,834,7.1,NA,84
1997,12,22,15,NA,NA,NA,NA,NA
1997,12,22,18,NA,NA,NA,NA,NA
1997,12,22,21,-9.54,838,NA,NA,94
1997,12,23,0,NA,NA,NA,NA,NA
1997,12,23,3,NA,NA,NA,NA,NA
1997,12,23,6,NA,839.2,1.2,NA,NA
1997,12,23,9,NA,839,1,NA,NA
1997,12,23,12,NA,838.2,1.7,NA,74
1997,12,23,15,NA,837.2,2.6,NA,94
1997,12,23,18,NA,NA,NA,NA,NA
1997,12,23,21,-10.66,832.6,5,NA,90
1997,12,24,0,-10.86,830,5.4,NA,78
1997,12,24,3,NA,NA,NA,NA,NA
1997,12,24,6,NA,NA,NA,NA,NA
1997,12,24,9,-11.12,820.8,NA,NA,86
1997,12,24,12,-11.36,821.2,18.8,NA,88
1997,12,24,15,-11.68,822.2,17.9,NA,88
1997,12,24,18,-10.68,822.4,19.6,NA,90
1997,12,24,21,NA,NA,NA,NA,NA
1997,12,25,0,NA,NA,NA,NA,NA
1997,12,25,3,-9.3,829.2,19.9,NA,88
1997,12,25,6,NA,NA,NA,NA,NA
1997,12,25,9,-9.4,833.8,16.2,NA,86
1997,12,25,12,-9.2,835.6,15.9,NA,90
1997,12,25,15,-9.16,835.4,16.5,NA,92
