Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,4,3,0,NA,NA,NA,NA,NA
2009,4,3,3,NA,NA,NA,NA,NA
2009,4,3,6,NA,NA,NA,NA,NA
2009,4,3,9,NA,NA,NA,NA,NA
2009,4,3,12,NA,NA,NA,NA,NA
2009,4,3,15,NA,NA,NA,NA,NA
2009,4,3,18,-1.8,1010.9,2.5,71,67.5
2009,4,3,21,-2,1010.6,1.3,102,70.2
2009,4,4,0,-2,1010.3,1.1,73,66.6
2009,4,4,3,-2.1,1010,2.8,76,66.5
2009,4,4,6,-2,1009.8,0.9,136,65.1
2009,4,4,9,-1.8,1009.2,1.7,246,64.1
2009,4,4,12,-2.3,1008.5,1.9,97,64.5
2009,4,4,15,-1.9,1008.2,1.3,56,65.6
2009,4,4,18,-2.5,1007.3,6,99,67.2
2009,4,4,21,-2.3,1006.4,4.1,92,64.4
2009,4,5,0,-2.5,1005.5,4.7,100,66.9
2009,4,5,3,-2.7,1004.3,3.9,90,66.3
2009,4,5,6,-2.9,1003,4.4,91,65.9
2009,4,5,9,-3,1002.2,3.3,99,64.3
2009,4,5,12,-2.9,1001.4,5.2,93,65
2009,4,5,15,-2.9,1001.1,3.1,116,62.8
2009,4,5,18,-2.5,1000.5,4.6,87,61.4
2009,4,5,21,-2.6,1001,2.8,94,61.3
2009,4,6,0,-2.6,1001.5,1,132,58.5
2009,4,6,3,-2.6,1001.5,1.6,117,59.6
2009,4,6,6,-2.6,1001.3,1.5,64,59.9
2009,4,6,9,-2.7,1001.3,1.7,160,60.2
2009,4,6,12,-2.5,1001.6,1.8,132,60.7
2009,4,6,15,-2.1,1001.9,0.8,138,56.8
2009,4,6,18,-1.9,1002.3,1.5,75,65.5
2009,4,6,21,-2.1,1002.4,2.5,112,53.3
2009,4,7,0,-2,1002.9,1.1,217,66.4
2009,4,7,3,-2.1,1002.9,1.8,118,62.7
2009,4,7,6,-1.9,1002.9,0.9,37,70
2009,4,7,9,-2,1003,1.2,135,71.1
2009,4,7,12,-2.4,1003,1.6,226,74
2009,4,7,15,-0.2,1003.1,1.3,195,60.5
2009,4,7,18,-1.2,1002.7,2.5,115,63.2
2009,4,7,21,-2.2,1002.2,1.5,82,67.5
2009,4,8,0,-2.5,1001.6,0.6,119,68
2009,4,8,3,-2.9,1000.5,1.5,81,68.1
2009,4,8,6,-2.8,1000.1,2,115,69
2009,4,8,9,-3.3,999.7,0.7,161,72.8
2009,4,8,12,-3.6,999.4,2.1,107,68.8
2009,4,8,15,-2.3,999.3,4,97,64.8
2009,4,8,18,-2.1,999.8,2,77,64.8
2009,4,8,21,-2.5,1000.6,1.8,263,64.7
2009,4,9,0,-3.5,1001,1,159,61.6
2009,4,9,3,-3.4,1000.6,1.1,116,62.5
2009,4,9,6,-3.4,1000.2,1.8,122,67.7
2009,4,9,9,-2,998.7,1.7,243,69.4
2009,4,9,12,-2.1,996.6,0.7,219,66.5
2009,4,9,15,-2.7,994.1,3.5,89,79.7
2009,4,9,18,-1.9,991.2,0.4,220,90.7
2009,4,9,21,0,987.9,4.3,96,89.1
2009,4,10,0,1.6,984.4,NA,57,68.7
2009,4,10,3,2.5,981,7.4,98,55.5
2009,4,10,6,1.4,978.9,8,122,48.9
2009,4,10,9,0.2,975.3,NA,94,45.5
2009,4,10,12,-0.7,976.5,12.4,101,45.2
2009,4,10,15,-0.6,976.8,17,99,40.9
2009,4,10,18,-0.1,979.7,NA,119,39.7
2009,4,10,21,0.5,980.7,NA,96,36.5
2009,4,11,0,0.7,982.4,12.6,96,37.7
2009,4,11,3,2.2,984.9,10,100,36.2
