Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,12,22,0,-8.7,953.7,2.7,12,78.9
2009,12,22,3,-9.3,954,3.7,63,82.1
2009,12,22,6,-9.7,954.2,4.3,73,79.6
2009,12,22,9,-10.4,954.5,5,72,78.1
2009,12,22,12,-11.5,954.6,4.1,44,80.1
2009,12,22,15,-10.8,953.8,6.2,68,71.6
2009,12,22,18,-10,953.2,3.3,58,67
2009,12,22,21,NA,952.3,NA,285,49.2
2009,12,23,0,-7.7,951.3,3.9,195,76.1
2009,12,23,3,NA,951,1.5,34,71.1
2009,12,23,6,NA,950.9,1,62,71.4
2009,12,23,9,NA,950.7,1.7,90,77.7
2009,12,23,12,-7.9,950.8,3.3,93,71.8
2009,12,23,15,-7.6,950.5,5.1,71,73.5
2009,12,23,18,-7.4,951,7.8,66,74.4
2009,12,23,21,-8.1,951.9,3.5,33,77.8
2009,12,24,0,-7.8,952.6,NA,36,76.1
2009,12,24,3,-8.1,953.1,2.2,13,78.1
2009,12,24,6,NA,953.8,0.8,335,78.4
2009,12,24,9,NA,954.3,0.8,330,74.4
2009,12,24,12,NA,954.8,1,294,72.2
2009,12,24,15,NA,954.9,1.1,331,75.6
2009,12,24,18,NA,955.1,1.2,343,75.6
2009,12,24,21,-10.9,955.6,3.5,27,84.9
2009,12,25,0,-9.5,955.6,NA,92,69.7
2009,12,25,3,-9.9,954.5,5.2,41,75.9
2009,12,25,6,NA,952.7,NA,64,67.5
2009,12,25,9,-9.9,951.8,5.4,65,75.7
2009,12,25,12,-6.9,949,NA,103,68.6
2009,12,25,15,NA,947.1,7.2,90,67.9
2009,12,25,18,-3.8,946.3,8.1,77,72.3
2009,12,25,21,-4.1,946.8,8.2,62,69.5
2009,12,26,0,-4.6,946.2,10.2,72,76.8
2009,12,26,3,-4.6,946.9,6.2,75,79.7
2009,12,26,6,-5.1,947.4,5.8,98,78.1
2009,12,26,9,-5,947.7,6.3,101,76.9
2009,12,26,12,-3.9,947.4,7,95,75.2
2009,12,26,15,-3.4,947.1,6.5,91,74.9
2009,12,26,18,-3.6,946.8,9.9,95,78.3
2009,12,26,21,-3,947,8.2,81,80.6
2009,12,27,0,-3.3,947.2,NA,97,80.9
2009,12,27,3,-3.3,947.3,8.7,97,84.4
2009,12,27,6,-2.8,947.8,10,89,77.1
2009,12,27,9,-3,948.8,8.3,96,75.3
2009,12,27,12,-3.4,949.1,11.3,94,69.7
2009,12,27,15,-4.2,949.4,10.6,97,73.3
2009,12,27,18,-4,950.1,10.9,94,80
2009,12,27,21,-3.9,951,8.9,90,79.1
2009,12,28,0,-2.9,951.5,8.7,96,78.9
2009,12,28,3,-3.1,952.1,5.2,80,86.5
2009,12,28,6,-3.1,952.6,3.9,67,87.3
2009,12,28,9,-3.9,953.6,4.7,61,90.3
2009,12,28,12,-4.5,954.6,6.4,51,89
2009,12,28,15,-5.1,955.6,3.9,37,87.8
2009,12,28,18,-5.6,956.6,2.9,40,90.1
2009,12,28,21,NA,957.6,1.7,47,87.2
2009,12,29,0,NA,957.7,0.4,36,81.5
2009,12,29,3,NA,957.4,0.4,53,77.2
2009,12,29,6,NA,956.7,1.5,198,85.9
2009,12,29,9,-7,956.5,2.4,108,82.4
2009,12,29,12,-6.2,955.6,5.6,106,73.8
2009,12,29,15,-4.9,954.8,6.4,107,71
2009,12,29,18,-4.1,954.5,6.2,123,63.6
2009,12,29,21,-3.8,954.1,6.9,110,68.2
2009,12,30,0,-2.5,953.2,6.9,121,56.2
2009,12,30,3,-3,952.2,9,111,70.9
2009,12,30,6,-3.3,951.4,8.6,97,68.3
2009,12,30,9,-3.9,951,10.8,97,64.9
2009,12,30,12,-3,950,12.1,96,63.4
2009,12,30,15,-4.1,949.8,NA,107,91.2
2009,12,30,18,-3.7,951,NA,75,91.3
2009,12,30,21,-6.1,954.6,NA,62,89.5
2009,12,31,0,-6.1,956.5,7.8,42,84.1
2009,12,31,3,-6.8,958.2,8.5,72,86.2
2009,12,31,6,-7.1,960.2,7.7,84,86.3
2009,12,31,9,-7.3,962.3,8,61,87.1
2009,12,31,12,-7.4,963.8,6.3,71,90.2
2009,12,31,15,-7.4,964.5,6.1,91,87.7
2009,12,31,18,-7.3,964.4,5.6,87,86.2
2009,12,31,21,-6.8,964.7,7,94,83.6
2010,1,1,0,-6.5,964.7,5.3,92,85.7
2010,1,1,3,-6.3,964.7,4.3,89,87.8
2010,1,1,6,-6.7,964.8,5.6,73,88.3
2010,1,1,9,-7.2,965.4,4.9,99,86.3
2010,1,1,12,-6.9,966.1,3.8,87,80.7
2010,1,1,15,-7.6,966.6,3.8,97,77.1
2010,1,1,18,-7.3,967.6,5.7,102,76.4
2010,1,1,21,-7.1,968.7,7.6,110,73.9
2010,1,2,0,-6.3,969.7,3.9,101,66.6
2010,1,2,3,-6.9,970.5,3.7,100,64.5
2010,1,2,6,-7.7,971,2.7,114,72.4
2010,1,2,9,-9,971.3,4.3,107,76.6
2010,1,2,12,NA,971.5,1.1,35,69.2
2010,1,2,15,NA,970.9,0.7,67,63.2
2010,1,2,18,-9.1,969.9,2.8,272,74.8
2010,1,2,21,-10.7,969.1,2,2,73.5
2010,1,3,0,NA,968.2,1.9,49,79.9
2010,1,3,3,-11.3,967,2.1,337,86.7
2010,1,3,6,NA,966.5,0.7,67,83.8
2010,1,3,9,NA,966.2,1,346,83.5
2010,1,3,12,NA,966.2,0.9,336,88.7
2010,1,3,15,NA,966.1,1,24,81.8
2010,1,3,18,NA,966.6,0.6,297,77.7
2010,1,3,21,NA,967.2,1.1,345,73.6
2010,1,4,0,NA,968.2,1.3,216,79.2
2010,1,4,3,NA,968.9,6,106,68.6
2010,1,4,6,-4.9,971.2,6.1,43,75.9
2010,1,4,9,-5.8,972,3.7,77,69.2
2010,1,4,12,-6.7,972.4,3.2,118,74.6
2010,1,4,15,-5.8,972.2,3.4,120,65.3
2010,1,4,18,NA,972.2,1.7,64,63.6
2010,1,4,21,NA,972.1,0.5,38,69.2
2010,1,5,0,NA,971.9,0.6,283,59.5
2010,1,5,3,-6.5,971.2,3.7,309,75
2010,1,5,6,NA,971.3,1.1,53,75
2010,1,5,9,-7.5,971.1,2.3,99,79.2
2010,1,5,12,-7.3,970.9,2.7,117,67.4
2010,1,5,15,-8.1,970.9,4.3,65,74.6
2010,1,5,18,-6.7,970.7,4,98,71.7
2010,1,5,21,-4.8,970.6,2.8,92,73.1
2010,1,6,0,-4.4,970.4,2.8,81,77
2010,1,6,3,-4.2,970.1,3.3,95,74.8
2010,1,6,6,-4.3,970,6.2,102,69.3
2010,1,6,9,-5.4,970.1,6.3,116,74.7
2010,1,6,12,-5.4,970.1,5.7,104,73.2
2010,1,6,15,-4.7,970,5.1,99,66.8
