Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,12,20,0,NA,NA,NA,NA,NA
2009,12,20,3,-15.57,822.5,13.73,104.23,84.1
2009,12,20,6,-16.48,822.3,14.51,98.9,84.83
2009,12,20,9,-14.92,822.03,13.95,86.97,86.45
2009,12,20,12,-14.65,821.73,14.52,102.42,86.83
2009,12,20,15,-13.69,821.55,15.33,104.07,87.5
2009,12,20,18,-12.57,821.02,NA,107.52,87.93
2009,12,20,21,-13.55,820.78,NA,114.23,87.48
2009,12,21,0,-16.1,820.37,10.96,116.35,85.47
2009,12,21,3,-17.39,820.28,NA,113.47,84.45
2009,12,21,6,-18.5,820.28,NA,113.23,83.53
2009,12,21,9,-17.26,820.4,NA,111.02,84.68
2009,12,21,12,-16.88,821.4,25.49,105.07,84.73
2009,12,21,15,-15.7,822.3,25.89,98.98,85.65
2009,12,21,18,-14.81,823.33,22.99,90.77,86.3
2009,12,21,21,-14.74,824.87,NA,83.88,86.48
2009,12,22,0,-14.45,826.2,NA,75.5,87
2009,12,22,3,-13.69,826.92,NA,60.76,87.9
2009,12,22,6,-12.69,827.9,NA,74.67,88.92
2009,12,22,9,-11.6,828.58,NA,19.45,90.07
2009,12,22,12,-10.47,828.97,2.5,11.34,90.83
2009,12,22,15,NA,829.08,4.57,34.65,92.57
2009,12,22,18,-8.38,828.93,NA,88.15,92.25
2009,12,22,21,-9.62,828.8,8.37,100.2,91.23
2009,12,23,0,-11.65,828.38,8.95,100.33,89.78
2009,12,23,3,NA,827.88,6.59,105.95,87.65
2009,12,23,6,-15.42,827.33,4.86,112.55,86.62
2009,12,23,9,-16.35,827.2,NA,105.47,86.18
2009,12,23,12,-13.28,827.22,NA,95.32,88.22
2009,12,23,15,-12.28,826.92,NA,98.53,88.1
2009,12,23,18,-12.68,826.9,NA,98.28,87.48
2009,12,23,21,-13.88,827.37,21.16,99.48,87.25
2009,12,24,0,-13.04,827.33,20.91,102.17,71.5
2009,12,24,3,-16.6,827.02,20.8,104.2,85.2
2009,12,24,6,-16.72,826.68,22.51,104.83,85.38
2009,12,24,9,-16.99,827,NA,102.67,84.82
2009,12,24,12,-16.87,826.73,24.13,98.5,84.57
2009,12,24,15,-16.41,826.85,26.06,99.47,84.63
2009,12,24,18,-15.87,827.22,25.76,97.98,84.65
2009,12,24,21,-16.36,828.07,23.87,99.13,84.5
2009,12,25,0,-16.65,828.53,23.66,102.23,84.72
2009,12,25,3,-16.62,829.02,23.26,99.55,85.12
2009,12,25,6,-16.69,829.68,21.81,98.1,85.15
2009,12,25,9,-16.44,830.33,21.4,97.13,85.22
2009,12,25,12,-15.91,831.05,21.16,95.57,85.17
2009,12,25,15,-14.79,831.83,19.48,99.63,85.27
2009,12,25,18,-13.49,832.35,21.38,94.77,85.9
2009,12,25,21,-13.19,832.8,22.08,95.15,86.62
2009,12,26,0,-14.56,833.07,20.86,96.73,85.77
2009,12,26,3,-15.94,833.2,NA,94.77,85.2
2009,12,26,6,-17.85,833.2,NA,93.77,83.5
2009,12,26,9,-18.52,833.3,4.38,93.8,82.67
2009,12,26,12,-16.98,833.42,NA,93.23,83.48
2009,12,26,15,-15.48,833.27,NA,89.27,84.4
2009,12,26,18,-14.18,833.48,11.92,84.18,84.87
2009,12,26,21,-13.78,833.62,NA,88.67,85.32
2009,12,27,0,NA,833.7,1.26,92.87,84.92
2009,12,27,3,-17.58,833.5,5.94,96.77,83.55
2009,12,27,6,NA,833.38,6.17,96.62,82.43
2009,12,27,9,-19.96,833.45,3.16,92.87,81.75
2009,12,27,12,NA,833.62,NA,87.98,85.3
2009,12,27,15,NA,833.27,0.67,92.02,85
2009,12,27,18,NA,833.22,3.23,221.37,78.61
2009,12,27,21,NA,833.48,4.28,221.87,81.62
2009,12,28,0,-11.2,833.42,2.24,214.98,84.4
2009,12,28,3,-12.02,833.03,NA,236.85,88.78
2009,12,28,6,-11.57,832.95,NA,240.15,90.38
2009,12,28,9,-11.11,833.07,10.51,241.62,89.88
2009,12,28,12,-10.54,833.32,11.24,211.15,89.65
2009,12,28,15,-9.61,833.83,12.56,205.23,87.92
2009,12,28,18,-9.94,834.4,13.62,210.58,85.88
2009,12,28,21,-11.2,835.25,14.25,205.57,85.13
2009,12,29,0,-12.42,835.98,NA,207.5,87.22
2009,12,29,3,-14.54,835.83,NA,221.57,86.9
2009,12,29,6,NA,836.13,NA,201.15,82.2
2009,12,29,9,-17.74,836.77,NA,198.17,80.43
2009,12,29,12,-15.21,836.8,11.21,200,79.79
2009,12,29,15,NA,837.48,8.16,165.62,78.63
2009,12,29,18,-11.25,838.05,NA,186.7,71.86
2009,12,29,21,-11.38,838.8,9.42,203.97,74.53
2009,12,30,0,-13.18,838.55,NA,211.58,56.38
2009,12,30,3,-14.79,838.43,NA,209.6,87.18
2009,12,30,6,-15.07,838.2,NA,211.13,86.53
2009,12,30,9,-13.97,838.03,NA,211.9,87.15
2009,12,30,12,-13.59,837.83,15.82,214.43,85.73
2009,12,30,15,-13.52,837.6,18.61,214.02,85.43
2009,12,30,18,-11.93,837.77,NA,214.02,86.58
2009,12,30,21,-11.8,838.38,18.74,213.33,86.5
2009,12,31,0,-12.57,838.62,NA,213.75,86.63
2009,12,31,3,-14.49,838.73,NA,214.43,86.23
2009,12,31,6,-14.66,838.62,NA,218.78,87.42
2009,12,31,9,-14.35,838,NA,225.17,87.62
2009,12,31,12,-12.45,836.97,NA,242.58,86.82
2009,12,31,15,NA,835.4,NA,239.65,86.8
2009,12,31,18,-5.6,833.9,NA,237.3,86.12
2009,12,31,21,-8.64,832.73,NA,233.17,89.3
2010,1,1,0,-9.99,831.37,NA,222.2,90.95
2010,1,1,3,-10.75,830.13,NA,208.22,90.22
2010,1,1,6,-13.12,829,4.67,154.57,88.35
2010,1,1,9,-14.66,828.5,8.41,99.67,87.47
2010,1,1,12,-16.76,827.78,NA,129.55,84.72
2010,1,1,15,-15.94,827.2,NA,130.47,83.72
2010,1,1,18,-16.11,826.93,NA,131.02,80.43
2010,1,1,21,-16.57,826.85,20.34,122.6,81.21
2010,1,2,0,-16.95,826.38,NA,129,83.22
2010,1,2,3,-18.01,825.33,NA,130.73,83.82
2010,1,2,6,-19.4,824.65,NA,129.78,82.65
2010,1,2,9,-19.4,823.78,NA,123.22,82.5
2010,1,2,12,-18.78,823.33,NA,129.08,82.87
2010,1,2,15,-17.93,823.85,15.63,126.25,83.25
2010,1,2,18,-16.67,824.45,NA,125.53,84.2
2010,1,2,21,-15.99,825.23,NA,117.5,85.13
2010,1,3,0,-15.42,825.9,29.62,118.03,85.92
2010,1,3,3,-15.36,826.67,NA,113.75,86.3
2010,1,3,6,-15.39,827.25,26.36,102.1,86.37
2010,1,3,9,-15.23,827.93,23.35,99.73,86.55
2010,1,3,12,-15.2,828.3,25.02,100.17,86.42
2010,1,3,15,-14.94,828.37,NA,99.92,86.25
2010,1,3,18,-14.43,827.77,NA,104.85,86.47
2010,1,3,21,-13.28,828.43,NA,90.65,87.67
2010,1,4,0,-10.42,829.18,NA,68.65,89.98
2010,1,4,3,-12.5,829.82,NA,92.12,88.47
2010,1,4,6,NA,829.8,NA,97.77,86.1
2010,1,4,9,-15.76,829.72,NA,99.32,86.12
2010,1,4,12,-14.45,829.98,NA,100.23,86.98
2010,1,4,15,-14.25,830.5,27.32,99.75,86.83
2010,1,4,18,-13.38,831.13,27.45,96.6,87.4
2010,1,4,21,-13.81,832.08,NA,98.68,87.12
2010,1,5,0,-14.46,833.35,NA,96.98,86.93
2010,1,5,3,-15.18,834.5,NA,100.38,86.48
2010,1,5,6,-15.86,835.37,NA,112.32,86.07
2010,1,5,9,-15.36,835.6,NA,114.83,86.35
2010,1,5,12,-15.04,835.87,NA,108.08,86.3
2010,1,5,15,-14.26,836.6,27.1,103.5,86.63
2010,1,5,18,-13.37,837.37,28.79,96.58,87.08
2010,1,5,21,-13.27,838.45,26.55,97.92,87.38
2010,1,6,0,-13.59,839.03,NA,95.77,87.2
2010,1,6,3,-14.19,839.23,26.03,91.7,87.33
2010,1,6,6,-14.35,840.07,NA,91.78,87.27
2010,1,6,9,-14.1,840.65,11.17,91.1,87.3
2010,1,6,12,-13.77,841.13,NA,91.32,87.15
2010,1,6,15,-13.29,841.08,NA,88.45,86.85
