Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2010,2,6,0,NA,NA,NA,NA,NA
2010,2,6,3,NA,NA,NA,NA,NA
2010,2,6,6,NA,NA,NA,NA,NA
2010,2,6,9,NA,NA,NA,NA,NA
2010,2,6,12,NA,NA,NA,NA,NA
2010,2,6,15,NA,NA,NA,NA,NA
2010,2,6,18,NA,NA,NA,NA,NA
2010,2,6,21,NA,934.5,1.9,286,77.4
2010,2,7,0,NA,934.4,3.5,264,86.1
2010,2,7,3,-8.4,933.8,6,276,75
2010,2,7,6,-10,933,5.5,273,74.7
2010,2,7,9,-9,932.2,6.2,246,68.7
2010,2,7,12,-7.2,931.5,4,268,71
2010,2,7,15,NA,930.3,2.3,297,63.3
2010,2,7,18,NA,929.7,1.1,75,56.8
2010,2,7,21,NA,928.7,1.2,257,55.2
2010,2,8,0,NA,927.8,3.8,257,75.9
2010,2,8,3,NA,926.8,4.7,277,81.5
2010,2,8,6,-11.8,926,4.1,267,76
2010,2,8,9,-13.1,926.2,3.9,268,92.2
2010,2,8,12,-9.6,926.2,4.4,274,72.9
2010,2,8,15,NA,926.6,0.5,334,86.9
2010,2,8,18,-6.3,926.8,2.9,101,82.6
2010,2,8,21,-6.9,927.1,3.4,94,94.9
2010,2,9,0,-7.5,927.3,3.6,57,92.6
2010,2,9,3,NA,927,0.6,111,92.9
2010,2,9,6,-7.8,926.2,NA,NA,92.6
2010,2,9,9,-7.9,925.6,NA,NA,92.3
2010,2,9,12,-6.6,925.3,NA,NA,91.8
2010,2,9,15,NA,924.5,1.6,224,90.1
2010,2,9,18,-5.9,924.3,2.1,82,90.1
2010,2,9,21,NA,924,1.6,73,91.8
2010,2,10,0,NA,923.4,0.4,78,92.6
2010,2,10,3,-7.9,922.9,NA,NA,92.8
2010,2,10,6,-8.4,922.3,NA,NA,91.4
2010,2,10,9,-8.2,921.2,7.4,340,90.5
2010,2,10,12,NA,920.3,NA,347,88.2
2010,2,10,15,NA,919.3,NA,346,79.9
2010,2,10,18,-5.9,918.4,NA,186,70.1
2010,2,10,21,-5.6,917.9,4.2,150,68.6
2010,2,11,0,-5.9,917.1,NA,207,71
2010,2,11,3,NA,915.7,NA,355,88.4
2010,2,11,6,-4.9,914.7,NA,192,72
2010,2,11,9,-4.6,912.9,5.2,233,76.3
2010,2,11,12,-5,913.4,2,65,81.6
2010,2,11,15,-3.6,913.8,4.6,241,72.8
2010,2,11,18,NA,915,1.8,302,73.6
2010,2,11,21,-2.5,917,4.1,330,87.1
2010,2,12,0,-1.8,918.8,4.3,142,82.2
2010,2,12,3,-1.8,920.6,5.3,165,80.6
2010,2,12,6,NA,922.5,0.8,164,78.9
2010,2,12,9,-1.6,924.8,NA,171,77.8
2010,2,12,12,-1.8,926.9,NA,176,77
2010,2,12,15,-2,929.2,5.8,168,81
2010,2,12,18,-1.7,931.2,6.5,174,75.4
2010,2,12,21,-1.7,933,4.3,207,75.9
2010,2,13,0,NA,934.8,NA,104,82.9
2010,2,13,3,-3.2,936,2.1,260,90.5
2010,2,13,6,NA,936.9,1.9,313,89.6
2010,2,13,9,-4,937.6,2,245,88.2
2010,2,13,12,NA,937.9,1.7,274,85.6
2010,2,13,15,-2,938.2,2.1,113,82.2
2010,2,13,18,-1.4,938.2,2.2,97,80.7
2010,2,13,21,NA,938.9,1,114,90.5
2010,2,14,0,NA,940.3,0.4,74,95.3
2010,2,14,3,-2.6,941.1,2.4,279,87.9
2010,2,14,6,NA,941.5,0.3,188,97.8
2010,2,14,9,NA,941.8,3.4,270,88.6
2010,2,14,12,NA,941.3,4.5,249,78.3
2010,2,14,15,NA,940.6,4,288,66.6
2010,2,14,18,0.2,940.2,2.8,272,75.9
2010,2,14,21,0.4,939.6,3.6,284,76.1
2010,2,15,0,-2.6,939.5,4.8,265,73.3
2010,2,15,3,NA,939.5,4.2,252,71.9
2010,2,15,6,-4.4,939.1,6.3,270,64.1
2010,2,15,9,NA,938.9,4.7,254,46.1
2010,2,15,12,0,938.7,4,276,62.4
2010,2,15,15,NA,938.3,0.4,209,40.5
2010,2,15,18,2.8,937.7,3.1,277,71.2
2010,2,15,21,NA,936.5,1.1,302,65.2
2010,2,16,0,4.7,936.2,4.3,252,65.2
2010,2,16,3,5.3,936,5.6,256,58.9
2010,2,16,6,4.8,935.2,6.7,272,61.3
2010,2,16,9,4.4,935.3,7.7,268,59.7
2010,2,16,12,5.3,934.5,8.8,277,56.8
2010,2,16,15,5.7,932.8,9.4,269,59.7
2010,2,16,18,7.3,928.5,NA,293,48.2
2010,2,16,21,6.1,929.4,NA,260,51
2010,2,17,0,NA,927.1,NA,261,68.6
2010,2,17,3,NA,927.5,NA,246,72
2010,2,17,6,1.3,926.5,NA,263,61.8
2010,2,17,9,-0.1,925.6,NA,277,61.7
2010,2,17,12,0.3,925.3,NA,279,63.7
2010,2,17,15,1.6,926.5,12.4,272,52
2010,2,17,18,1.9,927.5,10.1,267,53.2
2010,2,17,21,0.9,927.9,12.6,275,54
2010,2,18,0,-1.8,929,NA,244,63.7
2010,2,18,3,-2.9,929.5,NA,253,62.6
2010,2,18,6,-3.4,930.1,6.9,261,62.4
2010,2,18,9,-1.2,930.2,6.4,267,56.3
2010,2,18,12,0.3,930.6,5.7,265,49.3
2010,2,18,15,1.2,930.6,2.2,281,67.6
2010,2,18,18,2,930,4.5,278,47.1
2010,2,18,21,0.3,929.3,5.2,268,59.6
2010,2,19,0,-1.4,929,6.4,263,59.4
2010,2,19,3,-0.2,928.3,6.9,293,54.2
2010,2,19,6,-3.1,928.1,5.1,276,61.9
2010,2,19,9,-2.3,928.1,5.3,280,55.3
2010,2,19,12,-1.4,928.2,4.2,261,60.6
2010,2,19,15,0.5,927.9,3,301,57.8
2010,2,19,18,NA,927.9,1.3,137,62.3
2010,2,19,21,NA,927.9,1.7,282,71.6
2010,2,20,0,NA,928.5,2.4,273,72.5
2010,2,20,3,NA,928.9,2.7,125,88.6
2010,2,20,6,-7,930,7,231,92.9
2010,2,20,9,-9.5,931.5,NA,NA,91.8
2010,2,20,12,-9.9,932.5,NA,NA,90.5
2010,2,20,15,-9.7,933.4,NA,NA,89.9
2010,2,20,18,-10.1,934.3,2.2,350,89.4
2010,2,20,21,NA,936,1.8,161,89.6
2010,2,21,0,NA,938.4,1.5,2,90.4
2010,2,21,3,NA,939.8,1.4,348,90.3
2010,2,21,6,NA,940.3,0.9,43,90
2010,2,21,9,NA,939.9,1.2,205,89.6
2010,2,21,12,-14.6,939.1,3.5,330,86.8
2010,2,21,15,-10.6,937.8,2.1,340,86
2010,2,21,18,NA,936.2,0.8,293,82.6
2010,2,21,21,NA,934.5,0.6,110,76.6
2010,2,22,0,NA,933.5,3.4,268,84.6
