Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2019,1,14,0,-0.1,986.4,NA,NA,81.2
2019,1,14,3,-1.2,985.7,NA,NA,79.9
2019,1,14,6,-2.7,985,NA,NA,86.1
2019,1,14,9,-2,984.7,NA,NA,89.6
2019,1,14,12,-2.1,985.2,NA,NA,86.1
2019,1,14,15,0,985.3,NA,NA,71.3
2019,1,14,18,0.5,985.5,NA,NA,62.7
2019,1,14,21,1.1,986.1,NA,NA,64.2
2019,1,15,0,0.7,986.5,NA,NA,65.1
2019,1,15,3,-1.2,986,NA,NA,67
2019,1,15,6,-2.1,985.6,NA,NA,56.8
2019,1,15,9,-0.8,984.8,NA,NA,40.4
2019,1,15,12,-0.6,983.6,NA,NA,84.2
2019,1,15,15,-0.9,982.3,NA,NA,86.7
2019,1,15,18,-0.4,981.2,NA,NA,80.5
2019,1,15,21,0.2,980.2,NA,NA,78.3
2019,1,16,0,-0.7,978.7,NA,NA,81.7
2019,1,16,3,-2.1,977,NA,NA,90.4
2019,1,16,6,-2.5,975.3,NA,NA,81.5
2019,1,16,9,-3.7,973.1,NA,NA,86
2019,1,16,12,-3.9,969.8,NA,NA,84.3
2019,1,16,15,-1.9,966.3,NA,NA,80.4
2019,1,16,18,-1.5,963.4,NA,NA,81.4
2019,1,16,21,-3.6,959.6,NA,NA,96.8
2019,1,17,0,-1.5,955.2,NA,NA,92.3
2019,1,17,3,-1.3,954.1,NA,NA,92.1
2019,1,17,6,-2.5,953.8,NA,NA,92.5
2019,1,17,9,-2.4,953.5,NA,NA,96.1
2019,1,17,12,-2.7,953.3,NA,NA,96
2019,1,17,15,-0.7,953.9,NA,NA,88.2
2019,1,17,18,1.8,954.4,NA,NA,73.3
2019,1,17,21,1.9,955.7,NA,NA,76.7
2019,1,18,0,0.6,956.8,NA,NA,84.8
2019,1,18,3,-0.5,958.8,NA,NA,80.9
2019,1,18,6,-1.9,960.4,NA,NA,78.8
2019,1,18,9,-2.8,962.9,NA,NA,86
2019,1,18,12,-3.1,963.5,NA,NA,90
2019,1,18,15,-2,964.9,NA,NA,84.4
2019,1,18,18,-0.7,965.1,NA,NA,78.7
2019,1,18,21,-0.2,964.6,NA,NA,88.1
2019,1,19,0,-0.1,963.8,NA,NA,91.5
2019,1,19,3,-1,963.6,NA,NA,94.2
2019,1,19,6,-1,963.8,NA,NA,94.8
2019,1,19,9,-1.2,964.5,NA,NA,96.8
2019,1,19,12,-1.2,965.1,NA,NA,95.4
2019,1,19,15,-0.4,966.1,NA,NA,90.2
2019,1,19,18,0.9,966.7,NA,NA,85.5
2019,1,19,21,0.7,967.7,NA,NA,80.7
2019,1,20,0,0.3,968.3,NA,NA,80.6
2019,1,20,3,-0.2,968.8,NA,NA,90.4
2019,1,20,6,-0.6,968.9,NA,NA,92.9
2019,1,20,9,-1.4,969.5,NA,NA,94.5
2019,1,20,12,-1.5,969.7,NA,NA,88.9
2019,1,20,15,-0.3,969.8,NA,NA,85.8
2019,1,20,18,2.3,969.7,NA,NA,72.9
2019,1,20,21,0.9,970.1,NA,NA,85.7
2019,1,21,0,-0.3,970.4,NA,NA,88.9
2019,1,21,3,-1.2,970.3,NA,NA,88.6
2019,1,21,6,-2.7,970.6,NA,NA,94.7
2019,1,21,9,-3.4,971.1,NA,NA,90.1
2019,1,21,12,-3.2,971.4,NA,NA,89.2
2019,1,21,15,-2,971.5,NA,NA,71.6
2019,1,21,18,-1.4,972,NA,NA,67.2
2019,1,21,21,-1.2,972.8,NA,NA,63.9
2019,1,22,0,-0.4,973.7,NA,NA,63
2019,1,22,3,-2.1,974.6,NA,NA,71.5
2019,1,22,6,-2.5,975.8,NA,NA,69.3
2019,1,22,9,-2.9,977.1,NA,NA,75.2
2019,1,22,12,-2,977.9,NA,NA,74.9
2019,1,22,15,-2.8,978.5,NA,NA,88.8
2019,1,22,18,-1,979.7,NA,NA,75.2
2019,1,22,21,-1.3,980.6,NA,NA,66.6
2019,1,23,0,-1.2,980.8,NA,NA,72.4
2019,1,23,3,-3.2,981.3,NA,NA,81.4
2019,1,23,6,NA,982.6,NA,NA,87.8
2019,1,23,9,-7.7,983.5,NA,NA,78
2019,1,23,12,-6.9,984.1,NA,NA,70.9
2019,1,23,15,-4.1,984.3,NA,NA,64.3
2019,1,23,18,-2.6,984.3,NA,NA,61.6
2019,1,23,21,-1.2,983.9,NA,NA,58.8
2019,1,24,0,-0.3,983.7,NA,NA,61.1
2019,1,24,3,-3.6,983.1,NA,NA,71.5
2019,1,24,6,-4.2,982.1,NA,NA,66.4
2019,1,24,9,-3.9,981.4,NA,NA,62.6
2019,1,24,12,-3.1,980.2,NA,NA,58.9
2019,1,24,15,-4.5,978.5,NA,NA,68.7
2019,1,24,18,-1,977.2,NA,NA,56.4
2019,1,24,21,NA,975.8,NA,NA,54.7
2019,1,25,0,-1.3,974.2,NA,NA,72.3
2019,1,25,3,-3,972.4,NA,NA,71.4
2019,1,25,6,-4.4,970.9,NA,NA,67
2019,1,25,9,-5.3,969.5,NA,NA,68.5
2019,1,25,12,-4.1,968.7,NA,NA,63.7
2019,1,25,15,-4.6,968,NA,NA,70.4
2019,1,25,18,-1.6,968,NA,NA,62.9
2019,1,25,21,-1.6,969,NA,NA,82.3
2019,1,26,0,-1.4,970.2,NA,NA,71.4
2019,1,26,3,-5.3,971,NA,NA,79.8
2019,1,26,6,NA,972.5,NA,NA,81.8
2019,1,26,9,-9.4,973.5,NA,NA,83.7
2019,1,26,12,-8.7,974.4,NA,NA,85.2
2019,1,26,15,-7.3,974.2,NA,NA,83
2019,1,26,18,-3.9,974.5,NA,NA,74.7
2019,1,26,21,-3.8,974.2,NA,NA,88.2
2019,1,27,0,-3.9,974,NA,NA,91.3
2019,1,27,3,-5.1,973.7,NA,NA,85.8
2019,1,27,6,-7.2,974,NA,NA,89.3
2019,1,27,9,-8,973.5,NA,NA,94.2
2019,1,27,12,-7.7,973.4,NA,NA,94.8
2019,1,27,15,-7.3,973.6,NA,NA,93.3
2019,1,27,18,-5.6,973.2,NA,NA,90.4
2019,1,27,21,-3.9,973,NA,NA,79
2019,1,28,0,-3.9,972.6,NA,NA,84.9
2019,1,28,3,-5,972.6,NA,NA,87.5
2019,1,28,6,-7.4,972.7,NA,NA,82.6
2019,1,28,9,-7.2,972.9,NA,NA,74.6
2019,1,28,12,-5.9,973.2,NA,NA,81.4
2019,1,28,15,-6.2,973.3,NA,NA,84.6
2019,1,28,18,-2,973.5,NA,NA,75.3
2019,1,28,21,NA,973.9,NA,NA,76.2
2019,1,29,0,-1.9,974.6,NA,NA,79.1
2019,1,29,3,-3.9,974.6,NA,NA,87.4
2019,1,29,6,-3.9,975.4,NA,NA,89.1
2019,1,29,9,-4.8,976.2,NA,NA,89.6
2019,1,29,12,-3.7,976.5,NA,NA,84.7
2019,1,29,15,-2.5,976,NA,NA,80
2019,1,29,18,-2.6,976.1,NA,NA,80.5
2019,1,29,21,-1.3,976.2,NA,NA,75.3
2019,1,30,0,-2.1,976.1,NA,NA,80
2019,1,30,3,-3.9,976.4,NA,NA,79.7
2019,1,30,6,NA,976.4,NA,NA,79.3
2019,1,30,9,NA,976.8,NA,NA,92.7
2019,1,30,12,-7.9,977.3,NA,NA,89.5
2019,1,30,15,NA,977.4,NA,NA,77.8
2019,1,30,18,-4.5,977.7,NA,NA,79.9
2019,1,30,21,-2.9,978.4,NA,NA,75
2019,1,31,0,-5.5,978.9,NA,NA,87.5
2019,1,31,3,-6.5,979.5,NA,NA,84.6
2019,1,31,6,-8.6,980.4,NA,NA,78.7
2019,1,31,9,-9.8,981.5,NA,NA,80.7
2019,1,31,12,-8.5,982.4,NA,NA,56.7
2019,1,31,15,-7.6,982.7,NA,NA,59
2019,1,31,18,-6.7,983.3,NA,NA,67.7
2019,1,31,21,-4.6,984,NA,NA,60.1
2019,2,1,0,-5.5,983.9,NA,NA,76.6
2019,2,1,3,-7.4,983.3,NA,NA,82.1
2019,2,1,6,-7.5,982.9,NA,NA,83.9
2019,2,1,9,-8.8,982.1,NA,NA,81.9
2019,2,1,12,-7.5,980.7,NA,NA,75.8
2019,2,1,15,-8.1,979.6,NA,NA,76.2
2019,2,1,18,-6,978.1,NA,NA,79.3
2019,2,1,21,-6.1,976.2,NA,NA,89.5
