Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1990,3,1,0,NA,NA,NA,NA,NA
1990,3,1,3,NA,NA,NA,NA,NA
1990,3,1,6,NA,NA,NA,NA,NA
1990,3,1,9,NA,NA,NA,NA,NA
1990,3,1,12,NA,NA,NA,NA,NA
1990,3,1,15,NA,NA,NA,NA,NA
1990,3,1,18,NA,NA,NA,NA,NA
1990,3,1,21,NA,NA,NA,NA,NA
1990,3,2,0,NA,NA,NA,NA,NA
1990,3,2,3,NA,NA,NA,NA,NA
1990,3,2,6,NA,NA,NA,NA,NA
1990,3,2,9,NA,NA,NA,NA,NA
1990,3,2,12,NA,NA,NA,NA,NA
1990,3,2,15,NA,NA,NA,NA,NA
1990,3,2,18,NA,NA,NA,NA,NA
1990,3,2,21,NA,NA,NA,NA,NA
1990,3,3,0,NA,NA,NA,NA,NA
1990,3,3,3,NA,NA,NA,NA,NA
1990,3,3,6,NA,NA,NA,NA,NA
1990,3,3,9,NA,NA,NA,NA,NA
1990,3,3,12,NA,NA,NA,NA,NA
1990,3,3,15,NA,NA,NA,NA,NA
1990,3,3,18,NA,NA,NA,NA,NA
1990,3,3,21,NA,NA,NA,NA,NA
1990,3,4,0,NA,NA,NA,NA,NA
1990,3,4,3,NA,NA,NA,NA,NA
1990,3,4,6,NA,NA,NA,NA,NA
1990,3,4,9,NA,NA,NA,NA,NA
1990,3,4,12,NA,NA,NA,NA,NA
1990,3,4,15,NA,NA,NA,NA,NA
1990,3,4,18,NA,NA,NA,NA,NA
1990,3,4,21,NA,NA,NA,NA,NA
1990,3,5,0,NA,NA,NA,NA,NA
1990,3,5,3,NA,NA,NA,NA,NA
1990,3,5,6,NA,NA,NA,NA,NA
1990,3,5,9,NA,NA,NA,NA,NA
1990,3,5,12,NA,NA,NA,NA,NA
1990,3,5,15,NA,NA,NA,NA,NA
1990,3,5,18,NA,NA,NA,NA,NA
1990,3,5,21,NA,NA,NA,NA,NA
1990,3,6,0,NA,NA,NA,NA,NA
1990,3,6,3,NA,NA,NA,NA,NA
1990,3,6,6,NA,NA,NA,NA,NA
1990,3,6,9,NA,NA,NA,NA,NA
1990,3,6,12,NA,NA,NA,NA,NA
1990,3,6,15,NA,NA,NA,NA,NA
1990,3,6,18,NA,NA,NA,NA,NA
1990,3,6,21,NA,NA,NA,NA,NA
1990,3,7,0,NA,NA,NA,NA,NA
1990,3,7,3,NA,NA,NA,NA,NA
1990,3,7,6,NA,NA,NA,NA,NA
1990,3,7,9,NA,NA,NA,NA,NA
1990,3,7,12,NA,NA,NA,NA,NA
1990,3,7,15,NA,NA,NA,NA,NA
1990,3,7,18,NA,NA,NA,NA,NA
1990,3,7,21,NA,NA,NA,NA,NA
1990,3,8,0,NA,NA,NA,NA,NA
1990,3,8,3,NA,NA,NA,NA,NA
