Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,4,1,0,NA,NA,NA,NA,NA
2009,4,1,3,NA,NA,NA,NA,NA
2009,4,1,6,NA,NA,NA,NA,NA
2009,4,1,9,NA,NA,NA,NA,NA
2009,4,1,12,NA,NA,NA,NA,NA
2009,4,1,15,NA,NA,NA,NA,NA
2009,4,1,18,NA,NA,NA,NA,NA
2009,4,1,21,NA,NA,NA,NA,NA
2009,4,2,0,NA,NA,NA,NA,NA
2009,4,2,3,NA,NA,NA,NA,NA
2009,4,2,6,NA,NA,NA,NA,NA
2009,4,2,9,NA,NA,NA,NA,NA
2009,4,2,12,NA,NA,NA,NA,NA
2009,4,2,15,NA,NA,NA,NA,NA
2009,4,2,18,NA,NA,NA,NA,NA
2009,4,2,21,-0.3,1009.6,4.6,116,71
2009,4,3,0,-0.6,1010.2,3.6,110,73.1
2009,4,3,3,-0.6,1010.4,4.7,100,75.7
2009,4,3,6,-0.6,1010.7,5.6,98,78
2009,4,3,9,-0.6,1011.1,5.6,81,79
2009,4,3,12,-0.6,1011.5,4.1,101,73
2009,4,3,15,-0.4,1011.9,5.1,89,74.5
2009,4,3,18,-0.3,1011.6,5.3,78,70.6
2009,4,3,21,-0.7,1011.7,4.2,103,71.1
2009,4,4,0,-0.9,1011.8,2.9,85,69.5
2009,4,4,3,-1.2,1011.6,1.3,126,71.1
2009,4,4,6,-1.1,1011.1,0.1,122,68.1
2009,4,4,9,-1.4,1010.7,0.9,196,75
2009,4,4,12,-1.1,1010.1,1.1,221,61.6
2009,4,4,15,-1,1009.3,1.3,274,60.5
2009,4,4,18,-1.7,1008.5,4.5,137,76
2009,4,4,21,-1.8,1007.5,3.8,112,76.1
2009,4,5,0,-1.8,1006.8,1.5,93,66
2009,4,5,3,-1.5,1005.2,2.2,128,62.2
2009,4,5,6,-1.6,1003.8,0.6,87,61
2009,4,5,9,-2.4,1003,2.3,133,81.3
2009,4,5,12,-2.1,1002.2,3,57,68.7
2009,4,5,15,-1.8,1001.8,3.6,62,65
2009,4,5,18,-1.8,1001.4,2.6,75,62.2
2009,4,5,21,-1.7,1001.8,2.2,112,61.4
2009,4,6,0,-1.7,1002.1,2.9,93,72
2009,4,6,3,-1.5,1002,4.8,87,71.5
2009,4,6,6,-1.2,1002,3.2,75,65.3
2009,4,6,9,-1.3,1001.8,5.3,87,61.1
2009,4,6,12,-1.4,1002.3,4.7,82,60
2009,4,6,15,-1.1,1002.3,5.7,78,55
2009,4,6,18,-1,1002.7,3.9,95,59.4
2009,4,6,21,-1,1002.8,4.8,114,66
2009,4,7,0,-1.3,1003.3,5.9,110,70
2009,4,7,3,-1.4,1003.9,4.3,124,74
2009,4,7,6,-1.3,1004.5,3.8,124,66.5
2009,4,7,9,-1.4,1004.9,2.4,180,69
2009,4,7,12,-1.1,1005.2,3.4,181,76
2009,4,7,15,-0.2,1005.2,5.6,234,61.3
2009,4,7,18,-0.2,1005,4.4,240,64.3
2009,4,7,21,0.1,1004.3,4,237,71
