Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,12,30,0,NA,NA,NA,NA,NA
2009,12,30,3,NA,NA,NA,NA,NA
2009,12,30,6,NA,NA,NA,NA,NA
2009,12,30,9,NA,NA,NA,NA,NA
2009,12,30,12,NA,NA,NA,NA,NA
2009,12,30,15,NA,NA,NA,NA,NA
2009,12,30,18,NA,NA,NA,NA,NA
2009,12,30,21,NA,835.5,1.6,235,55.2
2009,12,31,0,-12,835.3,2.9,153,75.5
2009,12,31,3,NA,835.3,0.7,209,88.4
2009,12,31,6,-12.1,834.9,2.4,170,89.5
2009,12,31,9,-15.2,834.9,2.9,354,86.7
2009,12,31,12,-14.8,834.4,5.4,19,87.7
2009,12,31,15,-12.4,833.8,5.4,339,87.9
2009,12,31,18,NA,833.3,1.2,5,87.6
2009,12,31,21,-10.2,832.8,2.1,46,88.5
2010,1,1,0,NA,832,1.3,84,89.3
2010,1,1,3,-12.5,830.9,2.9,317,89.5
2010,1,1,6,-13.3,830.1,NA,337,89.5
2010,1,1,9,-13,829.7,5.7,350,89
2010,1,1,12,-12.5,828.7,8.8,329,89.2
2010,1,1,15,-11.6,828.7,6.6,336,88.7
2010,1,1,18,-11.2,828.4,8.8,342,88.6
2010,1,1,21,-11.6,827.5,NA,349,89.8
2010,1,2,0,-11.3,827.2,10.4,348,90.3
2010,1,2,3,-11.7,827.5,8.2,357,90.7
2010,1,2,6,-11.6,826.9,10.3,356,90.7
2010,1,2,9,-11.7,826.8,11.7,352,90.4
2010,1,2,12,-10.8,826.9,12.8,352,90.3
2010,1,2,15,-10.1,827.5,12,355,90.2
2010,1,2,18,-9.7,828.7,9.3,349,90.3
2010,1,2,21,-9.3,830.1,7.5,349,91
2010,1,3,0,-9.5,830.5,8.1,351,91.3
2010,1,3,3,-10.6,831.1,9.6,358,91.3
2010,1,3,6,-10.4,832.8,6.2,342,91.6
2010,1,3,9,-10.5,833.9,7,17,91.1
2010,1,3,12,-10.2,834.7,7.1,13,90.5
2010,1,3,15,-9.4,835.4,6.4,27,90.5
2010,1,3,18,-9,835.6,5.9,29,89.7
2010,1,3,21,-8.4,836,3,349,89.9
2010,1,4,0,-8.6,835.6,5.2,350,81.9
2010,1,4,3,-8.9,835.4,6.9,22,69.8
2010,1,4,6,-9.2,835.7,5.4,357,79.2
2010,1,4,9,-9.8,835.6,5.7,348,79.3
2010,1,4,12,-9.1,835.4,5.6,28,71.2
2010,1,4,15,-7.5,834.8,6.6,35,69
2010,1,4,18,-6.6,834.1,NA,26,65.4
2010,1,4,21,-6.1,834.4,NA,31,66
2010,1,5,0,-6.6,834.4,11,24,59.5
2010,1,5,3,-7.3,834.8,9.5,43,56.9
2010,1,5,6,-8.3,834.5,12.8,33,59
2010,1,5,9,-7.6,834.8,12.2,42,53.2
2010,1,5,12,-7.7,835,12.8,32,57.3
2010,1,5,15,-6.5,836,10.5,35,65.8
2010,1,5,18,-6.1,836.7,NA,25,70.4
2010,1,5,21,-6.9,837.5,10.1,24,66.9
