Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2013,2,9,0,NA,NA,NA,NA,NA
2013,2,9,3,NA,NA,NA,NA,NA
2013,2,9,6,NA,NA,NA,NA,NA
2013,2,9,9,NA,NA,NA,NA,NA
2013,2,9,12,NA,NA,NA,NA,NA
2013,2,9,15,NA,NA,NA,NA,NA
2013,2,9,18,NA,NA,NA,NA,NA
2013,2,9,21,4.8,958.5,5.3,249,62.2
2013,2,10,0,3.9,956.8,7.8,292,71.7
2013,2,10,3,NA,957,NA,193,65.4
2013,2,10,6,NA,957.1,NA,6,63.7
2013,2,10,9,NA,958.3,1.1,188,80.3
2013,2,10,12,4.9,960.1,2.3,4,78.1
2013,2,10,15,6.4,959.5,3.9,318,58.3
2013,2,10,18,7.3,954.6,4.6,269,55
2013,2,10,21,5.4,951.4,NA,NA,61.2
2013,2,11,0,5.7,956.6,17.7,226,59.6
2013,2,11,3,6.9,958.1,NA,204,50
2013,2,11,6,5.4,956.4,NA,225,64.3
2013,2,11,9,6.3,960,NA,211,75.9
2013,2,11,12,7.9,956.2,8.4,237,67.5
2013,2,11,15,NA,961.6,NA,309,55
2013,2,11,18,NA,963.3,NA,34,57.2
2013,2,11,21,10.4,963.9,4.6,338,68.5
2013,2,12,0,NA,964.5,0.8,166,63.9
2013,2,12,3,NA,963.6,0.7,163,73.4
2013,2,12,6,NA,961,1.1,338,84.9
2013,2,12,9,3.6,959.8,2.8,353,94.9
2013,2,12,12,NA,956.2,1.4,321,94.5
2013,2,12,15,7.8,952.5,4.4,336,94.3
2013,2,12,18,NA,949,NA,317,81.2
2013,2,12,21,NA,948.8,NA,295,73.9
2013,2,13,0,13.2,948.3,NA,347,72.7
2013,2,13,3,14.9,947.4,NA,346,68.5
2013,2,13,6,13.2,945.6,NA,286,83.6
2013,2,13,9,NA,943.1,NA,29,95.8
2013,2,13,12,NA,939.1,4.1,358,95.5
2013,2,13,15,NA,936.5,0.2,345,96
2013,2,13,18,9.9,934.6,3,305,81.6
2013,2,13,21,7.5,932.1,NA,319,82.4
2013,2,14,0,8.1,932.1,NA,333,81.4
2013,2,14,3,7.9,931.1,12.8,320,73.9
2013,2,14,6,5.7,932,10.6,325,63.3
2013,2,14,9,NA,935.3,NA,281,48.6
2013,2,14,12,3.3,940,NA,244,58.3
2013,2,14,15,5.7,941.8,NA,237,45.9
2013,2,14,18,6.6,948,NA,58,49.6
2013,2,14,21,3.7,951.9,NA,16,60.6
2013,2,15,0,NA,955.8,1.4,49,75.2
2013,2,15,3,NA,958.9,0.3,72,90.4
2013,2,15,6,-0.4,961,2.6,168,95
2013,2,15,9,NA,963.1,0.6,255,94.9
2013,2,15,12,-0.3,964.9,3.4,316,94.9
2013,2,15,15,-0.1,965.1,NA,NA,94.6
2013,2,15,18,NA,964.2,0.1,156,95.1
2013,2,15,21,1.1,963.1,2.6,345,86.3
2013,2,16,0,NA,960.9,0.5,169,90.1
2013,2,16,3,NA,956.9,0.7,125,95
2013,2,16,6,NA,951.1,0.6,288,92.8
2013,2,16,9,NA,949.9,NA,316,75.5
2013,2,16,12,NA,950.5,NA,234,41.4
2013,2,16,15,9.5,953,NA,274,34.4
2013,2,16,18,10.7,954.5,NA,297,35.5
2013,2,16,21,8.9,956,6.9,296,35.3
2013,2,17,0,6.6,958.1,8.2,290,59.3
2013,2,17,3,6.2,959.2,5.7,260,52.1
2013,2,17,6,3.9,959.5,NA,136,69.7
2013,2,17,9,NA,960.8,1.1,188,53.2
2013,2,17,12,NA,961.3,0.8,136,74.3
2013,2,17,15,NA,960.1,0.2,76,69.1
2013,2,17,18,NA,958.8,1.1,218,74.1
2013,2,17,21,NA,957.5,0.9,267,90.6
2013,2,18,0,NA,953.9,0.9,262,86.2
