Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2017,1,6,0,NA,NA,NA,NA,NA
2017,1,6,3,NA,NA,NA,NA,NA
2017,1,6,6,NA,NA,NA,NA,NA
2017,1,6,9,NA,NA,NA,NA,NA
2017,1,6,12,NA,NA,NA,NA,NA
2017,1,6,15,NA,584,1.7,3,64
2017,1,6,18,NA,585,1.6,8,66
2017,1,6,21,NA,NA,NA,NA,NA
2017,1,7,0,NA,586,1.3,349,62
2017,1,7,3,NA,587,0.3,39,64
2017,1,7,6,NA,587,2.4,55,63
2017,1,7,9,-28.6,588,3.7,2,64
2017,1,7,12,NA,588,1.9,3,62
2017,1,7,15,NA,588,1.3,20,65
2017,1,7,18,NA,589,1.9,0,65
2017,1,7,21,NA,589,2.1,346,64
2017,1,8,0,NA,589,1.4,352,63
2017,1,8,3,NA,589,0.7,342,63
2017,1,8,6,NA,589,1.6,351,64
2017,1,8,9,-28.9,589,2,333,64
2017,1,8,12,NA,NA,NA,NA,NA
2017,1,8,15,NA,590,0.7,53,63
2017,1,8,18,NA,590,2.1,41,67
2017,1,8,21,-36.9,591,2.6,53,62
2017,1,9,0,-35.8,591,3.1,73,62
2017,1,9,3,-33.9,591,4.6,56,63
2017,1,9,6,-31.5,591,4.4,55,65
2017,1,9,9,NA,NA,NA,NA,NA
2017,1,9,12,-29.1,591,4.3,54,65
2017,1,9,15,-30.4,592,3,60,65
2017,1,9,18,NA,592,2.4,26,65
2017,1,9,21,-34.4,592,2.9,23,65
2017,1,10,0,-32.8,NA,2.4,19,66
2017,1,10,3,-30.7,591,2.8,12,66
2017,1,10,6,NA,591,3.2,5,67
2017,1,10,9,NA,NA,NA,NA,NA
2017,1,10,12,-25,591,2,30,68
2017,1,10,15,NA,591,1.8,92,69
2017,1,10,18,NA,591,2,21,67
2017,1,10,21,NA,591,3,344,66
2017,1,11,0,-30.5,591,2.8,317,68
2017,1,11,3,NA,591,1.2,344,64
2017,1,11,6,NA,592,1.9,352,65
2017,1,11,9,-27.1,592,3,344,66
2017,1,11,12,NA,NA,NA,NA,NA
2017,1,11,15,NA,593,0.9,128,66
2017,1,11,18,NA,593,3.3,20,72
2017,1,11,21,NA,594,3.3,50,68
2017,1,12,0,-29.9,594,3.4,38,68
2017,1,12,3,-27.8,594,3,37,66
2017,1,12,6,-26.2,594,3,0,66
2017,1,12,9,-25.1,595,3.1,354,67
2017,1,12,12,NA,595,1.6,40,66
2017,1,12,15,-28.9,595,2.7,42,69
2017,1,12,18,NA,594,2.7,52,69
2017,1,12,21,-29.8,594,3,59,69
2017,1,13,0,-29.1,593,2.3,53,67
2017,1,13,3,-27.3,592,3.3,54,66
2017,1,13,6,-25.9,592,3.4,45,64
2017,1,13,9,-25.5,591,2.7,51,65
2017,1,13,12,NA,591,1.7,52,64
2017,1,13,15,NA,591,1.4,42,67
2017,1,13,18,NA,591,2.2,16,72
2017,1,13,21,NA,590,1.9,6,69
2017,1,14,0,-32.2,591,2.2,343,65
2017,1,14,3,-33.3,591,3.6,340,63
2017,1,14,6,-29.7,591,2.7,310,65
2017,1,14,9,NA,591,1.9,264,67
2017,1,14,12,NA,591,1.3,153,67
2017,1,14,15,NA,591,0.8,94,65
2017,1,14,18,NA,591,0.7,125,64
2017,1,14,21,NA,591,2.7,160,65
2017,1,15,0,-36.2,590,2.3,131,63
2017,1,15,3,-34.9,590,2.6,106,63
2017,1,15,6,-31.5,590,3,52,65
2017,1,15,9,NA,590,2.7,28,67
2017,1,15,12,NA,590,1.8,344,68
2017,1,15,15,-31.9,589,2.2,337,65
2017,1,15,18,NA,589,2.7,335,64
2017,1,15,21,-35.8,589,2.1,327,63
2017,1,16,0,NA,588,0.3,309,67
2017,1,16,3,NA,588,0,311,41
2017,1,16,6,NA,588,1.2,140,64
2017,1,16,9,NA,588,2.6,127,65
2017,1,16,12,-33,588,3.6,132,65
2017,1,16,15,-35.9,588,4.3,134,65
2017,1,16,18,NA,589,4.7,130,63
2017,1,16,21,NA,589,5.1,133,61
2017,1,17,0,-40.7,589,5.7,135,60
2017,1,17,3,-38.1,589,7.2,129,61
2017,1,17,6,NA,589,7.8,115,62
2017,1,17,9,-34,589,8.2,116,63
2017,1,17,12,-34.2,589,6.9,126,63
2017,1,17,15,-36.4,588,6,127,62
2017,1,17,18,NA,588,4.6,132,62
2017,1,17,21,-41.3,588,4.4,134,61
2017,1,18,0,-41.2,588,4.7,129,60
2017,1,18,3,-38.8,588,5.5,123,60
2017,1,18,6,NA,588,6.5,115,62
2017,1,18,9,-34.8,588,6.4,117,62
2017,1,18,12,-35.1,588,5.8,115,62
2017,1,18,15,-37.4,588,4.6,128,63
2017,1,18,18,NA,588,3.7,127,61
2017,1,18,21,NA,588,3.9,135,60
2017,1,19,0,-41.4,588,3.7,131,60
2017,1,19,3,-38.7,588,4.3,127,60
2017,1,19,6,NA,588,5.3,109,62
2017,1,19,9,-34.8,589,5.7,121,63
2017,1,19,12,-34.9,589,5.1,125,63
2017,1,19,15,-37.7,589,4.5,122,62
2017,1,19,18,NA,589,4.4,113,61
2017,1,19,21,-42.4,590,3.8,111,60
2017,1,20,0,-40.6,590,4.6,104,60
2017,1,20,3,-37.6,590,4.6,95,61
2017,1,20,6,NA,590,5.3,85,63
2017,1,20,9,-33.4,590,5.7,80,64
2017,1,20,12,-33.5,590,5.6,85,64
2017,1,20,15,-36.2,590,4.1,81,63
2017,1,20,18,-38.2,590,4.9,64,63
2017,1,20,21,-40,590,4.2,52,62
2017,1,21,0,-38.9,590,4.9,53,62
2017,1,21,3,-35.9,589,4.9,16,62
2017,1,21,6,NA,589,6.3,0,64
2017,1,21,9,-31.8,589,6.7,353,64
2017,1,21,12,-32.4,589,3.9,354,64
2017,1,21,15,-36.2,589,3.1,359,64
2017,1,21,18,NA,588,2.9,1,62
2017,1,21,21,NA,588,3.7,344,61
2017,1,22,0,-41,587,2.8,348,59
2017,1,22,3,-37.6,587,3.6,338,61
2017,1,22,6,NA,586,5.2,305,63
2017,1,22,9,-33.9,586,5.5,311,63
2017,1,22,12,-33.7,586,5.9,300,64
2017,1,22,15,-36.2,586,3.7,304,63
2017,1,22,18,NA,586,3.6,269,61
2017,1,22,21,NA,586,3.4,228,60
2017,1,23,0,-41.9,587,3.4,198,59
2017,1,23,3,-38.6,587,3.1,192,60
2017,1,23,6,NA,587,5.3,187,62
2017,1,23,9,-34.6,587,5.2,180,63
2017,1,23,12,-34.5,587,3.9,180,63
2017,1,23,15,-37.4,588,3.2,182,62
2017,1,23,18,NA,587,3.6,182,60
2017,1,23,21,NA,587,3.2,180,59
2017,1,24,0,-42.3,587,2.8,167,58
2017,1,24,3,NA,587,1.9,169,59
2017,1,24,6,NA,586,2.1,176,61
2017,1,24,9,NA,586,2.1,168,62
2017,1,24,12,NA,586,1.3,204,62
2017,1,24,15,-35,585,2.3,192,62
2017,1,24,18,NA,585,3.1,192,63
2017,1,24,21,NA,585,2.7,173,63
2017,1,25,0,NA,585,1.7,184,62
2017,1,25,3,NA,585,1.1,160,61
2017,1,25,6,NA,585,0.1,353,63
2017,1,25,9,NA,585,1.5,309,62
2017,1,25,12,NA,585,1.6,308,63
2017,1,25,15,NA,585,2.1,299,62
2017,1,25,18,NA,585,2.6,322,64
2017,1,25,21,-41.1,585,3.1,308,63
2017,1,26,0,-40.6,585,2.8,322,61
2017,1,26,3,NA,NA,NA,NA,NA
2017,1,26,6,-34.9,585,2,307,61
2017,1,26,9,-33.2,585,2.4,307,63
2017,1,26,12,NA,585,1.8,292,63
2017,1,26,15,NA,585,1.8,302,63
2017,1,26,18,NA,584,1.4,265,64
2017,1,26,21,NA,584,0.7,274,63
2017,1,27,0,NA,585,0.1,165,60
2017,1,27,3,NA,584,1.6,131,60
2017,1,27,6,NA,584,1.4,74,60
2017,1,27,9,NA,585,1.8,122,60
2017,1,27,12,-35.8,585,2.1,101,61
2017,1,27,15,NA,585,2.3,86,61
2017,1,27,18,NA,585,3.4,68,62
2017,1,27,21,-43.1,585,3,60,61
2017,1,28,0,-41.5,585,3.2,57,60
2017,1,28,3,NA,585,3.4,47,61
2017,1,28,6,NA,585,3.1,31,62
2017,1,28,9,-33.5,585,4.1,15,63
2017,1,28,12,-33.7,586,3.1,14,63
2017,1,28,15,-37.5,586,2.7,21,62
2017,1,28,18,NA,586,2.7,28,62
2017,1,28,21,-42.1,585,3,27,62
2017,1,29,0,-40.6,585,2.7,27,61
2017,1,29,3,NA,585,2.2,30,63
2017,1,29,6,NA,585,2.5,21,62
2017,1,29,9,-33.6,584,3,19,63
2017,1,29,12,-34.3,584,2.3,11,62
2017,1,29,15,-38.3,584,2.3,353,61
2017,1,29,18,NA,583,2.6,321,61
2017,1,29,21,-42,583,2.5,291,61
2017,1,30,0,-41.5,583,3.2,246,61
2017,1,30,3,NA,582,1.7,241,59
2017,1,30,6,NA,582,1.7,238,61
2017,1,30,9,NA,581,1.6,226,62
2017,1,30,12,NA,581,1.8,234,61
2017,1,30,15,NA,580,2.9,200,61
2017,1,30,18,NA,580,3.4,173,59
2017,1,30,21,NA,580,3.6,147,59
2017,1,31,0,-43,580,3.7,126,61
2017,1,31,3,NA,580,4.1,104,60
2017,1,31,6,-39.4,581,5,98,60
2017,1,31,9,-37.6,581,5.8,103,61
2017,1,31,12,-37.5,582,5.2,87,62
2017,1,31,15,-38.2,582,5.7,81,63
2017,1,31,18,-39.5,583,6,66,63
2017,1,31,21,-39,584,5.8,56,64
2017,2,1,0,-41.4,584,5.4,69,61
2017,2,1,3,-38.4,585,5.5,71,62
2017,2,1,6,NA,585,5.2,62,63
2017,2,1,9,-33.9,585,5.9,49,64
2017,2,1,12,-34.2,586,5.2,22,64
2017,2,1,15,-36.3,587,3.9,32,64
2017,2,1,18,-38.3,587,3.9,25,65
2017,2,1,21,-39.9,588,3.5,2,64
2017,2,2,0,-36.8,588,2,327,62
2017,2,2,3,NA,589,2.4,21,63
2017,2,2,6,-32.7,589,2.3,353,63
2017,2,2,9,NA,NA,NA,NA,NA
2017,2,2,12,-32.9,590,2.3,333,63
2017,2,2,15,-36.9,590,2.7,337,63
2017,2,2,18,NA,591,3.6,303,62
2017,2,2,21,NA,591,3.5,292,62
2017,2,3,0,-42.3,591,3.4,294,60
2017,2,3,3,NA,591,1.9,262,59
2017,2,3,6,NA,591,2.7,237,62
2017,2,3,9,NA,591,1.7,240,63
2017,2,3,12,NA,591,1.8,239,63
2017,2,3,15,-34.3,591,2,208,64
2017,2,3,18,NA,590,0.4,217,67
2017,2,3,21,NA,590,1.2,135,65
2017,2,4,0,-37.3,590,2.9,25,64
