Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1991,1,18,0,NA,NA,NA,NA,NA
1991,1,18,3,-25.88,NA,NA,177.5,NA
1991,1,18,6,-23.33,NA,6.5,158,NA
1991,1,18,9,NA,NA,NA,146,NA
1991,1,18,12,-21.14,NA,7.5,152,NA
1991,1,18,15,-22.22,NA,6.1,146,NA
1991,1,18,18,NA,NA,NA,NA,NA
1991,1,18,21,NA,NA,5.7,186,NA
1991,1,19,0,-28.52,NA,7.6,175,NA
1991,1,19,3,-25.49,NA,5.75,174.5,NA
1991,1,19,6,NA,NA,8,175,NA
1991,1,19,9,NA,NA,7.3,175,NA
1991,1,19,12,NA,NA,NA,NA,NA
1991,1,19,15,-19.52,NA,5.6,208,NA
1991,1,19,18,-21.61,NA,6.6,208,NA
1991,1,19,21,-23.94,NA,7.2,197,NA
1991,1,20,0,-23.48,NA,10.1,197,NA
1991,1,20,3,-21.5,NA,9.9,180.5,NA
1991,1,20,6,-20.52,NA,12.8,191,NA
1991,1,20,9,-19.84,NA,NA,197,NA
1991,1,20,12,-21.94,NA,14.8,163,NA
1991,1,20,15,-23.5,NA,NA,163,NA
1991,1,20,18,-26.56,NA,NA,146,NA
1991,1,20,21,-27.75,NA,NA,152,NA
1991,1,21,0,-29.12,NA,5,158,NA
1991,1,21,3,-27.21,NA,6.3,141,NA
1991,1,21,6,-24.99,NA,7.7,146,NA
1991,1,21,9,-23.69,NA,7.5,135,NA
1991,1,21,12,-23.16,NA,5.3,146,NA
1991,1,21,15,-23.99,NA,3,169,NA
1991,1,21,18,NA,NA,3.5,220,NA
1991,1,21,21,NA,NA,5.2,225,NA
1991,1,22,0,-32.97,NA,6.2,220,NA
1991,1,22,3,-29.28,NA,7.8,200,NA
1991,1,22,6,NA,NA,9.1,197,NA
1991,1,22,9,NA,NA,NA,NA,NA
1991,1,22,12,NA,NA,NA,NA,NA
1991,1,22,15,-25.57,NA,6.7,175,NA
1991,1,22,18,-27.73,NA,6,175,NA
1991,1,22,21,NA,NA,6.6,203,NA
1991,1,23,0,NA,NA,NA,NA,NA
1991,1,23,3,-31.04,NA,6,191,NA
1991,1,23,6,-28.19,NA,7,180,NA
1991,1,23,9,NA,NA,NA,NA,NA
1991,1,23,12,-26.21,NA,5.9,146,NA
1991,1,23,15,-27.08,NA,2.7,158,NA
1991,1,23,18,-31.06,NA,2,169,NA
1991,1,23,21,NA,NA,1,197,NA
1991,1,24,0,NA,NA,NA,NA,NA
1991,1,24,3,-29.82,NA,3.8,197,NA
1991,1,24,6,-27.71,NA,6.3,169,NA
1991,1,24,9,NA,NA,6.1,152,NA
1991,1,24,12,-23.46,NA,7.8,158,NA
