Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2000,2,1,0,NA,997.8,0.6,170,28
2000,2,1,3,-1.8,998.2,NA,NA,16
2000,2,1,6,NA,998.8,NA,NA,32
2000,2,1,9,NA,998.9,1.8,351,70
2000,2,1,12,NA,999.4,1.6,312,87
2000,2,1,15,NA,999.5,1.4,87,86
2000,2,1,18,NA,999.5,1.2,54,83
2000,2,1,21,NA,999.5,1.8,60,77
2000,2,2,0,-7.6,999.4,2.5,73,57
2000,2,2,3,NA,998.7,1.2,67,45
2000,2,2,6,NA,997.9,1.8,132,59
2000,2,2,9,NA,997.1,2.1,142,73
2000,2,2,12,NA,996.3,2.5,156,86
2000,2,2,15,NA,995.5,3.5,206,84
2000,2,2,18,-15.5,994.6,3.9,195,80
2000,2,2,21,-13.5,994,6.2,181,73
2000,2,3,0,-11.9,993.7,6.6,165,68
2000,2,3,3,-11.4,993.2,10.7,171,73
2000,2,3,6,-12.6,992.9,6.8,177,79
2000,2,3,9,-15,993.3,NA,195,81
2000,2,3,12,-17.4,993.7,5.7,187,87
2000,2,3,15,NA,993.6,4.3,167,81
2000,2,3,18,-20.4,994.3,3.1,188,75
2000,2,3,21,-18.4,994.5,5.3,199,69
2000,2,4,0,-16.4,994.8,2.7,153,60
2000,2,4,3,-14.8,995.1,NA,0,31
2000,2,4,6,NA,994.8,1.8,302,67
2000,2,4,9,NA,994.6,1.8,355,76
2000,2,4,12,-16.1,994.3,3.7,26,94
2000,2,4,15,-12.6,993.7,4.9,21,93
2000,2,4,18,NA,993.1,3.7,18,94
2000,2,4,21,NA,992.8,1.4,300,63
2000,2,5,0,NA,992.7,1.2,178,39
2000,2,5,3,-10.2,992.2,3.5,199,70
2000,2,5,6,-11.5,993.1,4.3,209,76
2000,2,5,9,NA,993.7,2.7,239,76
2000,2,5,12,NA,993.6,1.9,154,68
2000,2,5,15,NA,992.9,2.5,49,84
2000,2,5,18,NA,992.9,2.5,33,77
2000,2,5,21,-14.4,992.7,2.3,35,54
2000,2,6,0,NA,992.2,2.1,37,57
2000,2,6,3,NA,991.2,2.7,60,58
2000,2,6,6,-8.9,990.4,4.3,74,74
2000,2,6,9,-10.4,989.7,3.9,88,86
2000,2,6,12,-9.4,988.7,4.5,123,87
2000,2,6,15,-9.8,987.2,4.3,111,83
2000,2,6,18,-9.8,986.9,2.3,120,79
