Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1986,4,17,0,NA,NA,NA,NA,NA
1986,4,17,3,NA,NA,NA,NA,NA
1986,4,17,6,-23.91,NA,4.3,NA,NA
1986,4,17,9,-23.61,NA,4.8,NA,NA
1986,4,17,12,-22.11,NA,3.2,338,NA
1986,4,17,15,NA,NA,5,104,NA
1986,4,17,18,NA,NA,7.4,118,NA
1986,4,17,21,-31.06,NA,6.1,118,NA
1986,4,18,0,-28.01,NA,NA,118,NA
1986,4,18,3,NA,NA,NA,NA,NA
1986,4,18,6,-24.44,NA,4.5,118,NA
1986,4,18,9,-24.59,NA,5.3,118,NA
1986,4,18,12,-24.78,NA,5.4,113,NA
1986,4,18,15,-25.15,NA,6,90,NA
1986,4,18,18,-22.83,NA,6.6,90,NA
1986,4,18,21,-21.35,NA,6.9,101,NA
1986,4,19,0,-21.95,NA,4.5,101,NA
1986,4,19,3,-22.33,NA,4.6,113,NA
1986,4,19,6,NA,NA,NA,NA,NA
1986,4,19,9,NA,NA,NA,NA,NA
1986,4,19,12,-22.63,NA,3.7,118,NA
1986,4,19,15,-24.48,NA,2.45,118.5,NA
1986,4,19,18,NA,NA,2.3,135,NA
1986,4,19,21,NA,NA,NA,NA,NA
1986,4,20,0,NA,NA,NA,NA,NA
1986,4,20,3,-27.75,NA,4,141,NA
1986,4,20,6,NA,NA,NA,NA,NA
1986,4,20,9,NA,NA,NA,NA,NA
1986,4,20,12,-32.15,NA,3.5,135,NA
1986,4,20,15,-32.82,NA,3.5,135,NA
1986,4,20,18,-32.44,NA,3.7,124,NA
1986,4,20,21,NA,NA,NA,NA,NA
1986,4,21,0,-31.68,NA,4.15,107,NA
1986,4,21,3,NA,NA,NA,NA,NA
1986,4,21,6,NA,NA,NA,NA,NA
1986,4,21,9,-24.21,NA,5.2,96,NA
1986,4,21,12,NA,NA,NA,NA,NA
1986,4,21,15,-22.76,NA,7.1,90,NA
1986,4,21,18,-22.48,NA,5.3,73,NA
1986,4,21,21,-22.37,NA,2.3,96,NA
1986,4,22,0,-21.8,NA,2.4,90,NA
1986,4,22,3,NA,NA,NA,NA,NA
1986,4,22,6,-21.17,NA,1.2,129,NA
1986,4,22,9,-21.93,NA,1.9,152,NA
1986,4,22,12,-20.9,NA,3.1,135,NA
1986,4,22,15,-21.42,NA,3.1,135,NA
1986,4,22,18,-21.89,NA,3,118,NA
1986,4,22,21,-18.41,NA,3.7,118,NA
1986,4,23,0,-19.21,NA,4.2,118,NA
1986,4,23,3,NA,NA,NA,NA,NA
1986,4,23,6,-18.36,NA,3.5,124,NA
1986,4,23,9,NA,NA,2.15,138,NA
1986,4,23,12,NA,NA,1.2,129,NA
1986,4,23,15,NA,NA,1.1,135,NA
1986,4,23,18,-21.55,NA,NA,175,NA
1986,4,23,21,NA,NA,NA,265,NA
1986,4,24,0,-21.71,NA,NA,282,NA
1986,4,24,3,NA,NA,NA,NA,NA
1986,4,24,6,-21.04,NA,1.1,315,NA
1986,4,24,9,-24.6,NA,1.6,310,NA
1986,4,24,12,-23.35,NA,1.8,310,NA
1986,4,24,15,-21.71,NA,1.5,293,NA
1986,4,24,18,-22.22,NA,2.8,6,NA
1986,4,24,21,-22.17,NA,2.9,56,NA
1986,4,25,0,NA,NA,NA,NA,NA
1986,4,25,3,NA,NA,NA,NA,NA
1986,4,25,6,-19.81,NA,7.6,96,NA
1986,4,25,9,-20.44,NA,11.05,104,NA
1986,4,25,12,-20.86,NA,NA,101,NA
1986,4,25,15,-20.26,NA,14.2,96,NA
1986,4,25,18,-19.76,NA,14.2,90,NA
1986,4,25,21,-19.88,NA,11.1,96,NA
1986,4,26,0,NA,NA,NA,NA,NA
1986,4,26,3,-18.22,NA,10.7,96,NA
1986,4,26,6,NA,NA,NA,NA,NA
1986,4,26,9,-18.97,NA,9.4,107,NA
1986,4,26,12,-21.62,NA,6.6,124,NA
1986,4,26,15,NA,NA,NA,NA,NA
1986,4,26,18,-18.11,NA,3.5,242,NA
1986,4,26,21,NA,NA,1,265,NA
1986,4,27,0,-20.17,NA,1,220,NA
1986,4,27,3,-20.99,NA,2.4,141,NA
1986,4,27,6,NA,NA,NA,NA,NA
1986,4,27,9,NA,NA,6.3,129,NA
1986,4,27,12,-28.65,NA,7.6,135,NA
1986,4,27,15,-29.93,NA,5.5,135,NA
1986,4,27,18,-30.3,NA,5,158,NA
1986,4,27,21,NA,NA,NA,NA,NA
1986,4,28,0,-27.11,NA,5.2,152,NA
1986,4,28,3,NA,NA,3.7,124,NA
1986,4,28,6,NA,NA,NA,NA,NA
1986,4,28,9,-24.86,NA,3.3,113,NA
1986,4,28,12,NA,NA,NA,NA,NA
1986,4,28,15,NA,NA,5.9,129,NA
1986,4,28,18,NA,NA,NA,NA,NA
1986,4,28,21,-30.28,NA,5.5,124,NA
1986,4,29,0,NA,NA,NA,NA,NA
1986,4,29,3,NA,NA,2.8,197,NA
1986,4,29,6,NA,NA,NA,NA,NA
1986,4,29,9,-19.9,NA,4.7,248,NA
1986,4,29,12,NA,NA,NA,NA,NA
1986,4,29,15,-17.48,NA,3.7,270,NA
1986,4,29,18,-17.55,NA,2.4,231,NA
1986,4,29,21,NA,NA,4.3,146,NA
1986,4,30,0,NA,NA,NA,NA,NA
1986,4,30,3,NA,NA,4.4,259,NA
1986,4,30,6,-15.32,NA,2.5,208,NA
1986,4,30,9,-15.47,NA,1.6,169,NA
1986,4,30,12,NA,NA,6.3,129,NA
1986,4,30,15,NA,NA,NA,129,NA
1986,4,30,18,-20.88,NA,6.6,113,NA
1986,4,30,21,NA,NA,NA,NA,NA
1986,5,1,0,NA,NA,NA,NA,NA
1986,5,1,3,-24.65,NA,12.2,135,NA
1986,5,1,6,-28.07,NA,12.3,141,NA
1986,5,1,9,NA,NA,12.5,152,NA
1986,5,1,12,-32.45,NA,12.2,146,NA
1986,5,1,15,-32.53,NA,14.9,141,NA
1986,5,1,18,-31.32,NA,15.8,158,NA
1986,5,1,21,-30.35,NA,18.55,155,NA
1986,5,2,0,-31.66,NA,17,158,NA
1986,5,2,3,-31.06,NA,15.7,158,NA
1986,5,2,6,-30.67,NA,14.7,169,NA
1986,5,2,9,NA,NA,NA,NA,NA
1986,5,2,12,-25.82,NA,NA,135,NA
1986,5,2,15,NA,NA,5.8,282,NA
1986,5,2,18,NA,NA,NA,265,NA
1986,5,2,21,NA,NA,5.9,265,NA
1986,5,3,0,NA,NA,NA,NA,NA
1986,5,3,3,NA,NA,NA,NA,NA
1986,5,3,6,-27.35,NA,6.6,158,NA
1986,5,3,9,-24.69,NA,6.8,141,NA
1986,5,3,12,-23.37,NA,7,152,NA
1986,5,3,15,NA,NA,NA,NA,NA
1986,5,3,18,NA,NA,5.4,146,NA
1986,5,3,21,NA,NA,10.4,163,NA
1986,5,4,0,NA,NA,NA,NA,NA
1986,5,4,3,NA,NA,NA,NA,NA
1986,5,4,6,-35.02,NA,8.4,175,NA
1986,5,4,9,-36.06,NA,12.9,163,NA
1986,5,4,12,NA,NA,NA,NA,NA
1986,5,4,15,NA,NA,NA,NA,NA
1986,5,4,18,NA,NA,NA,NA,NA
1986,5,4,21,-35.14,NA,NA,146,NA
1986,5,5,0,-33.92,NA,12.2,135,NA
1986,5,5,3,NA,NA,NA,NA,NA
1986,5,5,6,-30.75,NA,13.6,129,NA
1986,5,5,9,-30.13,NA,NA,124,NA
1986,5,5,12,-30.03,NA,18.4,124,NA
1986,5,5,15,-30.15,NA,17.9,146,NA
1986,5,5,18,NA,NA,NA,NA,NA
1986,5,5,21,-28.37,NA,16.7,118,NA
1986,5,6,0,-27.97,NA,16.2,124,NA
1986,5,6,3,NA,NA,NA,NA,NA
1986,5,6,6,-26.95,NA,13.2,132,NA
1986,5,6,9,-27.39,NA,11.8,129,NA
1986,5,6,12,-27.39,NA,13.2,118,NA
1986,5,6,15,-27.99,NA,15,113,NA
1986,5,6,18,-28.17,NA,14.6,113,NA
1986,5,6,21,-27.59,NA,16.4,113,NA
1986,5,7,0,NA,NA,NA,NA,NA
1986,5,7,3,NA,NA,NA,NA,NA
1986,5,7,6,-26.33,NA,14.5,101,NA
1986,5,7,9,NA,NA,NA,NA,NA
1986,5,7,12,-25.47,NA,14.4,101,NA
1986,5,7,15,-25.17,NA,14.4,107,NA
1986,5,7,18,-25.28,NA,12.6,113,NA
1986,5,7,21,NA,NA,NA,NA,NA
1986,5,8,0,NA,NA,NA,96,NA
1986,5,8,3,-19.99,NA,NA,90,NA
1986,5,8,6,NA,NA,NA,NA,NA
1986,5,8,9,-16.15,NA,5.9,68,NA
1986,5,8,12,NA,NA,NA,NA,NA
1986,5,8,15,-13.59,NA,5.6,93,NA
1986,5,8,18,-15.82,NA,5.3,113,NA
1986,5,8,21,-15.75,NA,7.4,113,NA
1986,5,9,0,-15.67,NA,6.5,107,NA
1986,5,9,3,-13.54,NA,6.9,118,NA
1986,5,9,6,NA,NA,NA,NA,NA
1986,5,9,9,-13.33,NA,7.5,96,NA
1986,5,9,12,-13.14,NA,7.5,96,NA
1986,5,9,15,-13.86,NA,7.6,107,NA
1986,5,9,18,-16,NA,6.3,101,NA
1986,5,9,21,-15.01,NA,5.9,118,NA
1986,5,10,0,NA,NA,7.1,141,NA
1986,5,10,3,NA,NA,3.9,146,NA
1986,5,10,6,NA,NA,NA,NA,NA
1986,5,10,9,NA,NA,3.3,141,NA
1986,5,10,12,-26.48,NA,5.5,129,NA
1986,5,10,15,-26.43,NA,6.7,124,NA
1986,5,10,18,-27.89,NA,7.3,124,NA
1986,5,10,21,NA,NA,NA,NA,NA
