Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2011,12,14,0,NA,NA,NA,NA,NA
2011,12,14,3,NA,956.2,0.9,184,75.2
2011,12,14,6,NA,957.3,0.9,144,84.4
2011,12,14,9,-10,958.4,2.2,116,88.8
2011,12,14,12,NA,959.4,1.7,100,87.7
2011,12,14,15,NA,960.5,1.8,88,83.4
2011,12,14,18,-4.4,961.8,3.2,352,77.6
2011,12,14,21,-5,963,3.1,359,82.4
2011,12,15,0,-5.6,963.5,5.1,90,88.9
2011,12,15,3,-5.8,964.1,5.3,92,92.8
2011,12,15,6,-6.1,965,3.5,94,91.3
2011,12,15,9,-5.9,965.6,3.9,94,81.5
2011,12,15,12,-5.4,965.5,7.1,135,69
2011,12,15,15,-3.8,965.3,2.2,177,59.5
2011,12,15,18,-3.3,964.3,5.3,117,66.2
2011,12,15,21,-3.1,963.5,4.9,101,76.1
2011,12,16,0,NA,962.5,0.5,76,71.6
2011,12,16,3,-3.5,961,4.6,74,78.7
2011,12,16,6,-5.2,959.4,NA,80,85.3
2011,12,16,9,-6,957.7,8.7,116,72.4
2011,12,16,12,-5.8,956.5,7.6,122,69.7
2011,12,16,15,-4.5,955.9,NA,208,65.8
2011,12,16,18,-5,956,4.6,183,83
2011,12,16,21,-6.1,957.1,5.8,192,87.3
2011,12,17,0,-6.2,958.4,2.7,190,84.9
2011,12,17,3,NA,959.9,1.5,311,80.7
2011,12,17,6,NA,961.9,1.3,318,83.3
2011,12,17,9,-7.3,963.9,4.8,186,93.4
2011,12,17,12,-8.2,966.1,3.9,191,92.6
2011,12,17,15,-6.9,967.8,2.5,97,89.2
2011,12,17,18,-4.6,969,4.3,59,83.1
2011,12,17,21,-3.7,969.8,3.4,49,76.5
2011,12,18,0,-5,969.4,5.5,75,84.2
2011,12,18,3,-6.4,968.6,8,93,87.4
2011,12,18,6,-6.9,966.9,NA,107,76.9
2011,12,18,9,-6.9,965.4,11,118,71.8
2011,12,18,12,-5.7,964,13.6,116,74.8
2011,12,18,15,-3.8,962.9,14.2,106,82.4
2011,12,18,18,-2.2,962.4,11.7,97,82
2011,12,18,21,-1.5,962.9,9.5,94,82.4
2011,12,19,0,-2,962.8,9.5,84,82.9
2011,12,19,3,-3.1,962.7,13,114,79.5
2011,12,19,6,-2,963.6,13.2,112,82.4
2011,12,19,9,-1.1,965.6,10,120,75.9
2011,12,19,12,-0.9,967,13.5,107,80.8
2011,12,19,15,-0.2,969.5,10.4,90,88.3
2011,12,19,18,-0.4,972,10,75,94.2
2011,12,19,21,0,975,NA,78,91.1
2011,12,20,0,0,977,NA,196,91.9
2011,12,20,3,1.1,978.2,2.8,210,80.2
2011,12,20,6,0.7,979.3,2.8,193,79.7
2011,12,20,9,-0.5,980.1,2.1,215,77.1
2011,12,20,12,-1.8,980.6,2.8,190,78.6
2011,12,20,15,NA,980.6,1.1,128,67.5
2011,12,20,18,-1.7,980.2,NA,187,81.7
2011,12,20,21,-1.1,979.9,NA,193,85.9
2011,12,21,0,-1.4,979.4,7.1,177,88.3
2011,12,21,3,-2,978.6,7.1,189,91.3
2011,12,21,6,-2.5,977.7,5.9,180,93.8
2011,12,21,9,-2.3,977,4.2,190,92.3
2011,12,21,12,-1.5,976,3.4,185,88.5
2011,12,21,15,-1.6,974.8,6.7,185,94.8
2011,12,21,18,-0.4,974.4,3.1,205,92.3
2011,12,21,21,-0.8,973.3,5.6,168,95
2011,12,22,0,0.5,972.8,4.8,247,80.3
2011,12,22,3,-2.1,971.4,4.2,168,98.4
2011,12,22,6,-2.7,970.8,4.8,217,98.2
2011,12,22,9,-3.5,969.7,2.3,226,97.1
2011,12,22,12,-2.4,969.3,NA,NA,91.5
2011,12,22,15,-2,968.7,NA,NA,88.2
2011,12,22,18,-2.7,968.5,2,225,91.7
2011,12,22,21,-2.1,968.6,2.5,216,89.1
2011,12,23,0,NA,968.7,0.9,85,85.3
2011,12,23,3,-1.2,968.6,NA,74,83.8
2011,12,23,6,-2.4,968.8,NA,79,88.9
2011,12,23,9,-2.7,968.9,11,79,90.7
2011,12,23,12,-2.9,967.8,11.6,69,85.4
2011,12,23,15,-2,967.2,15.3,87,85.4
2011,12,23,18,-2.6,966.5,15.5,82,95.3
2011,12,23,21,-2,965.9,15.6,66,90.5
2011,12,24,0,-2.8,965.7,16.1,80,97.2
2011,12,24,3,-3.5,965.1,17.5,88,97.4
2011,12,24,6,-5,966.3,14.6,92,96.8
2011,12,24,9,-5.1,967.5,NA,88,96.4
2011,12,24,12,-5,967.2,9.7,75,95.2
2011,12,24,15,-4.2,966.6,7,68,82.8
2011,12,24,18,-3.3,965.8,7.5,74,80.5
2011,12,24,21,-2.4,965.2,3.8,59,74.9
2011,12,25,0,-3.9,964.4,4.1,73,83.2
2011,12,25,3,-5.9,963.2,7.1,94,84.9
2011,12,25,6,-6.8,962.6,NA,89,74.6
2011,12,25,9,-6.3,963,NA,93,67.3
2011,12,25,12,-6.1,962.3,NA,18,70.5
2011,12,25,15,-3.8,961.3,6.6,50,67.5
2011,12,25,18,-2.8,960.3,6.2,82,70.8
2011,12,25,21,-3,959.4,7.1,78,80.9
2011,12,26,0,-3.7,958.7,8.8,76,81.2
2011,12,26,3,-3.8,958.9,5.5,72,87
2011,12,26,6,-4,959.6,7.1,85,94.4
2011,12,26,9,-3.7,960.5,5.6,77,93.1
2011,12,26,12,-3.6,961.7,5.1,69,87
2011,12,26,15,-3.2,962.2,9.1,98,77.3
2011,12,26,18,-1.8,963.6,5.5,81,75.6
2011,12,26,21,-1.2,965.1,NA,30,75.1
2011,12,27,0,-1.3,966,2.1,98,79.2
2011,12,27,3,NA,966.5,1.6,190,82.5
2011,12,27,6,-1.8,966.9,2.5,219,77.8
2011,12,27,9,NA,967.2,1.7,100,70.9
2011,12,27,12,NA,966.8,1.6,141,60.9
2011,12,27,15,-3.6,966.8,3.6,89,67.5
2011,12,27,18,-3.1,967.1,NA,66,79.7
2011,12,27,21,-2.2,967.5,4.8,60,75.1
2011,12,28,0,-2.7,967.4,4.3,78,80.6
2011,12,28,3,-3,967,2,88,80.6
2011,12,28,6,-3.4,966.7,4.2,93,86.1
2011,12,28,9,-3.6,966.3,4.6,75,81.2
2011,12,28,12,-3.2,965.7,4.5,100,78.2
2011,12,28,15,-1.1,964.9,4,87,72.3
