Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1990,1,1,0,NA,NA,NA,NA,NA
1990,1,1,3,NA,NA,NA,NA,NA
1990,1,1,6,NA,NA,NA,NA,NA
1990,1,1,9,NA,NA,NA,NA,NA
1990,1,1,12,NA,NA,NA,NA,NA
1990,1,1,15,NA,NA,NA,NA,NA
1990,1,1,18,NA,NA,NA,NA,NA
1990,1,1,21,NA,NA,NA,NA,NA
1990,1,2,0,NA,NA,NA,NA,NA
1990,1,2,3,NA,NA,NA,NA,NA
1990,1,2,6,NA,NA,NA,NA,NA
1990,1,2,9,NA,NA,NA,NA,NA
1990,1,2,12,NA,NA,NA,NA,NA
1990,1,2,15,NA,NA,NA,NA,NA
1990,1,2,18,NA,NA,NA,NA,NA
1990,1,2,21,NA,NA,NA,NA,NA
1990,1,3,0,NA,NA,NA,NA,NA
1990,1,3,3,NA,NA,NA,NA,NA
1990,1,3,6,NA,NA,NA,NA,NA
1990,1,3,9,-13,809.1,NA,NA,NA
1990,1,3,12,NA,808.7,1,200,NA
1990,1,3,15,-14.3,807.4,NA,200,NA
1990,1,3,18,-15,806.1,2,170,NA
1990,1,3,21,-13,804.8,2,120,NA
1990,1,4,0,-12.4,803.5,4,160,NA
1990,1,4,3,-12.5,801.9,NA,280,NA
1990,1,4,6,-12.8,800.9,NA,300,NA
1990,1,4,9,-13.4,800.6,NA,240,NA
1990,1,4,12,-14.8,799.9,NA,240,NA
1990,1,4,15,-15.7,799.8,NA,250,NA
1990,1,4,18,-16.3,800.3,NA,240,NA
1990,1,4,21,-15,800.8,NA,210,NA
1990,1,5,0,-12.6,801.2,NA,100,NA
1990,1,5,3,-14,801.9,5,200,NA
1990,1,5,6,-14.2,802.5,6,220,NA
1990,1,5,9,-14.4,803.7,4,260,NA
1990,1,5,12,-15.8,804.9,4,240,NA
1990,1,5,15,-15.4,805.4,8,200,NA
1990,1,5,18,-15.2,806.2,8,180,NA
1990,1,5,21,-15.3,806.7,11,190,NA
1990,1,6,0,-13.8,807,NA,210,NA
1990,1,6,3,-14,806.7,NA,NA,NA
1990,1,6,6,-14.3,806.7,NA,NA,NA
1990,1,6,9,-14.8,807.7,NA,NA,NA
1990,1,6,12,-14.2,807.2,NA,240,NA
1990,1,6,15,-14.5,806.5,NA,NA,NA
1990,1,6,18,-13.9,807.2,13,NA,NA
1990,1,6,21,-13.4,807.4,16,NA,NA
1990,1,7,0,-12,807.8,NA,260,NA
1990,1,7,3,-11.5,808,NA,300,NA
1990,1,7,6,-11.6,807.4,NA,260,NA
1990,1,7,9,-12.3,808.1,NA,210,NA
1990,1,7,12,-12.2,808,NA,120,NA
1990,1,7,15,-13.4,807.1,7,210,NA
1990,1,7,18,-13.2,806.4,NA,210,NA
1990,1,7,21,-13,805.9,10,240,NA
1990,1,8,0,-12.8,805.3,11,230,NA
1990,1,8,3,-11.2,804.8,NA,20,NA
1990,1,8,6,-12.3,804.3,NA,230,NA
1990,1,8,9,-13.7,803.5,5,230,NA
