Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,12,12,0,NA,NA,NA,NA,NA
2009,12,12,3,NA,NA,NA,NA,NA
2009,12,12,6,NA,NA,NA,NA,NA
2009,12,12,9,NA,NA,NA,NA,NA
2009,12,12,12,NA,NA,NA,NA,NA
2009,12,12,15,-15.3,863.7,3.2,178,77.8
2009,12,12,18,-13.3,863.3,4.5,194,77.7
2009,12,12,21,-12,863.1,6.1,195,76.2
2009,12,13,0,-12.8,862.6,6.6,209,77.3
2009,12,13,3,-14.4,861.7,6.8,212,78.3
2009,12,13,6,-17,861.2,8.1,214,78.9
2009,12,13,9,-18.3,860.8,7.1,220,76.8
2009,12,13,12,-17.5,860.7,6.8,208,79
2009,12,13,15,-14.9,860,6.8,177,79.5
2009,12,13,18,-13.1,859.8,6.4,184,77.5
2009,12,13,21,-11.9,859.4,6.9,180,76.7
2009,12,14,0,-12,858.8,7.1,172,77.3
2009,12,14,3,-13.2,858.2,8.3,203,77.7
2009,12,14,6,-12.9,858,6.7,191,81.8
2009,12,14,9,-13.2,858,5.9,169,83.7
2009,12,14,12,-13.7,858.2,5.5,189,88.2
2009,12,14,15,-13.2,858.1,5.8,173,85.8
2009,12,14,18,-11.9,858,7.5,165,80.3
2009,12,14,21,-10.7,858.1,9.1,174,80.1
2009,12,15,0,-10.3,858.1,7.1,167,82.2
2009,12,15,3,-11.1,858.1,10.2,180,86.6
2009,12,15,6,-11.9,858.4,8.7,160,85.9
2009,12,15,9,-12,858.8,7.4,179,85.4
2009,12,15,12,-12,858.8,10.5,173,89
2009,12,15,15,-11,858.9,12.3,151,89
2009,12,15,18,-10,860,8.2,142,89.4
2009,12,15,21,-10.1,861.2,NA,138,88.6
2009,12,16,0,-10.1,861.6,10.8,132,89.5
2009,12,16,3,-9.5,862.7,11.9,145,90.4
2009,12,16,6,-10.1,863.9,12.2,123,90.7
2009,12,16,9,-10.9,864.5,NA,159,90.7
2009,12,16,12,-10.8,864.1,8.8,156,89.9
2009,12,16,15,-10.1,863.4,10,154,89.1
2009,12,16,18,-9.3,862.2,12.2,169,89.5
2009,12,16,21,-9.4,861,11.6,145,89.5
2009,12,17,0,-9.4,859.7,13.4,142,90.5
2009,12,17,3,-10.1,859.3,16.5,133,90.8
