Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2011,12,1,0,NA,NA,NA,NA,NA
2011,12,1,3,NA,NA,NA,NA,NA
2011,12,1,6,NA,NA,NA,NA,NA
2011,12,1,9,NA,NA,NA,NA,NA
2011,12,1,12,NA,NA,NA,NA,NA
2011,12,1,15,NA,NA,NA,NA,NA
2011,12,1,18,NA,NA,NA,NA,NA
2011,12,1,21,NA,NA,NA,NA,NA
2011,12,2,0,NA,NA,NA,NA,NA
2011,12,2,3,NA,NA,NA,NA,NA
2011,12,2,6,NA,NA,NA,NA,NA
2011,12,2,9,NA,NA,NA,NA,NA
2011,12,2,12,NA,NA,NA,NA,NA
2011,12,2,15,NA,NA,NA,NA,NA
2011,12,2,18,NA,NA,NA,NA,NA
2011,12,2,21,NA,NA,NA,NA,NA
2011,12,3,0,NA,NA,NA,NA,NA
2011,12,3,3,NA,NA,NA,NA,NA
2011,12,3,6,NA,NA,NA,NA,NA
2011,12,3,9,NA,NA,NA,NA,NA
2011,12,3,12,NA,NA,NA,NA,NA
2011,12,3,15,NA,NA,NA,NA,NA
2011,12,3,18,NA,NA,NA,NA,NA
2011,12,3,21,NA,NA,NA,NA,NA
2011,12,4,0,NA,NA,NA,NA,NA
2011,12,4,3,NA,NA,NA,NA,NA
2011,12,4,6,NA,NA,NA,NA,NA
2011,12,4,9,NA,NA,NA,NA,NA
2011,12,4,12,NA,NA,NA,NA,NA
2011,12,4,15,NA,NA,NA,NA,NA
2011,12,4,18,NA,NA,NA,NA,NA
2011,12,4,21,NA,NA,NA,NA,NA
2011,12,5,0,NA,NA,NA,NA,NA
2011,12,5,3,NA,NA,NA,NA,NA
2011,12,5,6,NA,NA,NA,NA,NA
2011,12,5,9,NA,NA,NA,NA,NA
2011,12,5,12,NA,NA,NA,NA,NA
2011,12,5,15,NA,NA,NA,NA,NA
2011,12,5,18,NA,NA,NA,NA,NA
2011,12,5,21,NA,963.8,1.3,235.2,45.4
2011,12,6,0,NA,963.2,1,336.7,52.7
2011,12,6,3,-2.3,961.8,3.5,340.5,62.4
2011,12,6,6,-2,961,2.8,338.9,70.8
2011,12,6,9,NA,960.3,0.8,309.5,59.5
2011,12,6,12,NA,959.2,1.5,280.2,36.2
2011,12,6,15,NA,958.1,1.2,208.8,45.5
2011,12,6,18,NA,957.5,1.7,344.8,41.4
2011,12,6,21,NA,958.1,1.9,163,38.6
2011,12,7,0,-0.4,957.9,NA,163.7,57.6
2011,12,7,3,-1,958.7,NA,156.7,61.8
2011,12,7,6,-1.5,959.1,NA,148.1,65
2011,12,7,9,-2.1,959.4,2.6,152.4,67.4
2011,12,7,12,-3.6,960.4,2.5,186.8,75.3
2011,12,7,15,NA,960.6,0.9,53.3,70.9
2011,12,7,18,NA,961.6,1.5,169.1,77.9
2011,12,7,21,-4.4,962.4,2.1,175.7,82.5
2011,12,8,0,-3.7,963.5,2.2,156,77.5
2011,12,8,3,-3.3,963.7,2.5,11.6,70.1
2011,12,8,6,-2.7,963.8,3.4,306.3,69.3
2011,12,8,9,-3.3,964,2.6,9,76.2
2011,12,8,12,-4,964.1,2,317,90.6
2011,12,8,15,-5.4,964.6,4.7,114.9,92.3
2011,12,8,18,-5.7,964.9,4.4,162.6,90.2
2011,12,8,21,-5.9,965.2,4.2,159.2,89.1
2011,12,9,0,-5.2,965.1,3.5,149.6,78
2011,12,9,3,-2.5,964.1,2.2,290.7,65
2011,12,9,6,-3.7,963.2,3.5,332.4,72.2
2011,12,9,9,-5.5,962.5,2,342.9,86.6
2011,12,9,12,-3.3,961.7,2.8,299.8,61.3
2011,12,9,15,NA,960.6,1.8,329,62.5
2011,12,9,18,-5.8,959.5,3.5,325.6,67
2011,12,9,21,NA,959.2,1.3,343.8,76.1
2011,12,10,0,-5.5,959.4,3.7,148.4,79.4
2011,12,10,3,NA,959.7,1.3,3.6,72.9
2011,12,10,6,NA,960.1,0.8,139.2,74.3
2011,12,10,9,-4,960.4,3.6,111.6,85
2011,12,10,12,-4.8,961.1,4.1,157.6,81.3
2011,12,10,15,-5.4,961.3,3,160.7,80.7
2011,12,10,18,-6.3,961.8,4.4,152.8,85.1
2011,12,10,21,-6.5,962.6,6.2,150.8,88.1
2011,12,11,0,-6.7,963.4,7.1,158.4,83.6
2011,12,11,3,-5.9,963.7,7,160.9,76.4
2011,12,11,6,-5.9,964.3,7.1,155.9,76.5
2011,12,11,9,-5.6,965.1,6.7,167.1,68.7
2011,12,11,12,-5.1,965.7,5.4,170.5,55.9
2011,12,11,15,-6.5,966.2,4.1,162.4,72.2
2011,12,11,18,-6.4,966.9,6,157.3,78.7
2011,12,11,21,-6.2,968,6.4,150.8,76.2
