Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1980,12,1,0,NA,NA,NA,NA,NA
1980,12,1,3,NA,NA,NA,NA,NA
1980,12,1,6,NA,NA,NA,NA,NA
1980,12,1,9,NA,NA,NA,NA,NA
1980,12,1,12,NA,NA,NA,NA,NA
1980,12,1,15,NA,NA,NA,NA,NA
1980,12,1,18,NA,NA,NA,NA,NA
1980,12,1,21,NA,NA,NA,NA,NA
1980,12,2,0,NA,NA,NA,NA,NA
1980,12,2,3,NA,NA,NA,NA,NA
1980,12,2,6,NA,NA,NA,NA,NA
1980,12,2,9,NA,NA,NA,NA,NA
1980,12,2,12,NA,NA,NA,NA,NA
1980,12,2,15,NA,NA,NA,NA,NA
1980,12,2,18,NA,NA,NA,NA,NA
1980,12,2,21,NA,NA,NA,NA,NA
1980,12,3,0,NA,NA,NA,NA,NA
1980,12,3,3,NA,NA,NA,NA,NA
1980,12,3,6,NA,NA,NA,NA,NA
1980,12,3,9,NA,NA,NA,NA,NA
1980,12,3,12,NA,NA,NA,NA,NA
1980,12,3,15,NA,NA,NA,NA,NA
1980,12,3,18,NA,NA,NA,NA,NA
1980,12,3,21,NA,NA,NA,NA,NA
1980,12,4,0,NA,NA,NA,NA,NA
1980,12,4,3,-11.9,978.8,8.5,225,NA
1980,12,4,6,-12.4,977.6,9.7,225,NA
1980,12,4,9,-11.8,976.1,10.4,225,NA
1980,12,4,12,-10.1,974.5,10.2,217,NA
1980,12,4,15,-8.8,972.1,13,225,NA
1980,12,4,18,-7,970.2,14.4,225,NA
1980,12,4,21,-5.6,969.1,13.7,225,NA
1980,12,5,0,-3.6,969.5,NA,207,NA
1980,12,5,3,-3.3,970.2,NA,206,NA
1980,12,5,6,-2.9,971.7,5.4,180,NA
1980,12,5,9,-2.9,972.7,7.6,189,NA
1980,12,5,12,-3.5,972.5,9.9,200,NA
1980,12,5,15,-3.3,971.9,11.8,205,NA
1980,12,5,18,-3.1,971.6,9.2,207,NA
1980,12,5,21,-2.9,970.8,10.4,225,NA
1980,12,6,0,-2.4,971.1,9.4,218,NA
1980,12,6,3,-2.6,970.5,9.9,205,NA
1980,12,6,6,-2.9,970,10.4,225,NA
1980,12,6,9,-3.1,969.1,10.4,225,NA
1980,12,6,12,-3.4,968.7,9.9,225,NA
1980,12,6,15,-3.8,968.8,9.9,214,NA
1980,12,6,18,-4.3,969.4,9.7,219,NA
1980,12,6,21,-3.5,970,8,225,NA
1980,12,7,0,-3.6,970.6,8.3,189,NA
1980,12,7,3,-2.9,971.3,6.8,214,NA
1980,12,7,6,-2.5,972.5,5.4,233,NA
1980,12,7,9,-2.6,973.3,4.5,225,NA
1980,12,7,12,-6.8,974.6,2.8,225,NA
1980,12,7,15,-5.3,975.5,3.3,225,NA
1980,12,7,18,-5,976.8,3.3,194,NA
1980,12,7,21,-4.1,978,7.6,211,NA
1980,12,8,0,-4.6,979.4,NA,218,NA
1980,12,8,3,-4.3,980.2,6.4,180,NA
1980,12,8,6,-3.6,980.8,7.6,225,NA
1980,12,8,9,-3.4,981.1,5.7,210,NA
1980,12,8,12,-3.6,982,5.4,225,NA
1980,12,8,15,-3.5,982.1,5,225,NA
1980,12,8,18,-3.3,982.8,6.6,180,NA
1980,12,8,21,-3.4,983.3,7.1,198,NA
1980,12,9,0,-3.1,984,7.1,200,NA
1980,12,9,3,-3.1,984,7.6,225,NA
1980,12,9,6,-4.9,984.5,7.6,180,NA
1980,12,9,9,-5.3,985.3,5.2,173,NA
1980,12,9,12,-3.5,985.4,6.6,214,NA
1980,12,9,15,-5.4,985.3,5.7,225,NA
1980,12,9,18,-7,986,5.4,225,NA
1980,12,9,21,-5.9,986.2,6.8,225,NA
1980,12,10,0,-4.9,986.6,5.4,210,NA
1980,12,10,3,-3.3,986.4,5.2,207,NA
1980,12,10,6,-4.6,986.6,4,225,NA
1980,12,10,9,-7,987,3.5,225,NA
1980,12,10,12,-6.1,987.5,3.5,205,NA
1980,12,10,15,NA,987.5,1.2,248,NA
1980,12,10,18,-7.6,987.6,3.3,267,NA
1980,12,10,21,-7.4,988.1,5.7,231,NA
1980,12,11,0,-4.1,987.7,6.6,248,NA
1980,12,11,3,-4.4,987.4,6.1,270,NA
1980,12,11,6,-4.8,987.1,6.6,231,NA
1980,12,11,9,-6,986.9,6.6,225,NA
1980,12,11,12,-6.8,987.3,6.6,240,NA
1980,12,11,15,-8.4,986.8,7.1,225,NA
1980,12,11,18,-8.3,987.5,10.4,226,NA
