Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2014,12,17,0,NA,NA,NA,NA,NA
2014,12,17,3,NA,NA,NA,NA,NA
2014,12,17,6,NA,771.1,1.8,276,65.1
2014,12,17,9,-16.8,772.3,6.7,235,53.3
2014,12,17,12,-17,773.5,5.4,228,53.4
2014,12,17,15,-16.2,773.5,4,210,36.8
2014,12,17,18,-14.6,774,6.1,196,25.6
2014,12,17,21,-12.3,774.2,3.5,197,18.1
2014,12,18,0,NA,774.1,1.9,203,12.1
2014,12,18,3,NA,773.6,1.8,187,10
2014,12,18,6,-4.8,772.9,2.7,95,12.1
2014,12,18,9,NA,771.8,6.4,94,56
2014,12,18,12,NA,771.2,6.3,84,45.9
2014,12,18,15,-11,770.1,7.8,123,57.6
2014,12,18,18,-11.2,770,6.9,121,81.3
2014,12,18,21,-9.4,770.9,3.5,38,80.3
2014,12,19,0,-8.5,772.2,4.4,39,78.1
2014,12,19,3,-9.4,773.2,2,352,82.4
2014,12,19,6,-11.3,773.8,4.1,357,84.1
2014,12,19,9,-12,773.9,3.4,343,84.3
2014,12,19,12,NA,773.5,1.5,274,84.7
2014,12,19,15,NA,772.3,0.3,266,84.3
2014,12,19,18,NA,770.9,1.8,208,83.8
2014,12,19,21,NA,769.3,1.5,173,80.5
2014,12,20,0,NA,767.8,1.2,231,25.7
2014,12,20,3,NA,765.7,1,173,18
2014,12,20,6,-7.7,764.6,2.8,81,24.5
2014,12,20,9,NA,764.2,4.9,99,58
2014,12,20,12,NA,764.5,5.6,120,57.6
2014,12,20,15,-13.1,764.5,3.4,42,50.3
2014,12,20,18,-14.6,764.6,4.9,40,76.2
2014,12,20,21,-13.6,764.9,5.6,40,78.8
2014,12,21,0,-12.9,765.3,4.2,38,79.8
2014,12,21,3,-12.5,765.7,4.4,357,70.9
2014,12,21,6,-12.9,766,4.7,357,77.5
2014,12,21,9,-15.5,766,4.7,351,72
2014,12,21,12,-17.7,766.1,2.8,349,82.4
2014,12,21,15,-16.7,765.4,3.2,326,83
2014,12,21,18,NA,764.9,1.1,1,82.3
2014,12,21,21,NA,764.3,0.6,343,81
2014,12,22,0,-13.9,763.8,2.5,1,76.9
2014,12,22,3,-13.1,763.3,2.3,316,70.3
2014,12,22,6,-12.9,762.8,2.7,345,63.6
2014,12,22,9,NA,762.3,1.8,13,54.1
2014,12,22,12,-16,762.1,3.7,39,46.9
2014,12,22,15,-15.5,761.5,3.2,20,36
2014,12,22,18,-15.3,761.8,3.1,353,32.9
2014,12,22,21,-14.5,762.5,2.2,34,34.6
2014,12,23,0,-13,763.5,2.4,56,39.7
2014,12,23,3,-13.1,764.1,2.3,25,47.7
2014,12,23,6,-13.6,764.7,4.2,22,44.2
2014,12,23,9,-15.3,765.1,2.7,61,58.1
2014,12,23,12,-16.4,765.5,4.5,82,60
2014,12,23,15,-16.7,765.2,3.8,53,64.8
2014,12,23,18,-16.6,765,3,82,71
2014,12,23,21,-15.8,764.6,2.6,94,65.7
2014,12,24,0,-13.9,764.3,4.1,43,62.2
2014,12,24,3,-13.3,763.4,3.9,33,71.2
2014,12,24,6,-13.7,762.8,6.2,42,73.5
2014,12,24,9,-16.3,762.5,4.8,118,70.7
2014,12,24,12,NA,762.9,5.2,118,72.1
