Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2015,1,1,0,-12,802.5,13.4,115,85.1
2015,1,1,3,-12.2,800.4,12.2,113,86.3
2015,1,1,6,-12.4,800.4,14.2,117,86.4
2015,1,1,9,-13.3,801.6,12.2,118,85.8
2015,1,1,12,-13.2,802.1,NA,NA,86.1
2015,1,1,15,-13.5,803,11.1,121,86.3
2015,1,1,18,-13.4,805.4,NA,NA,85.8
2015,1,1,21,-12.7,806.7,NA,NA,84.8
2015,1,2,0,-8.8,807.5,NA,NA,85.2
2015,1,2,3,-10.4,806.2,5.8,207,84.4
2015,1,2,6,-10.4,805.4,NA,NA,83.8
2015,1,2,9,-12.7,804.9,NA,NA,85.6
2015,1,2,12,-13.5,804.2,NA,NA,85.6
2015,1,2,15,-13.2,803.5,3,281,85.6
2015,1,2,18,NA,803.3,1.5,124,84
2015,1,2,21,NA,803.6,1.6,157,83.3
2015,1,3,0,-12.5,804.6,NA,98,79.2
2015,1,3,3,-11.6,805.8,4.9,104,75.1
2015,1,3,6,-11.3,806.9,NA,102,66.9
2015,1,3,9,NA,808.2,0.6,176,55.7
2015,1,3,12,NA,809.7,0.8,85,55.7
2015,1,3,15,-10.5,810.9,2.5,335,56.7
2015,1,3,18,-10.2,812,2.7,324,52.4
2015,1,3,21,NA,812.9,0.7,276,52.5
2015,1,4,0,NA,813.5,1,209,45.4
2015,1,4,3,NA,813.5,1.1,149,45.7
2015,1,4,6,-8.5,813.6,4.4,98,59.3
2015,1,4,9,-9.1,813.6,6,95,50.8
2015,1,4,12,-9.5,813.5,8.2,94,52.3
2015,1,4,15,-11,813.5,7.4,101,62.4
2015,1,4,18,-10.2,813.4,7.2,93,60.4
2015,1,4,21,-8.7,813.4,4.5,87,52.1
2015,1,5,0,-8.3,813.6,5.5,102,56.6
2015,1,5,3,-9.3,813.2,7.8,101,62.6
2015,1,5,6,-9.9,812.8,7.5,103,68.2
2015,1,5,9,-11.9,812.1,8.3,93,70.2
2015,1,5,12,-12.2,811.6,8.7,90,71.6
2015,1,5,15,-12.5,810.7,7.6,96,74.6
