Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2010,1,9,0,NA,762.5,0.5,177,NA
2010,1,9,3,NA,763.3,1.7,162,NA
2010,1,9,6,NA,764,1.9,48,NA
2010,1,9,9,NA,764.7,1.3,188,NA
2010,1,9,12,-15.9,765.1,NA,252,NA
2010,1,9,15,-13.6,765.3,2.9,55,NA
2010,1,9,18,-14.4,764.7,7,246,NA
2010,1,9,21,-13.5,764.9,2.1,52,NA
2010,1,10,0,NA,764.5,NA,70,NA
2010,1,10,3,-13.5,763.5,2.5,43,NA
2010,1,10,6,-14.1,762.7,2.1,263,NA
2010,1,10,9,NA,761.6,1.6,153,NA
2010,1,10,12,NA,760.9,1,260,NA
2010,1,10,15,NA,760,1.7,72,NA
2010,1,10,18,-13.7,759.2,3.3,55,NA
2010,1,10,21,-13.3,758.8,2,44,NA
2010,1,11,0,-15.5,758.2,6.7,58,NA
2010,1,11,3,-17,757.8,NA,74,NA
2010,1,11,6,-17.6,757.6,5.7,21,NA
2010,1,11,9,-19.6,757.3,5.8,36,NA
2010,1,11,12,-19.7,756.4,6.7,253,NA
2010,1,11,15,NA,756.4,NA,77,NA
2010,1,11,18,-16.5,756,2.8,67,NA
2010,1,11,21,-15,755.7,2.3,74,NA
2010,1,12,0,NA,755.5,1.2,45,NA
2010,1,12,3,NA,754.9,1,19,NA
2010,1,12,6,NA,754.8,0.7,202,NA
2010,1,12,9,-16.1,754.7,2.2,220,NA
2010,1,12,12,NA,755,1.5,229,NA
2010,1,12,15,NA,755,0.3,96,NA
2010,1,12,18,NA,754.7,1.5,146,NA
2010,1,12,21,-16.9,754.2,2.3,214,NA
2010,1,13,0,-15,753.6,2.5,49,NA
2010,1,13,3,NA,753.3,0.6,226,NA
2010,1,13,6,NA,753.1,1.1,17,NA
2010,1,13,9,NA,753,1.1,70,NA
2010,1,13,12,NA,753,1.5,195,NA
2010,1,13,15,NA,752.8,2.5,229,NA
2010,1,13,18,-19.3,752.7,4.2,228,NA
2010,1,13,21,NA,752.8,1.1,122,NA
2010,1,14,0,-17.4,752.7,4.2,49,NA
2010,1,14,3,-17.4,752.5,4,20,NA
2010,1,14,6,NA,751.7,1.2,138,NA
2010,1,14,9,NA,750.7,0.8,83,NA
2010,1,14,12,-17.7,750.5,2.9,219,NA
2010,1,14,15,-15.5,750.4,2.5,77,NA
2010,1,14,18,NA,749.8,1.5,358,NA
2010,1,14,21,-11.8,749.4,NA,7,NA
2010,1,15,0,-13.7,749.4,NA,47,NA
2010,1,15,3,-14.3,748.8,NA,42,NA
2010,1,15,6,-14.4,748.4,19.3,45,NA
2010,1,15,9,-15.9,749.8,NA,236,NA
2010,1,15,12,NA,750,NA,84,NA
2010,1,15,15,-14.4,749.4,4,248,NA
2010,1,15,18,-11.7,748.8,5.3,68,NA
2010,1,15,21,-10.6,747.9,NA,2,NA
2010,1,16,0,-11.4,748.7,NA,162,NA
2010,1,16,3,-11.5,748.5,NA,255,NA
2010,1,16,6,NA,749.3,1.7,305,NA
2010,1,16,9,-13.5,749.8,3.2,246,NA
2010,1,16,12,NA,750.2,0.7,250,NA
2010,1,16,15,NA,750.2,1.8,240,NA
2010,1,16,18,-11.2,750.1,3.3,159,NA
2010,1,16,21,NA,750.3,1.9,211,NA
2010,1,17,0,NA,750.4,1.1,162,NA
2010,1,17,3,NA,750.3,0.7,197,NA
2010,1,17,6,NA,750.1,0.8,192,NA
2010,1,17,9,NA,750.1,0.7,218,NA
2010,1,17,12,NA,750.3,1.1,234,NA
2010,1,17,15,NA,750.4,1.7,68,NA
2010,1,17,18,-11.8,751.1,2.3,84,NA
2010,1,17,21,NA,751.2,1.7,69,NA
2010,1,18,0,NA,751.5,0.7,114,NA
2010,1,18,3,NA,751.6,0.6,188,NA
2010,1,18,6,NA,751.8,0.7,148,NA
2010,1,18,9,NA,751.7,0.7,137,NA
2010,1,18,12,NA,751.8,0.4,206,NA
2010,1,18,15,-14.9,752,3.4,230,NA
2010,1,18,18,NA,752.2,1.7,84,NA
2010,1,18,21,NA,752.5,1.2,168,NA
2010,1,19,0,NA,753.2,1.9,208,NA
2010,1,19,3,-14.6,753.6,2.2,206,NA
2010,1,19,6,NA,754.1,1.9,219,NA
2010,1,19,9,-16.4,754.1,3.9,232,NA
2010,1,19,12,-15,754.4,2.6,254,NA
2010,1,19,15,NA,754.6,0.7,208,NA
2010,1,19,18,NA,754.4,1.2,81,NA
2010,1,19,21,NA,754.2,1.7,90,NA
2010,1,20,0,-13.7,754,3.8,44,NA
2010,1,20,3,-14,753.2,3.2,42,NA
2010,1,20,6,-14.6,752.5,2.7,52,NA
2010,1,20,9,-16.6,751.6,6,38,NA
2010,1,20,12,-16.5,750.7,7.2,39,NA
2010,1,20,15,-14.5,750,4.6,53,NA
2010,1,20,18,-14,749.4,5.5,61,NA
2010,1,20,21,-14.1,748.9,2.6,72,NA
2010,1,21,0,NA,748.5,1.3,180,NA
2010,1,21,3,-14.9,747.8,2.5,356,NA
2010,1,21,6,NA,747.3,1.7,48,NA
2010,1,21,9,-17.8,747.5,5.1,242,NA
2010,1,21,12,NA,748.3,1,199,NA
2010,1,21,15,-17.4,749.3,2.4,240,NA
2010,1,21,18,-17.2,750.5,3,222,NA
2010,1,21,21,-19.1,751.8,3.8,228,NA
2010,1,22,0,NA,752.9,0.8,177,NA
2010,1,22,3,NA,753.6,0.6,239,NA
2010,1,22,6,-17.8,754.6,2,213,NA
2010,1,22,9,-17.5,755.2,2.1,235,NA
2010,1,22,12,NA,756.2,0.7,48,NA
2010,1,22,15,NA,756.8,1.6,236,NA
2010,1,22,18,NA,757.3,0.6,124,NA
2010,1,22,21,NA,757.8,1.4,97,NA
2010,1,23,0,NA,758.1,1.5,170,NA
2010,1,23,3,NA,757.7,1.2,15,NA
2010,1,23,6,-17.2,757.4,2.7,31,NA
2010,1,23,9,NA,756.4,1.3,218,NA
2010,1,23,12,-19.2,755.6,2.6,264,NA
2010,1,23,15,-17.2,754.3,5.8,241,NA
2010,1,23,18,-17.5,753.1,NA,233,NA
2010,1,23,21,-17.6,752.1,6.3,233,NA
2010,1,24,0,-18.3,751.7,7.9,247,NA
2010,1,24,3,-19.1,750.9,5,235,NA
2010,1,24,6,-19.7,750.4,NA,6,NA
2010,1,24,9,NA,750,1.6,34,NA
2010,1,24,12,NA,749.8,0.6,126,NA
2010,1,24,15,-17.7,749.3,NA,33,NA
2010,1,24,18,-17.8,749.1,NA,62,NA
2010,1,24,21,-17.1,748.5,9.4,57,NA
2010,1,25,0,-17.5,748.6,11.6,52,NA
2010,1,25,3,-17.9,750.3,10.8,48,NA
2010,1,25,6,-17.5,751.7,NA,191,NA
2010,1,25,9,-17.6,752.7,NA,39,NA
2010,1,25,12,-18.7,755,NA,190,NA
2010,1,25,15,-19.4,756.4,NA,224,NA
2010,1,25,18,-18,757.6,4.4,73,NA
2010,1,25,21,-17.9,758.4,6.1,65,NA
2010,1,26,0,-17.4,758.8,2.9,54,NA
2010,1,26,3,-18.1,758.4,4.2,64,NA
2010,1,26,6,-18,758.3,3.9,34,NA
2010,1,26,9,-17.9,757.3,4.5,44,NA
2010,1,26,12,-18.6,756.7,4.2,19,NA
2010,1,26,15,-16.2,755.8,8.5,52,NA
2010,1,26,18,-15.7,755.4,8.3,70,NA
2010,1,26,21,-14.1,755.5,8.5,63,NA
2010,1,27,0,-14.6,755.6,6.4,70,NA
2010,1,27,3,-15.2,755.5,7,68,NA
2010,1,27,6,-14.4,755.6,4.2,46,NA
2010,1,27,9,-15.3,755.9,3.9,256,NA
2010,1,27,12,NA,756.3,1.1,61,NA
2010,1,27,15,-14.4,757.2,2.1,64,NA
2010,1,27,18,-12.9,757.7,2,244,NA
2010,1,27,21,NA,758.2,0.9,203,NA
2010,1,28,0,-13,758.5,3.1,250,NA
2010,1,28,3,NA,759,0.7,92,NA
2010,1,28,6,NA,759.1,0.4,180,NA
2010,1,28,9,NA,759.6,1,225,NA
2010,1,28,12,NA,759.8,0.7,210,NA
2010,1,28,15,NA,760,0.6,197,NA
2010,1,28,18,NA,760,1.8,68,NA
2010,1,28,21,NA,760.1,0.8,189,NA
2010,1,29,0,NA,760.2,0.6,53,NA
2010,1,29,3,NA,759.7,0.8,92,NA
2010,1,29,6,-14.5,759.8,2.5,235,NA
2010,1,29,9,NA,759.7,1,27,NA
2010,1,29,12,-14.3,759.8,2.2,43,NA
2010,1,29,15,-14.3,759.6,3.4,36,NA
2010,1,29,18,NA,759.8,0.8,111,NA
2010,1,29,21,NA,759.9,1.8,242,NA
2010,1,30,0,NA,760.2,0.9,39,NA
2010,1,30,3,-13.8,760,2.8,13,NA
2010,1,30,6,-14.9,760,2.1,80,NA
2010,1,30,9,NA,759.7,1,293,NA
2010,1,30,12,-15.3,759.3,4.1,252,NA
2010,1,30,15,NA,758.8,1.6,234,NA
2010,1,30,18,NA,758.1,1.9,242,NA
2010,1,30,21,-14.4,757.6,2.1,62,NA
2010,1,31,0,-13.8,756.8,2,46,NA
2010,1,31,3,-15.5,756,3.1,356,NA
2010,1,31,6,-15,754.9,2.4,56,NA
2010,1,31,9,NA,754,0.9,238,NA
2010,1,31,12,NA,752.4,1.2,15,NA
2010,1,31,15,-10.8,751,2,66,NA
2010,1,31,18,-10.3,749.7,2.8,51,NA
2010,1,31,21,NA,748.2,1.7,64,NA
2010,2,1,0,-8.4,747.7,3,46,NA
2010,2,1,3,NA,747.6,1.2,62,NA
2010,2,1,6,NA,748.6,1.8,159,NA
2010,2,1,9,-11.4,749.6,2.3,37,NA
2010,2,1,12,-12,749.6,6.4,50,NA
2010,2,1,15,-12.2,750.8,3.7,64,NA
2010,2,1,18,-13.3,751.6,3.2,57,NA
2010,2,1,21,-13.3,752.3,4.4,197,NA
2010,2,2,0,NA,752.7,1.5,252,NA
2010,2,2,3,NA,753.2,1.6,200,NA
2010,2,2,6,-14.8,754.3,3.4,116,NA
2010,2,2,9,NA,754.8,1.8,358,NA
2010,2,2,12,NA,755.5,1.9,40,NA
2010,2,2,15,-16.4,755.6,2.5,102,NA
2010,2,2,18,-15.4,754.8,2.1,41,NA
2010,2,2,21,-16.3,753.9,5.5,247,NA
2010,2,3,0,NA,753.2,0.7,181,NA
2010,2,3,3,-16.3,752.3,3,15,NA
2010,2,3,6,-17.2,751.5,4.6,27,NA
