Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2019,12,14,0,NA,NA,NA,NA,NA
2019,12,14,3,NA,NA,NA,NA,NA
2019,12,14,6,NA,NA,NA,NA,NA
2019,12,14,9,NA,NA,NA,NA,NA
2019,12,14,12,NA,NA,NA,NA,NA
2019,12,14,15,NA,NA,NA,NA,NA
2019,12,14,18,-22.7,721,2.6,122,41
2019,12,14,21,-25.2,720,2.1,98,39
2019,12,15,0,-25.9,720,3.4,87,39
2019,12,15,3,-22.2,719,3.5,66,41
2019,12,15,6,NA,718,6.3,79,43
2019,12,15,9,-19.7,718,7.1,54,43
2019,12,15,12,-19.9,718,6,53,43
2019,12,15,15,-20.7,717,4.8,41,42
2019,12,15,18,-21.8,717,3.9,76,42
2019,12,15,21,NA,717,1.9,61,41
2019,12,16,0,-21.6,718,3.2,56,42
2019,12,16,3,-20.2,718,5.2,61,43
2019,12,16,6,-20.3,719,8.1,59,43
2019,12,16,9,-19.6,719,7.8,47,43
2019,12,16,12,-19.9,720,6,70,43
2019,12,16,15,-19.8,719,5.6,52,43
2019,12,16,18,-21,720,6.3,73,42
2019,12,16,21,NA,720,6.2,79,39
2019,12,17,0,-24.8,720,7.6,63,40
2019,12,17,3,-22,720,8.4,57,41
2019,12,17,6,-20.3,720,8.8,49,43
2019,12,17,9,-19.2,721,7.2,47,43
2019,12,17,12,-18.5,721,5.5,41,44
2019,12,17,15,-18.7,721,3.4,32,44
2019,12,17,18,-18.8,722,6.2,34,44
2019,12,17,21,-19.6,723,5.7,26,43
2019,12,18,0,-19.9,724,5.2,36,43
2019,12,18,3,-19.6,725,6,48,43
2019,12,18,6,-18.9,725,5.3,13,44
2019,12,18,9,-18.3,726,4.7,16,44
2019,12,18,12,-17.4,725,5.4,6,45
2019,12,18,15,-18.2,725,3.7,26,44
2019,12,18,18,-18.9,725,2.9,50,44
2019,12,18,21,-19.2,725,5.1,38,43
2019,12,19,0,-19.5,725,5,57,43
2019,12,19,3,-19.9,724,7.7,55,43
2019,12,19,6,-18,724,7.9,41,44
2019,12,19,9,-16.7,724,7.2,43,45
2019,12,19,12,-16.8,723,6.3,37,45
2019,12,19,15,-18,723,4.3,37,44
2019,12,19,18,-18.9,723,6,61,44
2019,12,19,21,NA,723,5.4,64,40
2019,12,20,0,-21.9,723,8.5,58,42
2019,12,20,3,-21.4,723,8.8,64,42
2019,12,20,6,-18.4,723,8.5,69,44
2019,12,20,9,-17.8,723,6.9,62,44
2019,12,20,12,-16.7,722,6.4,52,45
2019,12,20,15,-16.5,722,5.8,50,45
2019,12,20,18,-17.4,721,5.4,50,45
2019,12,20,21,-17.5,722,7.1,46,45
2019,12,21,0,-17.6,722,7.9,61,45
2019,12,21,3,-16.4,721,9,47,45
2019,12,21,6,-14.7,721,9.3,32,47
2019,12,21,9,-13.6,722,8.8,15,47
2019,12,21,12,-13.4,722,7.6,9,48
2019,12,21,15,-14.3,723,4.8,27,47
2019,12,21,18,-15.6,723,5.4,30,46
2019,12,21,21,-17,724,6.5,37,45
2019,12,22,0,-17.1,724,6.2,38,45
2019,12,22,3,-16.6,724,7.6,38,45
2019,12,22,6,-15.4,723,8.8,49,46
2019,12,22,9,-14.4,723,8.6,32,47
2019,12,22,12,-14.9,722,7.8,32,47
2019,12,22,15,-15.8,722,6,12,46
2019,12,22,18,-17.4,722,5.2,32,45
2019,12,22,21,-19,721,6.1,57,44
2019,12,23,0,-19.6,721,7.3,43,43
2019,12,23,3,-19.2,720,7.4,40,43
2019,12,23,6,-18,720,7.3,48,44
2019,12,23,9,-16.8,719,7.1,30,45
2019,12,23,12,-17.2,718,5.8,39,45
2019,12,23,15,-18,718,5.6,32,44
2019,12,23,18,-21.4,717,4.2,64,42
2019,12,23,21,-21.8,717,6.8,57,42
2019,12,24,0,-22.3,716,8.5,54,41
2019,12,24,3,-21.1,715,9.8,40,42
2019,12,24,6,-17.7,715,10.5,35,45
2019,12,24,9,-16.4,715,9.8,40,45
2019,12,24,12,-16,714,8.9,43,46
2019,12,24,15,-16,714,9,40,46
2019,12,24,18,-17,714,8.6,46,45
2019,12,24,21,-17.3,713,9.2,53,45
2019,12,25,0,-17.2,713,8.6,36,45
2019,12,25,3,-15.9,713,9.2,20,46
2019,12,25,6,-15.6,714,8.6,1,46
2019,12,25,9,-14.8,715,8.2,26,47
2019,12,25,12,-15.9,715,5.9,350,46
2019,12,25,15,-17.4,716,4.7,4,45
2019,12,25,18,-17.7,717,3.8,32,45
2019,12,25,21,-17.3,717,6.8,24,45
2019,12,26,0,-16,717,7.5,41,46
2019,12,26,3,-14.9,717,6,25,47
2019,12,26,6,-13.6,716,9.4,40,47
2019,12,26,9,-14.6,717,NA,30,47
2019,12,26,12,-15.1,717,10.6,27,46
2019,12,26,15,-16.2,716,NA,23,46
2019,12,26,18,-18.2,717,5.7,27,44
2019,12,26,21,-18.2,717,4.2,38,44
2019,12,27,0,-17.5,717,5.6,8,45
2019,12,27,3,-17.3,717,5.8,355,45
2019,12,27,6,-16.7,718,5.6,0,45
2019,12,27,9,-16.2,718,4.9,355,46
2019,12,27,12,-16.3,718,5.8,333,45
2019,12,27,15,-17.8,719,4.3,18,44
2019,12,27,18,-21.2,719,2.2,10,42
2019,12,27,21,-19.4,718,5.5,14,43
2019,12,28,0,-19.9,718,5.6,5,43
2019,12,28,3,-18.3,718,5.3,5,44
2019,12,28,6,-16.4,718,5.8,10,45
2019,12,28,9,-15.8,719,5.4,350,46
2019,12,28,12,-16.1,719,4.9,352,46
2019,12,28,15,-17.5,720,5.2,359,45
2019,12,28,18,-17.7,721,4.3,359,45
2019,12,28,21,-19.4,721,3.1,32,43
2019,12,29,0,-18.9,722,4.3,45,44
2019,12,29,3,-18.5,722,6.3,51,44
2019,12,29,6,-15.1,722,6.9,28,46
2019,12,29,9,NA,723,7.5,15,48
2019,12,29,12,-13.5,723,6,8,48
2019,12,29,15,-17.4,724,3.1,44,45
2019,12,29,18,NA,724,3.7,59,42
2019,12,29,21,NA,724,5,65,40
2019,12,30,0,-24.1,723,5.1,65,40
2019,12,30,3,NA,723,5.4,57,43
2019,12,30,6,NA,722,5.9,46,46
2019,12,30,9,NA,722,5.2,27,47
2019,12,30,12,-13.8,722,3.2,29,47
2019,12,30,15,NA,721,2.3,64,44
2019,12,30,18,NA,721,2.6,75,40
2019,12,30,21,NA,720,4.2,76,39
2019,12,31,0,-24,719,5.3,97,40
2019,12,31,3,NA,718,5.8,69,43
2019,12,31,6,NA,718,6.5,65,46
2019,12,31,9,NA,717,6,35,47
2019,12,31,12,-14.5,717,4.3,43,47
2019,12,31,15,-18.4,716,2.9,73,44
2019,12,31,18,NA,716,4.3,69,41
2019,12,31,21,NA,716,5.7,84,39
2020,1,1,0,-24.2,716,7.6,70,40
2020,1,1,3,-21,715,8.3,61,42
2020,1,1,6,NA,715,9,59,44
2020,1,1,9,-16.7,715,8.4,69,45
2020,1,1,12,-16.7,715,7.6,64,45
2020,1,1,15,-18.5,714,7.1,73,44
2020,1,1,18,NA,713,6.4,81,41
2020,1,1,21,NA,712,5.8,99,38
2020,1,2,0,-26.5,711,6.3,94,38
2020,1,2,3,-23.4,710,6.6,83,40
2020,1,2,6,NA,711,6.2,47,44
2020,1,2,9,NA,712,6.6,27,45
2020,1,2,12,-16.5,714,6.7,0,45
2020,1,2,15,-19.4,716,4.6,36,43
2020,1,2,18,NA,718,5.9,46,41
2020,1,2,21,-22.2,719,7.9,43,41
2020,1,3,0,-21.5,720,7,55,42
2020,1,3,3,-18.6,720,5.6,53,44
2020,1,3,6,NA,720,5.1,21,45
2020,1,3,9,-15.6,720,3.2,41,46
2020,1,3,12,-15.8,720,2.3,68,46
2020,1,3,15,NA,719,1.8,58,45
2020,1,3,18,NA,718,1.6,80,45
2020,1,3,21,NA,718,1.5,59,44
2020,1,4,0,NA,717,1.4,49,44
2020,1,4,3,-17.2,717,2.5,66,45
2020,1,4,6,-15.4,716,3,3,46
2020,1,4,9,-14.8,716,2.4,343,47
2020,1,4,12,-14.6,716,2.2,359,47
2020,1,4,15,-17.2,716,2.1,47,45
2020,1,4,18,-19,716,2.6,51,44
2020,1,4,21,NA,716,3.1,93,40
2020,1,5,0,-20.9,716,3.8,73,42
2020,1,5,3,NA,716,4.8,55,44
2020,1,5,6,NA,717,5.7,37,46
2020,1,5,9,-14.2,717,4.9,32,47
2020,1,5,12,-14.6,718,5.3,40,47
2020,1,5,15,-16.4,718,3.3,55,45
2020,1,5,18,-18.4,719,5.7,52,44
2020,1,5,21,-19.7,720,4.4,66,43
2020,1,6,0,-19.3,720,5.8,59,43
2020,1,6,3,-19.3,721,5.9,61,43
2020,1,6,6,-17.3,721,7.5,76,45
2020,1,6,9,-16.1,721,6.5,50,46
2020,1,6,12,-16.3,721,5.4,40,46
2020,1,6,15,-18.9,721,2.9,90,44
2020,1,6,18,NA,721,4.7,88,40
2020,1,6,21,NA,720,6.8,89,39
2020,1,7,0,-21.1,720,7.4,69,42
2020,1,7,3,NA,719,8.9,52,43
2020,1,7,6,-16.7,719,9.9,49,45
2020,1,7,9,-15.6,719,9,43,46
2020,1,7,12,-15.9,720,7.5,61,46
2020,1,7,15,-18.8,719,5.5,76,44
2020,1,7,18,NA,720,5.9,85,41
2020,1,7,21,NA,720,6.6,88,38
2020,1,8,0,-25,720,7.9,90,39
2020,1,8,3,-22,720,8.8,74,41
2020,1,8,6,NA,720,9.6,49,44
2020,1,8,9,NA,721,9,32,46
2020,1,8,12,-15.8,723,7.5,46,46
2020,1,8,15,-17.4,724,5.2,57,45
2020,1,8,18,NA,725,4.8,76,41
2020,1,8,21,NA,726,6.3,85,40
2020,1,9,0,-22.9,727,7,73,41
