Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1999,11,26,0,NA,NA,NA,NA,NA
1999,11,26,3,NA,NA,NA,NA,NA
1999,11,26,6,NA,NA,NA,NA,NA
1999,11,26,9,NA,NA,NA,NA,NA
1999,11,26,12,NA,NA,NA,NA,NA
1999,11,26,15,NA,NA,NA,NA,NA
1999,11,26,18,NA,NA,NA,NA,NA
1999,11,26,21,-7.4,975.8,3,30,54
1999,11,27,0,-5.9,975,3,90,51
1999,11,27,3,-5.4,974.2,3,40,47
1999,11,27,6,-4.9,973.6,5,20,44
1999,11,27,9,-5.1,973.1,5,320,42
1999,11,27,12,NA,972.4,2,50,59
1999,11,27,15,-9.9,971.7,NA,NA,55
1999,11,27,18,-7.9,971.3,NA,NA,53
1999,11,27,21,NA,971.5,2,60,30
1999,11,28,0,-4,971.6,5,30,37
1999,11,28,3,-3,971.3,3,50,31
1999,11,28,6,-2.7,971.2,7,340,28
1999,11,28,9,-3.6,971.4,6,290,33
1999,11,28,12,-3.7,971.5,9,240,37
1999,11,28,15,-5.2,972.2,NA,10,46
1999,11,28,18,-3.2,972.2,NA,230,38
1999,11,28,21,-3.4,972.7,NA,220,39
1999,11,29,0,-3.3,972.8,15,240,34
1999,11,29,3,-2.7,972.7,NA,160,35
1999,11,29,6,-3.9,972.8,NA,220,30
1999,11,29,9,-4.6,973,NA,300,51
1999,11,29,12,-4.1,972.9,NA,220,36
1999,11,29,15,-5,972.8,NA,300,43
1999,11,29,18,-4.8,972.8,NA,340,48
1999,11,29,21,-4.8,971.9,4,30,57
1999,11,30,0,-3.3,970.7,2,50,43
1999,11,30,3,-3.3,970,3,100,44
1999,11,30,6,-3.7,969.5,4,180,46
1999,11,30,9,-3.7,969.2,3,100,46
1999,11,30,12,-5.5,968.8,6,220,51
1999,11,30,15,-7.9,969,NA,NA,62
1999,11,30,18,-4.2,969.3,8,220,41
1999,11,30,21,-3.2,969.4,4,40,41
1999,12,1,0,-3.5,968.8,7,20,48
1999,12,1,3,-4.2,968.7,7,20,51
1999,12,1,6,-4.3,968.9,7,340,46
1999,12,1,9,-5.6,969.1,3,20,49
1999,12,1,12,-7.5,969.2,NA,NA,56
1999,12,1,15,NA,969.4,1,130,60
1999,12,1,18,-8.4,970,3,100,58
1999,12,1,21,-5.5,970.6,4,160,51
1999,12,2,0,-5.2,971.1,6,120,59
1999,12,2,3,-4.7,971.4,4,350,57
1999,12,2,6,-4.3,971.4,5,360,52
1999,12,2,9,-5,971.3,4,10,53
1999,12,2,12,-6.5,971.2,7,290,47
1999,12,2,15,-6.5,970.6,NA,20,44
1999,12,2,18,NA,970.6,NA,120,50
1999,12,2,21,-7.3,970.8,3,60,53
