Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2013,12,30,0,NA,NA,NA,NA,NA
2013,12,30,3,NA,NA,NA,NA,NA
2013,12,30,6,NA,NA,NA,NA,NA
2013,12,30,9,NA,NA,NA,NA,NA
2013,12,30,12,NA,NA,NA,NA,NA
2013,12,30,15,NA,NA,NA,NA,NA
2013,12,30,18,NA,NA,NA,NA,NA
2013,12,30,21,-12.1,844.5,5.4,169,58.1
2013,12,31,0,NA,844.4,1,305,61
2013,12,31,3,NA,844.1,NA,172,44.8
2013,12,31,6,-13,844,4.4,180,62
2013,12,31,9,NA,844.5,NA,183,71.9
2013,12,31,12,-14.5,844.8,6.9,194,68.9
2013,12,31,15,-13,844.6,5.8,192,66.6
2013,12,31,18,-12.7,844.9,5.3,188,70.3
2013,12,31,21,-15.2,845.7,4.5,140,82.3
2014,1,1,0,NA,845.9,1.5,118,80.8
2014,1,1,3,-15.5,845.8,2.7,327,78.9
2014,1,1,6,-15.9,845.7,3.2,162,81.4
2014,1,1,9,-16.9,845.3,2,13,83.6
2014,1,1,12,-13.5,844.5,NA,197,64.6
2014,1,1,15,-13.3,844,6.4,202,65.5
2014,1,1,18,-12.5,843.2,9.2,201,56.7
2014,1,1,21,-12.4,842.8,8.2,200,55.4
2014,1,2,0,-12.3,842.7,8.2,196,65.4
2014,1,2,3,-12.5,842.4,10.8,189,69
2014,1,2,6,-12.9,842.4,NA,203,67.5
2014,1,2,9,-12.6,842.5,13.5,191,65
2014,1,2,12,-12.3,842.2,12.4,202,64.1
2014,1,2,15,-11.7,841.9,13.3,204,64
2014,1,2,18,-11.3,841.4,13.7,202,61.9
2014,1,2,21,-11.2,841,14.7,210,59.4
2014,1,3,0,-11,840.2,15.5,202,56.4
2014,1,3,3,-11,839.4,15,201,60.1
2014,1,3,6,-11.5,838.7,15.5,199,62.4
2014,1,3,9,-10.8,838.6,14.8,195,58.6
2014,1,3,12,-10.4,838.6,12.1,201,58.3
2014,1,3,15,-9.5,838.8,13.2,204,57.3
2014,1,3,18,-10,839,15.4,191,55.4
2014,1,3,21,-9.8,840.3,14,193,58.5
2014,1,4,0,-10.6,842.5,NA,188,67.1
2014,1,4,3,-12.7,844.8,NA,158,83.8
2014,1,4,6,-14.8,847,6.3,160,84.5
2014,1,4,9,-15.7,849.2,4.6,163,83.5
2014,1,4,12,-14.9,850.4,5.7,175,83.5
2014,1,4,15,-15.2,850.9,4.8,164,83.3
2014,1,4,18,-14.5,850.9,6.1,169,82.4
2014,1,4,21,-13.8,850.8,6.2,173,80.6
2014,1,5,0,-13.3,850.3,7,192,71.9
2014,1,5,3,-12.5,849.3,6.8,183,77.2
2014,1,5,6,-13.2,848.5,8.4,191,74.2
2014,1,5,9,-13.2,848.1,6.7,166,82
2014,1,5,12,-14.1,847.4,7.5,173,81.1
2014,1,5,15,-14.3,846.8,7.6,172,78.9
2014,1,5,18,-14.1,846,5.6,180,73
2014,1,5,21,-13.8,845.3,NA,125,70.2
2014,1,6,0,NA,844.9,NA,66,71
2014,1,6,3,NA,844.6,1.9,315,75.3
2014,1,6,6,-14.2,844.6,2,328,67.5
2014,1,6,9,-14.6,844.9,2.2,344,69.4
2014,1,6,12,-14.1,845.3,4,357,63.4
2014,1,6,15,-13.3,845.4,3.6,329,59.1
2014,1,6,18,-12.1,845.9,3,336,58.7
2014,1,6,21,-12.2,846.4,3.6,316,58.6
2014,1,7,0,-13.3,846.9,5.3,302,62.9
2014,1,7,3,-13.4,847.4,2.5,320,56.8
2014,1,7,6,NA,847.8,1.5,5,56.5
2014,1,7,9,NA,848.6,0.6,287,52.3
2014,1,7,12,NA,848.7,1.4,31,65.1
2014,1,7,15,-13,848.6,4.7,338,58.9
2014,1,7,18,-12.8,848.1,3.6,328,56
2014,1,7,21,-13.7,848,6.1,337,61.8
2014,1,8,0,-12.5,847.3,3.2,166,52.1
2014,1,8,3,-13.3,846.5,2.6,303,53.1
2014,1,8,6,-13.6,845.5,6.2,222,43
2014,1,8,9,-13.8,845,NA,226,47.8
2014,1,8,12,-13.2,844.4,9.4,248,44.8
2014,1,8,15,-12.2,843.4,10.7,216,46
2014,1,8,18,-12,843.4,5.8,250,50.6
2014,1,8,21,-11,843.9,6,226,41.6
2014,1,9,0,-10.9,843.9,8.4,224,41
2014,1,9,3,-11.8,843.8,10.9,202,49.2
2014,1,9,6,-12.7,844.1,12.4,203,65.1
2014,1,9,9,-14.1,845.2,11.1,192,69.1
2014,1,9,12,-15,845.6,12.1,187,70.9
2014,1,9,15,-14.9,845.8,11.3,191,68.5
2014,1,9,18,-14.4,846.2,11.9,196,68.2
2014,1,9,21,-13.5,846.2,11.1,206,65.7
2014,1,10,0,-13.2,846.5,12.3,202,70.2
2014,1,10,3,-12.7,846.1,13.4,198,64.9
2014,1,10,6,-11.9,845.9,11.3,195,56.9
2014,1,10,9,-11.1,845.6,10.7,204,46.1
2014,1,10,12,-10.6,844.9,8.9,215,44.7
2014,1,10,15,-9.2,843.1,13.6,215,35.7
2014,1,10,18,-9.7,841,NA,211,53.9
2014,1,10,21,-10.7,840.2,NA,209,66.3
2014,1,11,0,-10.4,841.2,19.1,208,56.8
2014,1,11,3,-11,842,NA,198,56.4
2014,1,11,6,-10.8,842.3,15.7,203,51.3
2014,1,11,9,-11.7,843,12.7,204,54.1
2014,1,11,12,-11.9,843.4,12.1,200,54.5
2014,1,11,15,-11.7,843.7,10.8,196,56.2
2014,1,11,18,-11.7,844.4,13.1,199,61.2
2014,1,11,21,-11.4,845.2,11.2,194,63.6
2014,1,12,0,-11.8,845.7,8.9,193,69.4
2014,1,12,3,-12.5,845.8,7.4,184,74.9
2014,1,12,6,-13.4,846.1,8.8,192,76.9
2014,1,12,9,-13.2,846.1,9,197,69.9
2014,1,12,12,-12.5,846,10.6,194,64.6
2014,1,12,15,-11,845.9,9.9,194,60.4
2014,1,12,18,-10.8,845.7,10,191,65.9
2014,1,12,21,-10.5,846,11.6,195,67.3
2014,1,13,0,-10.5,846.5,7.6,188,71.7
2014,1,13,3,-11.1,846.5,8,191,75.3
2014,1,13,6,-11.6,846.9,8,182,78.4
2014,1,13,9,-12.2,847.6,7.4,180,78.9
2014,1,13,12,-12.4,848.1,8.8,193,81.8
2014,1,13,15,-11.5,848.5,7,184,81.6
2014,1,13,18,-11.7,849.1,5.8,155,85.1
2014,1,13,21,-12.6,849.8,6,143,85.5
2014,1,14,0,NA,850.5,1.2,102,84.3
2014,1,14,3,NA,851,NA,316,85.6
2014,1,14,6,NA,851.2,0.3,62,84.6
2014,1,14,9,-14,851.2,3.1,358,84
2014,1,14,12,NA,850.6,0.9,218,84.1
