Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2014,5,4,0,NA,NA,NA,NA,NA
2014,5,4,3,NA,NA,NA,NA,NA
2014,5,4,6,NA,NA,NA,NA,NA
2014,5,4,9,NA,NA,NA,NA,NA
2014,5,4,12,NA,NA,NA,NA,NA
2014,5,4,15,NA,NA,NA,NA,NA
2014,5,4,18,3.9,971.3,3.6,98,69.9
2014,5,4,21,2,970.4,1.3,82,76.1
2014,5,5,0,1.4,971.3,4,83,88.7
2014,5,5,3,0.4,971.9,NA,74,92.4
2014,5,5,6,0.8,971.6,2.2,88,89.7
2014,5,5,9,-0.3,970.3,2.1,210,92.3
2014,5,5,12,-0.8,969,0.3,188,93.9
2014,5,5,15,-1.4,969.5,0.6,336,93.1
2014,5,5,18,-1.2,970.6,NA,NA,92.4
2014,5,5,21,-1.3,972.1,1,177,93
2014,5,6,0,-2.1,973.3,NA,NA,91
2014,5,6,3,-1.8,975.7,1.4,304,90.2
2014,5,6,6,-2.4,977.7,0.3,275,87.1
2014,5,6,9,-2.4,979.6,0.2,277,89.3
2014,5,6,12,-2.7,981.3,1.5,216,81.2
2014,5,6,15,-1.9,983.8,0.3,220,81.6
2014,5,6,18,-1.4,985.3,0.5,124,87.4
2014,5,6,21,-0.9,986.2,NA,49,77.8
2014,5,7,0,-1,988.2,NA,57,83.4
2014,5,7,3,-0.9,991,7.1,62,83.8
2014,5,7,6,-1.8,996,3.5,238,82.7
2014,5,7,9,-1.8,1000.8,NA,265,83.8
2014,5,7,12,-3.8,1004.1,4.8,124,80.8
2014,5,7,15,-3.6,1006.6,2.8,112,74.7
2014,5,7,18,-4.1,1008.7,1.4,131,69.3
2014,5,7,21,-3.8,1009.8,1.5,174,63.6
2014,5,8,0,NA,NA,NA,NA,NA
2014,5,8,3,NA,NA,NA,NA,NA
2014,5,8,6,NA,NA,NA,NA,NA
2014,5,8,9,NA,NA,NA,NA,NA
2014,5,8,12,NA,NA,NA,NA,NA
2014,5,8,15,5.2,1005.4,11.8,51,57.6
2014,5,8,18,0.8,1002.8,NA,157,77.9
2014,5,8,21,5.5,1000.8,NA,37,60.2
2014,5,9,0,4.4,999.6,NA,59,65.8
2014,5,9,3,5.6,995.9,NA,275,68.7
2014,5,9,6,3.4,993.7,NA,47,70.8
2014,5,9,9,1.9,991.4,NA,46,87.3
2014,5,9,12,3,990.4,NA,48,81.4
2014,5,9,15,1.7,992.8,NA,44,88.8
2014,5,9,18,1.2,992.2,NA,67,88.4
2014,5,9,21,0.6,991.8,9.8,53,91.4
2014,5,10,0,1.3,991.7,7.5,65,88.1
2014,5,10,3,0.9,990.1,10.4,60,88.2
2014,5,10,6,0.2,990.3,8.2,54,94.3
