Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1993,1,1,0,NA,NA,NA,NA,NA
1993,1,1,3,NA,NA,NA,NA,NA
1993,1,1,6,NA,NA,NA,NA,NA
1993,1,1,9,NA,NA,NA,NA,NA
1993,1,1,12,NA,NA,NA,NA,NA
1993,1,1,15,NA,NA,NA,NA,NA
1993,1,1,18,NA,NA,NA,NA,NA
1993,1,1,21,NA,NA,NA,NA,NA
1993,1,2,0,NA,NA,NA,NA,NA
1993,1,2,3,NA,NA,NA,NA,NA
1993,1,2,6,NA,NA,NA,NA,NA
1993,1,2,9,NA,NA,NA,NA,NA
1993,1,2,12,NA,NA,NA,NA,NA
1993,1,2,15,NA,NA,NA,NA,NA
1993,1,2,18,NA,NA,NA,NA,NA
1993,1,2,21,NA,NA,NA,NA,NA
1993,1,3,0,NA,NA,NA,NA,NA
1993,1,3,3,NA,NA,NA,NA,NA
1993,1,3,6,NA,NA,NA,NA,NA
1993,1,3,9,NA,NA,NA,NA,NA
1993,1,3,12,NA,NA,NA,NA,NA
1993,1,3,15,NA,NA,NA,NA,NA
1993,1,3,18,NA,NA,NA,NA,NA
1993,1,3,21,NA,NA,NA,NA,NA
1993,1,4,0,NA,NA,NA,NA,NA
1993,1,4,3,NA,NA,NA,NA,NA
1993,1,4,6,NA,NA,NA,NA,NA
1993,1,4,9,NA,NA,NA,NA,NA
1993,1,4,12,NA,NA,NA,NA,NA
1993,1,4,15,NA,NA,NA,NA,NA
1993,1,4,18,NA,NA,NA,NA,NA
1993,1,4,21,NA,NA,NA,NA,NA
1993,1,5,0,NA,NA,NA,NA,NA
1993,1,5,3,NA,NA,NA,NA,NA
1993,1,5,6,NA,NA,NA,NA,NA
1993,1,5,9,NA,NA,NA,NA,NA
1993,1,5,12,NA,NA,NA,NA,NA
1993,1,5,15,NA,NA,NA,NA,NA
1993,1,5,18,NA,NA,NA,NA,NA
1993,1,5,21,NA,NA,NA,NA,NA
1993,1,6,0,NA,NA,NA,NA,NA
1993,1,6,3,NA,NA,NA,NA,NA
1993,1,6,6,NA,NA,NA,NA,NA
1993,1,6,9,NA,NA,NA,NA,NA
1993,1,6,12,NA,NA,NA,NA,NA
1993,1,6,15,NA,NA,NA,NA,NA
1993,1,6,18,NA,NA,NA,NA,NA
1993,1,6,21,NA,NA,NA,NA,NA
1993,1,7,0,NA,NA,NA,NA,NA
1993,1,7,3,NA,NA,NA,NA,NA
1993,1,7,6,NA,NA,NA,NA,NA
1993,1,7,9,NA,NA,NA,NA,NA
1993,1,7,12,NA,NA,NA,NA,NA
1993,1,7,15,NA,NA,NA,NA,NA
1993,1,7,18,NA,NA,NA,NA,NA
1993,1,7,21,NA,NA,NA,NA,NA
1993,1,8,0,NA,NA,NA,NA,NA
1993,1,8,3,NA,NA,NA,NA,NA
1993,1,8,6,0.9,NA,6,340,36
1993,1,8,9,0.7,NA,3,230,28
1993,1,8,12,-1.6,NA,NA,260,44
1993,1,8,15,-2.6,NA,NA,350,47
1993,1,8,18,-3.1,NA,NA,60,63
1993,1,8,21,-1.6,NA,3,360,48
1993,1,9,0,-2.9,NA,3,60,54
1993,1,9,3,-0.8,NA,2,310,51
1993,1,9,6,-1.1,NA,NA,240,59
1993,1,9,9,-1.8,NA,NA,240,77
1993,1,9,12,-1.7,NA,NA,270,63
1993,1,9,15,-0.4,NA,NA,0,55
1993,1,9,18,-0.9,NA,NA,250,49
1993,1,9,21,-0.6,NA,NA,340,64
1993,1,10,0,0.2,NA,NA,110,56
1993,1,10,3,3.6,NA,5,340,47
1993,1,10,6,3,NA,2,330,43
1993,1,10,9,NA,NA,1,50,52
1993,1,10,12,0.2,NA,NA,320,38
1993,1,10,15,-1.3,NA,NA,290,36
1993,1,10,18,-1.1,NA,NA,310,41
1993,1,10,21,-1.1,NA,NA,300,46
1993,1,11,0,1,NA,NA,320,37
1993,1,11,3,-0.1,NA,3,110,58
1993,1,11,6,-1,NA,NA,100,50
1993,1,11,9,-2.1,NA,NA,140,86
1993,1,11,12,-2.4,NA,NA,230,78
1993,1,11,15,-3,NA,NA,230,87
1993,1,11,18,-2.4,NA,NA,240,81
1993,1,11,21,-1.9,NA,NA,250,76
1993,1,12,0,-1.5,NA,NA,340,81
1993,1,12,3,0.2,NA,NA,350,75
1993,1,12,6,-0.3,NA,6,330,80
1993,1,12,9,1,NA,NA,330,60
1993,1,12,12,-0.1,NA,3,270,50
1993,1,12,15,-1,NA,2,70,55
1993,1,12,18,-0.7,NA,3,260,47
1993,1,12,21,-0.2,NA,5,320,55
1993,1,13,0,1.5,NA,NA,270,44
1993,1,13,3,2,NA,NA,340,40
1993,1,13,6,2.6,NA,NA,340,39
1993,1,13,9,1,NA,NA,60,42
1993,1,13,12,0.1,NA,5,320,45
1993,1,13,15,-0.7,NA,NA,150,38
1993,1,13,18,-2.1,NA,NA,140,44
1993,1,13,21,-1.3,NA,NA,320,58
1993,1,14,0,-0.9,NA,6,30,50
1993,1,14,3,-2.5,NA,NA,120,51
1993,1,14,6,-3.5,NA,NA,130,81
1993,1,14,9,-2.8,NA,8,210,72
