Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1988,7,1,0,-14.4,972.6,1.5,323,NA
1988,7,1,3,-13.9,972.9,1,358,NA
1988,7,1,6,-15.3,972.7,NA,NA,NA
1988,7,1,9,-12.8,973.1,NA,NA,NA
1988,7,1,12,-13,973.4,NA,NA,NA
1988,7,1,15,NA,NA,NA,NA,NA
1988,7,1,18,-12.8,972.8,NA,NA,NA
1988,7,1,21,-12.5,972.5,NA,NA,NA
1988,7,2,0,-11.5,972.4,NA,NA,NA
1988,7,2,3,-12,972,NA,NA,NA
1988,7,2,6,-10.3,971.7,NA,NA,NA
1988,7,2,9,-9.5,971.5,NA,NA,NA
1988,7,2,12,-9.8,971.5,NA,NA,NA
1988,7,2,15,-9.6,971.3,NA,NA,NA
1988,7,2,18,-7.3,971.5,NA,NA,NA
1988,7,2,21,-9.4,972,NA,NA,NA
1988,7,3,0,-8.8,973.1,NA,NA,NA
1988,7,3,3,-7,973.7,NA,NA,NA
1988,7,3,6,-7.3,974.5,1,282,NA
1988,7,3,9,-8.5,975,NA,NA,NA
1988,7,3,12,-9.8,975.3,NA,NA,NA
1988,7,3,15,-10.6,975.5,NA,NA,NA
1988,7,3,18,-10.8,975.8,NA,NA,NA
1988,7,3,21,-11.9,976.6,NA,NA,NA
1988,7,4,0,-13,977.6,NA,NA,NA
1988,7,4,3,-14.3,977.5,NA,NA,NA
1988,7,4,6,-14.1,977.6,NA,NA,NA
1988,7,4,9,-12.8,977,NA,NA,NA
1988,7,4,12,-12.6,975.7,NA,NA,NA
1988,7,4,15,NA,NA,NA,NA,NA
1988,7,4,18,-7.4,969.6,8.3,360,NA
1988,7,4,21,-7.8,967,10.8,18,NA
1988,7,5,0,-7,965.5,7.6,26,NA
1988,7,5,3,-5.8,965.1,6.1,26,NA
1988,7,5,6,-5.6,965.3,3.2,358,NA
1988,7,5,9,-8.8,963.5,2,289,NA
1988,7,5,12,-8.8,961.8,1.5,279,NA
1988,7,5,15,-10.1,959.1,1.2,255,NA
