Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2000,2,1,0,NA,NA,NA,NA,NA
2000,2,1,3,NA,NA,NA,NA,NA
2000,2,1,6,NA,NA,NA,NA,NA
2000,2,1,9,-5.94,953.2,NA,120,42
2000,2,1,12,-6.1,953.2,NA,132,56
2000,2,1,15,NA,NA,NA,NA,NA
2000,2,1,18,-7.18,951.4,NA,132,38
2000,2,1,21,-7.26,949.6,NA,150,36
2000,2,2,0,-8.12,947.4,NA,150,34
2000,2,2,3,-7.6,944.4,NA,150,30
2000,2,2,6,NA,NA,NA,NA,NA
2000,2,2,9,-5.88,939,NA,96,44
2000,2,2,12,-5.8,937.8,NA,108,50
2000,2,2,15,-7.66,937,NA,114,70
2000,2,2,18,NA,NA,NA,NA,NA
2000,2,2,21,-10.94,936.8,NA,120,70
2000,2,3,0,-10.04,936.8,NA,126,66
2000,2,3,3,-7.48,936.6,NA,120,58
2000,2,3,6,NA,NA,NA,NA,NA
2000,2,3,9,NA,NA,NA,NA,NA
2000,2,3,12,-5.78,935.4,NA,126,74
2000,2,3,15,-6.64,935.2,NA,120,82
2000,2,3,18,-6.54,935.4,NA,132,72
2000,2,3,21,-6.92,934.4,NA,138,68
2000,2,4,0,-6.18,934.2,NA,126,72
2000,2,4,3,-4.58,933.6,NA,126,68
2000,2,4,6,NA,NA,NA,NA,NA
2000,2,4,9,-2.52,936.2,NA,84,80
2000,2,4,12,-2.86,938.2,NA,108,78
2000,2,4,15,-3.52,940,NA,138,72
2000,2,4,18,-4.44,940.8,NA,144,62
2000,2,4,21,-8.46,941.2,NA,192,72
2000,2,5,0,-8.48,940.6,NA,174,66
2000,2,5,3,NA,NA,NA,NA,NA
2000,2,5,6,-3.74,938.2,NA,66,30
2000,2,5,9,NA,NA,NA,NA,NA
2000,2,5,12,-2.84,936.4,NA,342,44
2000,2,5,15,-5.62,935.4,NA,132,74
2000,2,5,18,-7.02,935,NA,120,90
2000,2,5,21,-7.7,933.8,NA,132,88
2000,2,6,0,-7.84,933,NA,132,90
2000,2,6,3,NA,NA,NA,NA,NA
2000,2,6,6,NA,NA,NA,NA,NA
2000,2,6,9,NA,NA,NA,NA,NA
2000,2,6,12,-5.8,931.2,NA,138,88
2000,2,6,15,-6.3,932.6,NA,138,86
2000,2,6,18,-6.88,934.2,NA,144,84
2000,2,6,21,-7.78,935.6,NA,138,78
2000,2,7,0,-6.98,937.4,NA,138,66
2000,2,7,3,-6.68,937.8,NA,144,62
2000,2,7,6,NA,NA,NA,NA,NA
2000,2,7,9,NA,NA,NA,NA,NA
2000,2,7,12,-4.32,936,NA,138,50
2000,2,7,15,-7.1,935.2,NA,126,66
2000,2,7,18,-9.22,935.2,NA,138,56
2000,2,7,21,-9.84,935.4,NA,138,50
2000,2,8,0,-10.6,935.6,NA,144,44
2000,2,8,3,-10.16,935.6,NA,144,42
2000,2,8,6,NA,NA,NA,NA,NA
2000,2,8,9,NA,NA,NA,NA,NA
2000,2,8,12,NA,NA,NA,NA,NA
2000,2,8,15,-8.6,936.4,NA,126,76
2000,2,8,18,-9.3,936.2,NA,144,70
2000,2,8,21,-8.16,936,NA,150,64
