Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1988,1,1,0,-0.1,986.7,5.8,67,NA
1988,1,1,3,NA,988.5,1,60,NA
1988,1,1,6,-0.1,989.6,2.5,49,NA
1988,1,1,9,-1.3,992,2.8,355,NA
1988,1,1,12,-1.3,993.2,2.5,358,NA
1988,1,1,15,NA,994.5,0.5,16,NA
1988,1,1,18,-0.5,995.8,3,286,NA
1988,1,1,21,0.4,996.8,3.3,324,NA
1988,1,2,0,2.2,998,2.3,291,NA
1988,1,2,3,1.3,998,3,340,NA
1988,1,2,6,NA,996.3,0.8,28,NA
1988,1,2,9,-0.3,994,NA,351,NA
1988,1,2,12,-1.1,991.2,NA,85,NA
1988,1,2,15,-0.6,987,5.1,360,NA
1988,1,2,18,0.3,984.5,7.3,9,NA
1988,1,2,21,0.6,984.1,6.3,336,NA
1988,1,3,0,0.5,984.5,5.1,313,NA
1988,1,3,3,0.6,984.1,5.3,317,NA
1988,1,3,6,0.3,983.4,4.8,329,NA
1988,1,3,9,0,983,6.6,310,NA
1988,1,3,12,-0.5,982.9,4.6,317,NA
1988,1,3,15,-0.5,982.5,5.6,312,NA
1988,1,3,18,-0.5,982.3,4,303,NA
1988,1,3,21,-0.5,982.7,2.8,286,NA
1988,1,4,0,-0.3,983.3,3.5,315,NA
1988,1,4,3,-0.5,983.2,4.6,298,NA
1988,1,4,6,-0.3,983.1,5.1,289,NA
1988,1,4,9,-0.6,982.7,4,305,NA
1988,1,4,12,-0.6,982.7,3.5,306,NA
1988,1,4,15,-0.6,982.9,3.8,306,NA
1988,1,4,18,-0.8,983.5,3.8,244,NA
1988,1,4,21,-0.6,985,4,246,NA
1988,1,5,0,NA,986,1,277,NA
1988,1,5,3,NA,986.6,0.3,0,NA
1988,1,5,6,1.1,986.8,2.8,264,NA
1988,1,5,9,-0.4,986.9,NA,NA,NA
