Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1982,1,1,0,-9.1,868.5,11.6,243,NA
1982,1,1,3,-10,868.9,10.9,260,NA
1982,1,1,6,-11.1,869.3,10.4,260,NA
1982,1,1,9,-11.9,869.5,11.8,260,NA
1982,1,1,12,-11.4,869.1,NA,250,NA
1982,1,1,15,-10.8,870,14.2,239,NA
1982,1,1,18,-9.5,870.6,NA,225,NA
1982,1,1,21,-8.5,871.3,NA,225,NA
1982,1,2,0,-9.6,871.2,8,243,NA
1982,1,2,3,-12.1,871,4.7,248,NA
1982,1,2,6,NA,870.4,5.2,260,NA
1982,1,2,9,-15,870.3,5,270,NA
1982,1,2,12,-12.8,869.8,3.1,270,NA
1982,1,2,15,NA,869.5,1.9,277,NA
1982,1,2,18,NA,869,5,321,NA
1982,1,2,21,-7.8,868.3,5.4,360,NA
1982,1,3,0,-7,867.6,5,339,NA
1982,1,3,3,-6.1,867.3,4.5,309,NA
1982,1,3,6,-6.6,867.7,5,307,NA
1982,1,3,9,-7,868.3,6.1,309,NA
1982,1,3,12,-6,868.9,5.2,270,NA
1982,1,3,15,-4.8,869.2,4.3,267,NA
1982,1,3,18,-4,870.2,3.5,225,NA
1982,1,3,21,-1.9,870.9,4.3,231,NA
1982,1,4,0,-3.1,871.4,2.6,54,NA
1982,1,4,3,-4,872,NA,NA,NA
1982,1,4,6,NA,872.2,1.6,338,NA
1982,1,4,9,-7,872.7,2.6,360,NA
1982,1,4,12,-3.8,873,NA,NA,NA
1982,1,4,15,NA,872.6,0.9,330,NA
1982,1,4,18,NA,872.4,1.6,6,NA
1982,1,4,21,-5.3,872.2,2.6,349,NA
1982,1,5,0,-6.4,871.4,2.1,315,NA
1982,1,5,3,NA,870.8,1.6,309,NA
1982,1,5,6,-7.3,870.5,3.5,338,NA
1982,1,5,9,-9.1,870.1,4,309,NA
1982,1,5,12,-9.4,869.6,2.4,253,NA
1982,1,5,15,NA,869.2,1.6,270,NA
1982,1,5,18,NA,868.8,0.2,0,NA
1982,1,5,21,NA,868.8,0.7,349,NA
1982,1,6,0,NA,868.1,1.2,270,NA
1982,1,6,3,NA,867.5,NA,NA,NA
1982,1,6,6,NA,867.1,0.9,270,NA
1982,1,6,9,NA,866.6,1.4,233,NA
1982,1,6,12,NA,865.8,1.4,260,NA
1982,1,6,15,-5,864.9,4.7,208,NA
1982,1,6,18,-4.3,864.5,3.8,180,NA
1982,1,6,21,-5.6,864.3,5,159,NA
1982,1,7,0,-8.5,865.3,7.3,90,NA
1982,1,7,3,-9.4,865.8,3.8,141,NA
1982,1,7,6,-11.3,866.3,5.7,NA,NA
1982,1,7,9,-12.5,866.8,6.6,NA,NA
1982,1,7,12,-12.6,867.5,6.4,NA,NA
1982,1,7,15,-12,868.3,8.7,NA,NA
1982,1,7,18,-12.4,868.7,7.6,148,NA
1982,1,7,21,-12.5,869.5,8.3,141,NA
1982,1,8,0,-12.4,870.1,7.1,127,NA
1982,1,8,3,-13.5,870.5,3.8,141,NA
1982,1,8,6,-16.8,870.6,2.8,180,NA
1982,1,8,9,-16.6,870.5,3.8,180,NA
1982,1,8,12,-15.9,870.5,4.7,152,NA
1982,1,8,15,-13.6,870.1,3.1,141,NA
1982,1,8,18,-11.8,869.4,2.8,141,NA
1982,1,8,21,-11.4,869,2.4,135,NA
1982,1,9,0,-12.1,868.2,3.3,163,NA
1982,1,9,3,-12.9,867.4,3.1,180,NA
1982,1,9,6,-14.1,867,2.1,225,NA
1982,1,9,9,NA,866.6,2.4,232,NA
1982,1,9,12,NA,866.3,1.9,240,NA
1982,1,9,15,NA,866.1,1.2,225,NA
1982,1,9,18,NA,866.2,NA,NA,NA
1982,1,9,21,NA,866.5,NA,NA,NA
1982,1,10,0,-8.5,866.5,NA,NA,NA
1982,1,10,3,NA,866.4,1.2,343,NA
1982,1,10,6,NA,866.6,0.9,301,NA
1982,1,10,9,NA,867.3,1.4,309,NA
1982,1,10,12,-5.4,867.6,NA,NA,NA
1982,1,10,15,-5.8,867.9,2.8,219,NA
1982,1,10,18,-7.3,868.3,3.8,198,NA
1982,1,10,21,-9.4,868.3,5.9,180,NA
1982,1,11,0,-10.9,868.4,5.7,172,NA
1982,1,11,3,NA,868.7,2.4,190,NA
1982,1,11,6,NA,867.8,3.1,198,NA
1982,1,11,9,-16.8,866.8,5.4,180,NA
1982,1,11,12,-16.3,865.5,6.1,180,NA
1982,1,11,15,-14.1,864.7,6.8,150,NA
1982,1,11,18,-12.4,864,7.3,145,NA
1982,1,11,21,-11.6,864,6.1,141,NA
1982,1,12,0,-12.4,863.8,2.6,141,NA
1982,1,12,3,-16.4,863.8,2.1,210,NA
1982,1,12,6,NA,864,2.8,221,NA
1982,1,12,9,-14.4,864.3,2.6,200,NA
1982,1,12,12,NA,864.9,0.5,0,NA
1982,1,12,15,NA,865.1,1.6,330,NA
1982,1,12,18,-9.5,865.3,3.5,294,NA
1982,1,12,21,-7.6,865.8,3.5,239,NA
1982,1,13,0,-7.1,865.9,2.4,225,NA
1982,1,13,3,-8,866.2,2.4,225,NA
1982,1,13,6,-10,866.2,3.3,214,NA
1982,1,13,9,NA,866.7,3.5,206,NA
1982,1,13,12,-13.3,867,4.5,150,NA
1982,1,13,15,-11.4,867.2,3.5,180,NA
1982,1,13,18,-10.4,866.7,7.3,159,NA
1982,1,13,21,-10.4,866.7,4.5,141,NA
1982,1,14,0,-11.9,866.4,3.3,180,NA
1982,1,14,3,NA,866.1,2.8,225,NA
1982,1,14,6,NA,865.6,2.8,225,NA
1982,1,14,9,-18.4,865.6,3.1,229,NA
1982,1,14,12,NA,865.6,1.9,224,NA
1982,1,14,15,NA,865.5,2.6,225,NA
1982,1,14,18,NA,865.8,2.1,180,NA
1982,1,14,21,-9.6,866.4,3.3,180,NA
1982,1,15,0,NA,867.1,1.9,180,NA
1982,1,15,3,NA,867.9,2.4,186,NA
1982,1,15,6,NA,868.9,2.4,225,NA
1982,1,15,9,-19.5,869.8,3.1,206,NA
1982,1,15,12,-16.3,870.6,3.1,180,NA
1982,1,15,15,NA,871.1,3.8,180,NA
1982,1,15,18,NA,871.6,4,177,NA
1982,1,15,21,NA,872.1,1.9,206,NA
1982,1,16,0,-10.9,871.8,2.8,225,NA
1982,1,16,3,NA,871.5,2.6,225,NA
1982,1,16,6,NA,871.3,3.5,239,NA
1982,1,16,9,-16.9,871.4,3.1,243,NA
1982,1,16,12,-13.5,871.4,3.5,250,NA
1982,1,16,15,NA,870.8,2.6,270,NA
1982,1,16,18,NA,870,4.3,259,NA
1982,1,16,21,-6,870.1,3.8,206,NA
1982,1,17,0,-8,869.9,4.5,219,NA
1982,1,17,3,NA,869.6,3.3,180,NA
1982,1,17,6,NA,869.8,1.9,225,NA
1982,1,17,9,NA,869,NA,NA,NA
1982,1,17,12,NA,868.4,0.7,162,NA
1982,1,17,15,NA,867.5,NA,45,NA
1982,1,17,18,-10.5,868.2,3.3,90,NA
1982,1,17,21,-11.3,868.5,5,145,NA
1982,1,18,0,-11.5,868.4,5.4,122,NA
1982,1,18,3,-12.6,867.6,7.3,141,NA
1982,1,18,6,-14.4,867.5,NA,141,NA
1982,1,18,9,-16.1,867.7,9.4,141,NA
1982,1,18,12,-15.4,867.7,10.4,149,NA
1982,1,18,15,-13.6,867.7,9.7,117,NA
1982,1,18,18,-13.6,868.1,12.5,141,NA
1982,1,18,21,-13.5,868.9,13,141,NA
1982,1,19,0,-13.3,869.8,12.1,128,NA
1982,1,19,3,-14.1,870.3,12.1,121,NA
1982,1,19,6,-15.9,870.7,11.1,141,NA
1982,1,19,9,-15.9,870.7,10.9,141,NA
1982,1,19,12,-15.9,870.3,9.9,141,NA
1982,1,19,15,-15.4,869.1,11.3,142,NA
1982,1,19,18,-14.5,868.6,9.2,141,NA
1982,1,19,21,-14.4,867.5,9,141,NA
1982,1,20,0,-15.3,867.1,8.7,145,NA
1982,1,20,3,-16.4,866.2,NA,191,NA
1982,1,20,6,-19.3,864.9,3.8,188,NA
1982,1,20,9,-19.9,864,3.8,189,NA
1982,1,20,12,-17.4,863.5,4.3,180,NA
1982,1,20,15,-15,862.9,6.1,162,NA
1982,1,20,18,-13.5,862.4,4.5,180,NA
1982,1,20,21,-13.5,862,6.8,161,NA
1982,1,21,0,-14.1,862.4,3.8,180,NA
1982,1,21,3,-16,862.2,2.6,173,NA
1982,1,21,6,-17.9,862.3,3.3,195,NA
1982,1,21,9,-17.4,862.1,5.7,194,NA
1982,1,21,12,-14.8,861.8,6.4,180,NA
1982,1,21,15,-12.8,861.8,7.1,180,NA
1982,1,21,18,-11.3,861.5,7.8,138,NA
1982,1,21,21,-10.3,861.6,8.7,143,NA
1982,1,22,0,-10.3,862,8,141,NA
1982,1,22,3,-10.5,862.3,7.6,141,NA
1982,1,22,6,-10.9,862.6,5,156,NA
1982,1,22,9,-10,863.6,6.6,141,NA
1982,1,22,12,-9.6,864,4.7,149,NA
1982,1,22,15,-9,864.4,5.7,170,NA
1982,1,22,18,-8.5,865,5.2,142,NA
1982,1,22,21,-7.9,866.2,2.8,141,NA
1982,1,23,0,-8.1,867.1,2.4,141,NA
1982,1,23,3,-8,868.2,NA,NA,NA
1982,1,23,6,-10.5,869.4,NA,141,NA
1982,1,23,9,-12,870.9,NA,169,NA
1982,1,23,12,-11.3,872.1,6.1,149,NA
1982,1,23,15,-10.6,873.3,3.8,146,NA
1982,1,23,18,-10,874.2,2.4,189,NA
1982,1,23,21,NA,NA,NA,NA,NA
1982,1,24,0,NA,NA,NA,NA,NA
1982,1,24,3,NA,875.3,1.2,323,NA
1982,1,24,6,-12,875.4,4.3,309,NA
1982,1,24,9,-11.3,875.4,4.3,NA,NA
1982,1,24,12,-11.5,875.4,3.5,NA,NA
1982,1,24,15,-8.6,875.6,4.5,NA,NA
1982,1,24,18,NA,875.8,5.9,270,NA
1982,1,24,21,-5.6,876.1,6.6,NA,NA
1982,1,25,0,-6,876.3,7.6,NA,NA
1982,1,25,3,-6.5,876.1,9,NA,NA
1982,1,25,6,-7,876.3,5.2,280,NA
1982,1,25,9,-5.6,876.4,8.7,276,NA
1982,1,25,12,-5.5,876.2,8.3,270,NA
1982,1,25,15,-4,876,8.7,270,NA
1982,1,25,18,-2.4,876.4,8.5,270,NA
1982,1,25,21,-1.9,876.3,9.4,271,NA
1982,1,26,0,-2.9,876.4,9,270,NA
1982,1,26,3,-4.4,876,8,270,NA
1982,1,26,6,-5.3,875.6,9.2,270,NA
1982,1,26,9,-3.4,874.9,9.2,253,NA
1982,1,26,12,-3,873.8,9.4,256,NA
1982,1,26,15,-2.6,872.5,9.9,270,NA
1982,1,26,18,-2.6,871.7,11.6,270,NA
1982,1,26,21,-2.9,871.7,13.7,249,NA
1982,1,27,0,-3.9,871.3,10.2,249,NA
1982,1,27,3,-5,870.6,NA,259,NA
1982,1,27,6,-5.6,869.9,7.6,270,NA
1982,1,27,9,-4.9,868.6,5.9,270,NA
1982,1,27,12,-5,867.5,6.1,270,NA
1982,1,27,15,NA,866.2,1.9,321,NA
1982,1,27,18,-2.9,865,3.3,309,NA
1982,1,27,21,-1.5,864.1,3.3,270,NA
1982,1,28,0,-2.6,862.8,3.5,314,NA
1982,1,28,3,-3.5,861.5,3.3,333,NA
1982,1,28,6,-4.6,860.9,6.6,309,NA
1982,1,28,9,-5.4,860.8,4,360,NA
1982,1,28,12,NA,860,8,37,NA
1982,1,28,15,NA,859.7,7.8,42,NA
1982,1,28,18,-11.4,859.2,8.7,28,NA
1982,1,28,21,-11.4,858.9,8.7,45,NA
1982,1,29,0,-12.9,859.8,7.8,90,NA
1982,1,29,3,-14.1,861.1,9.7,100,NA
1982,1,29,6,-14.5,862.8,9,107,NA
1982,1,29,9,-14.9,864.7,5.9,90,NA
1982,1,29,12,NA,NA,NA,NA,NA
1982,1,29,15,-14.4,867.9,7.6,135,NA
1982,1,29,18,-13.6,869,5.9,113,NA
1982,1,29,21,-13.3,869.3,5.2,141,NA
1982,1,30,0,-13.5,869.5,6.8,141,NA
1982,1,30,3,-15,868.8,8.5,141,NA
1982,1,30,6,-15.4,868.8,7.3,153,NA
1982,1,30,9,-16.3,867.8,7.6,149,NA
1982,1,30,12,-14.9,867.4,7.6,141,NA
1982,1,30,15,-14.4,866.5,9.2,141,NA
1982,1,30,18,-13.9,866.4,9.7,149,NA
1982,1,30,21,-14.1,865.9,7.8,141,NA
1982,1,31,0,-13.8,864.8,9.7,159,NA
1982,1,31,3,-16.6,864.4,5.4,180,NA
1982,1,31,6,NA,863.9,NA,188,NA
1982,1,31,9,-19.5,863.1,6.8,184,NA
1982,1,31,12,-17.8,862.9,4.7,186,NA
1982,1,31,15,-15.5,862.1,4.5,215,NA
1982,1,31,18,-14.1,861,4,225,NA
1982,1,31,21,-14.3,859.9,4,243,NA
1982,2,1,0,-13.8,857.7,6.6,225,NA
1982,2,1,3,-14.4,856.9,7.6,222,NA
1982,2,1,6,-16.3,856.7,5,225,NA
1982,2,1,9,-15.3,855.2,5.7,221,NA
1982,2,1,12,-19.3,856.8,8,180,NA
1982,2,1,15,-15.1,858.7,4.5,215,NA
1982,2,1,18,NA,859.4,8.3,225,NA
1982,2,1,21,-10.3,861.2,9.4,184,NA
1982,2,2,0,-9.4,863.9,7.8,180,NA
1982,2,2,3,-9.6,865.5,6.4,180,NA
1982,2,2,6,-9.6,867.5,5.2,169,NA
1982,2,2,9,NA,868.7,2.4,260,NA
1982,2,2,12,NA,870.4,1.9,245,NA
1982,2,2,15,NA,871.1,0.2,0,NA
1982,2,2,18,NA,871.6,2.4,240,NA
1982,2,2,21,-8.6,872.5,2.1,251,NA
