Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2014,10,8,0,NA,NA,NA,NA,NA
2014,10,8,3,NA,NA,NA,NA,NA
2014,10,8,6,NA,NA,NA,NA,NA
2014,10,8,9,NA,NA,NA,NA,NA
2014,10,8,12,NA,NA,NA,NA,NA
2014,10,8,15,NA,NA,NA,NA,NA
2014,10,8,18,NA,NA,NA,NA,NA
2014,10,8,21,-0.8,973.6,NA,NA,94.3
2014,10,9,0,-0.3,975.9,NA,NA,93.7
2014,10,9,3,-0.4,976.6,NA,NA,93.2
2014,10,9,6,-0.4,977.1,NA,NA,90.8
2014,10,9,9,0,978.3,2,292,94.1
2014,10,9,12,0.3,978.9,1.6,345,94.2
2014,10,9,15,0.6,978.9,5.1,307,93.1
2014,10,9,18,0.1,978.8,NA,308,92.3
2014,10,9,21,0.4,979.5,8.7,308,93.6
2014,10,10,0,0.6,978.2,NA,315,93.1
2014,10,10,3,0.4,976.9,NA,318,93.1
2014,10,10,6,0.4,975.4,NA,351,91.4
2014,10,10,9,0.1,974.3,11.8,327,93.3
2014,10,10,12,0.3,973.4,NA,301,94.3
2014,10,10,15,1.3,971.6,NA,226,94.7
2014,10,10,18,0.7,971.3,NA,212,93.1
2014,10,10,21,-0.4,971.5,8.9,202,94.2
2014,10,11,0,-0.7,972.2,NA,198,94.7
2014,10,11,3,-0.7,972.5,NA,NA,94.8
2014,10,11,6,-0.7,971.9,NA,NA,94.4
2014,10,11,9,0.1,971,NA,NA,94.3
2014,10,11,12,0.4,970.4,12.4,319,94.6
2014,10,11,15,0.6,969.8,11.3,337,94.3
2014,10,11,18,0.4,969,NA,324,94.1
2014,10,11,21,0.5,968.3,6.4,332,94.6
2014,10,12,0,0.7,966.5,9.2,328,94.4
2014,10,12,3,0.8,962.9,10.5,338,94.2
2014,10,12,6,0.8,960.3,NA,355,94.3
2014,10,12,9,0.8,959.6,NA,326,94.6
2014,10,12,12,0,961.2,3.8,213,94.6
2014,10,12,15,-0.2,962.4,NA,206,94.4
2014,10,12,18,-1.3,964.2,NA,201,92.8
2014,10,12,21,-1.9,968.7,16.2,196,82.4
2014,10,13,0,-1.9,972.8,NA,212,78.3
2014,10,13,3,-1.6,973.8,NA,195,71.1
2014,10,13,6,-1.5,974.1,NA,252,82.1
2014,10,13,9,-1.1,973,1.6,315,85.9
2014,10,13,12,-0.3,971.5,5.3,354,91
2014,10,13,15,-0.1,968.7,NA,355,92.5
2014,10,13,18,0.3,965.8,8.3,324,89.5
2014,10,13,21,0,961.5,NA,223,93.2
2014,10,14,0,0.3,958.6,NA,NA,94.8
2014,10,14,3,0.4,957.9,NA,NA,94.8
2014,10,14,6,0,953.9,NA,NA,94.9
2014,10,14,9,-0.8,951.1,NA,NA,94.1
2014,10,14,12,-0.9,950.2,NA,NA,93.7
2014,10,14,15,-0.7,951.1,NA,NA,93.9
2014,10,14,18,-0.4,951.5,NA,NA,93.8
2014,10,14,21,-1.4,954.1,NA,NA,93.3
2014,10,15,0,-1.6,955.9,NA,NA,91.6
2014,10,15,3,-1.7,956.8,12.1,200,86.4
2014,10,15,6,-1.8,957.5,15.5,203,87.9
2014,10,15,9,-2.3,959.5,16.6,195,87.4
2014,10,15,12,-2,960.8,NA,196,90.5
2014,10,15,15,-1.8,964.3,NA,196,88.1
2014,10,15,18,-1.5,968.4,22,193,86.4
