Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2014,12,7,0,NA,NA,NA,NA,NA
2014,12,7,3,NA,NA,NA,NA,NA
2014,12,7,6,-10.2,899.7,4.8,24,71.1
2014,12,7,9,NA,899.5,1,45,68.4
2014,12,7,12,NA,899.7,0.3,289,67.9
2014,12,7,15,NA,899.5,1.2,60,68.2
2014,12,7,18,-10,900,2.1,287,48.5
2014,12,7,21,-8.7,900.4,3.9,125,52.5
2014,12,8,0,NA,900.8,0.8,48,43.9
2014,12,8,3,-7.3,900.3,2.1,47,35.8
2014,12,8,6,NA,899.5,1.4,110,26.8
2014,12,8,9,-10.1,898.4,NA,197,56.1
2014,12,8,12,-10.7,897.1,NA,188,72.2
2014,12,8,15,-9.5,894.7,NA,198,66.6
2014,12,8,18,-9.4,895.8,NA,218,75.2
2014,12,8,21,-9.3,895.8,12.2,195,75.5
2014,12,9,0,-8.8,897.3,NA,216,78
2014,12,9,3,-8.4,897.3,NA,186,85.8
2014,12,9,6,-7.5,897.3,5.8,231,72.5
2014,12,9,9,-8.5,897.9,2.2,228,77.5
2014,12,9,12,NA,898.4,1.6,334,75.7
2014,12,9,15,NA,899,0.6,305,68
2014,12,9,18,-7.2,900.3,NA,191,61.4
2014,12,9,21,-6.6,901.9,NA,208,58.5
2014,12,10,0,NA,904.3,NA,141,60.6
2014,12,10,3,NA,905.5,1.6,27,78.6
2014,12,10,6,-7.5,906.1,2.6,5,90.2
2014,12,10,9,NA,906.1,1.4,6,84
2014,12,10,12,NA,905.3,1.4,192,73
2014,12,10,15,NA,904.5,1.8,170,46.4
2014,12,10,18,NA,904.4,1.5,182,43.6
2014,12,10,21,NA,904.5,1.3,48,52
2014,12,11,0,-4.6,904.9,2.8,68,68.5
2014,12,11,3,NA,904.9,1.1,88,78
2014,12,11,6,NA,905.1,1,61,87.7
2014,12,11,9,NA,905.5,1.4,6,90.8
2014,12,11,12,NA,905.7,1.3,5,88.8
2014,12,11,15,-8.9,905.9,NA,NA,88.6
2014,12,11,18,NA,906.3,1.7,354,87.6
2014,12,11,21,NA,907.3,1.4,28,86.9
2014,12,12,0,NA,908,1.9,157,85.7
2014,12,12,3,-5.6,908.9,4.7,154,78.9
2014,12,12,6,NA,909.7,1.5,210,68.8
2014,12,12,9,-8,910.5,3.2,166,68.9
2014,12,12,12,NA,911.6,1.2,195,82.9
2014,12,12,15,-9.4,912,4.6,165,84.5
2014,12,12,18,-9.3,913.2,6,171,85.5
2014,12,12,21,-8.4,914.2,5,164,83.2
2014,12,13,0,-7.4,915,5.9,163,79.7
2014,12,13,3,-7.3,915.3,4.7,145,82.6
2014,12,13,6,-7.1,915.9,2.4,103,82.5
2014,12,13,9,-8.8,916.5,3,158,90.1
2014,12,13,12,NA,916.9,1.5,227,88.3
2014,12,13,15,NA,917.2,1.1,330,87.6
2014,12,13,18,NA,917.9,0.7,21,78.1
2014,12,13,21,NA,918.2,0.7,343,74.6
2014,12,14,0,NA,918.9,1.7,45,70.1
2014,12,14,3,NA,918.8,1.3,89,71
2014,12,14,6,-6.1,919,2.3,31,78.9
2014,12,14,9,NA,919,0.8,132,71.3
2014,12,14,12,NA,918.8,1.3,356,66.1
2014,12,14,15,-6.7,918,2.9,185,60.1
2014,12,14,18,-5.4,917.4,5.4,161,51.3
2014,12,14,21,-4.7,917.1,4,167,50.3
2014,12,15,0,-4.3,916.3,4.9,173,50
2014,12,15,3,-5.7,914.9,8.5,185,50.3
2014,12,15,6,-6.5,914.3,8.7,195,61.8
2014,12,15,9,-7.4,913.3,7,199,71
2014,12,15,12,NA,912.9,NA,319,62
2014,12,15,15,NA,911.8,NA,0,68.1
2014,12,15,18,NA,911.1,1.5,345,67
2014,12,15,21,NA,910.7,1.7,47,61.2
2014,12,16,0,-4.7,910.4,2.2,357,60.5
2014,12,16,3,-5.5,909.6,2.2,12,70.4
2014,12,16,6,-6.1,908.9,2.7,48,76.3
2014,12,16,9,-7,908.3,2,10,82.2
2014,12,16,12,NA,907.7,0.7,161,90.6
2014,12,16,15,NA,907.5,0.5,340,82.2
2014,12,16,18,-7.4,908.2,4.9,209,81.5
2014,12,16,21,-6.1,909.9,NA,210,64.8
