Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2012,12,3,0,NA,NA,NA,NA,NA
2012,12,3,3,-3.3,855.3,9.9,182,68.2
2012,12,3,6,-4.6,854.3,12.9,180,73.2
2012,12,3,9,-7,853.7,13.7,178,79.1
2012,12,3,12,-8.1,853.2,11.8,171,83.4
2012,12,3,15,-7.3,851.8,NA,157,78.3
2012,12,3,18,-5.2,851.4,NA,130,70.4
2012,12,3,21,-3.1,850.4,NA,65,72.4
2012,12,4,0,-4.5,849.2,2.3,99,82.8
2012,12,4,3,NA,848.1,0.9,78,84.4
2012,12,4,6,-6.7,847.2,5.1,36,92.4
2012,12,4,9,-7.8,846.7,4.9,35,91.5
2012,12,4,12,NA,846.3,1.6,217,90.5
2012,12,4,15,-10.1,845.9,4,163,89.9
2012,12,4,18,-10.6,845.2,NA,116,89.4
2012,12,4,21,-10.5,845.2,3.4,158,89
2012,12,5,0,-11,845.2,6.9,130,89.4
2012,12,5,3,-12,844.6,4.8,162,89.7
2012,12,5,6,-12.8,845.5,4.7,121,89.5
2012,12,5,9,-13,846.2,NA,115,80.1
2012,12,5,12,-13.2,847.2,NA,130,72.7
2012,12,5,15,-10.8,847.4,9.4,141,60.1
2012,12,5,18,-11.9,846.3,NA,169,77.6
2012,12,5,21,-11.7,846.6,NA,181,78.3
2012,12,6,0,-11.8,845.5,18.8,180,81
2012,12,6,3,-11.3,846.2,19.2,184,74.8
2012,12,6,6,-10.5,846.9,17.5,180,63.9
2012,12,6,9,-10.1,848,14.7,187,59
2012,12,6,12,-9.6,848.3,NA,185,51.4
2012,12,6,15,-7.7,847.7,NA,183,45.1
2012,12,6,18,-4.9,847.3,8.8,182,62.2
2012,12,6,21,-5.1,847.6,NA,184,74.6
2012,12,7,0,-7.2,847.2,NA,190,71.8
2012,12,7,3,-8.5,847.7,7.5,180,66.4
2012,12,7,6,NA,848.6,NA,40,77
2012,12,7,9,-11.9,849.5,2.7,332,89.2
2012,12,7,12,NA,850,1,124,88.7
2012,12,7,15,NA,850.4,0.4,55,88
2012,12,7,18,-11.1,850.8,2.2,347,85.4
2012,12,7,21,NA,851.2,0.5,87,82.4
2012,12,8,0,NA,851.4,1.7,4,79.1
2012,12,8,3,-11.1,851.4,2.5,348,80.6
2012,12,8,6,NA,851.9,0.7,111,89
2012,12,8,9,-13,852.3,2,154,88.7
2012,12,8,12,-14.5,852,NA,171,88.9
2012,12,8,15,-11,852.2,NA,238,79.5
2012,12,8,18,NA,851.7,NA,180,75.2
2012,12,8,21,-8,851.9,NA,181,74.4
2012,12,9,0,-8.2,851.6,15.1,178,73.7
2012,12,9,3,-10.2,850.9,15.7,176,77
2012,12,9,6,-11.9,850.3,18.3,184,77.4
2012,12,9,9,-13.3,849,17.7,184,80.2
2012,12,9,12,-12.8,847.6,21.6,181,79
2012,12,9,15,-11.9,846.7,19.6,182,79.3
2012,12,9,18,-10.8,846.5,19.7,182,78.6
2012,12,9,21,-9.7,846.7,18.4,179,77.7
2012,12,10,0,-8.6,846.9,15.7,176,73.3
2012,12,10,3,-10,847,13.5,175,75.9
2012,12,10,6,-10.2,845.9,17.3,180,74
2012,12,10,9,-11,846.1,16,177,75.8
2012,12,10,12,-12.2,845.4,17.6,179,77.1
2012,12,10,15,-12.5,844.1,NA,175,74.1
