Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2009,12,22,0,NA,NA,NA,NA,NA
2009,12,22,3,NA,NA,NA,NA,NA
2009,12,22,6,NA,NA,NA,NA,NA
2009,12,22,9,NA,NA,NA,NA,NA
2009,12,22,12,NA,NA,NA,NA,NA
2009,12,22,15,NA,NA,NA,NA,NA
2009,12,22,18,NA,NA,NA,NA,NA
2009,12,22,21,-4.8,859.9,10.3,44,77.6
2009,12,23,0,-7.1,858.9,11.5,46,79.7
2009,12,23,3,-7.4,859.1,12,42,78.8
2009,12,23,6,-7.5,858.5,13.5,44,77.7
2009,12,23,9,-6.9,858.5,12.7,42,75.2
2009,12,23,12,-6,858.3,14.3,43,74.5
2009,12,23,15,-4.2,859.1,9.5,21,72.9
2009,12,23,18,-4.1,859,10.5,30,74.9
2009,12,23,21,-5.5,859.5,NA,359,79.1
2009,12,24,0,-7.6,859.7,9.9,39,78.9
2009,12,24,3,-8.2,859.3,NA,42,75.7
2009,12,24,6,-8.4,860.5,NA,56,76.5
2009,12,24,9,-7.5,860.7,8.7,42,77.5
2009,12,24,12,-7.4,861.2,7,48,78.1
2009,12,24,15,-5.4,861.7,7.2,27,70.1
2009,12,24,18,-4.3,862.4,5.3,11,64.3
2009,12,24,21,-4.8,862.8,6.1,23,74.7
2009,12,25,0,-7.5,863,6.1,29,75.3
2009,12,25,3,NA,862.6,9.5,44,69.8
2009,12,25,6,-11.6,862.2,NA,48,72.2
2009,12,25,9,-9.9,861.6,14.1,57,74.2
2009,12,25,12,-8.2,862.5,9.4,55,75.1
2009,12,25,15,-6.1,862.1,14,49,76.9
2009,12,25,18,-5.5,862.4,13.8,51,78.3
2009,12,25,21,-6.3,861.8,14,56,80.2
2009,12,26,0,-7.4,862.2,16.2,48,81.2
2009,12,26,3,-8.4,862.2,17.2,51,81.1
2009,12,26,6,-9,862.4,16.2,54,78.4
2009,12,26,9,-8.8,862.7,19,55,79
2009,12,26,12,-7.8,863.3,18.9,39,79.3
2009,12,26,15,-6,864.5,NA,39,74.9
2009,12,26,18,-5.6,865.2,14.4,33,74.3
2009,12,26,21,-5.7,866.2,9.5,29,72.2
2009,12,27,0,-8.1,866.6,NA,38,77.3
2009,12,27,3,-10.7,867,9.3,36,72.4
2009,12,27,6,-11.6,867.2,5.9,40,70.6
2009,12,27,9,-11.7,867.6,5.9,38,70.1
2009,12,27,12,-8.9,868.1,4.9,23,69.6
2009,12,27,15,-6.7,868.1,3.3,25,61
2009,12,27,18,-6.2,868.3,4.1,14,62.2
2009,12,27,21,-6,868.9,2.1,7,67.4
2009,12,28,0,-6.8,869.2,2.5,2,70.9
2009,12,28,3,-7.7,869.4,2.1,10,85.7
2009,12,28,6,-8.3,869.4,3.9,8,69.8
2009,12,28,9,-9.3,870.1,2.4,352,69.5
2009,12,28,12,-9.4,870.4,3.4,9,74.3
2009,12,28,15,-8.2,870.4,5.4,6,77.9
2009,12,28,18,-7.6,870.5,NA,231,89.2
2009,12,28,21,-7.8,870.5,NA,5,90.2
2009,12,29,0,-8.4,870.3,NA,353,90.9
2009,12,29,3,-8.8,869.7,8.6,6,91.1
2009,12,29,6,-9.1,869.6,6,10,90.8
2009,12,29,9,-9.2,869.7,6,20,90.5
2009,12,29,12,-7.8,869.7,3.9,28,90.4
2009,12,29,15,-6.4,869.8,4.3,13,89.4
2009,12,29,18,-6.9,869.9,5.3,7,89.2
2009,12,29,21,NA,870.8,1.8,311,90
2009,12,30,0,-7.3,870.9,2.7,340,91.2
2009,12,30,3,-7.7,870.7,3.8,353,91.7
2009,12,30,6,-7.6,870.7,2.8,322,91.8
2009,12,30,9,-7.8,870.8,4.3,252,91
2009,12,30,12,-5.6,870.6,4.5,275,88.5
2009,12,30,15,-7.1,870.3,4.7,281,88.9
2009,12,30,18,NA,870.1,1.6,210,88.3
2009,12,30,21,-7.1,870.3,NA,309,90.5
2009,12,31,0,-8,869.9,NA,316,91.3
2009,12,31,3,-9.1,870,7.2,313,91.1
2009,12,31,6,-10.9,869.7,5.5,336,90.6
2009,12,31,9,-13,869.7,5.4,61,84.4
2009,12,31,12,NA,869.6,0.9,135,75.7
2009,12,31,15,-8.7,869,3.4,155,69.7
2009,12,31,18,-8.2,868.9,NA,167,71.7
2009,12,31,21,-8.5,868.6,5.7,170,67.5
2010,1,1,0,-8.8,868.1,2.2,94,62.2
2010,1,1,3,-8.1,867.5,2.4,11,51.8
2010,1,1,6,-9.1,866.9,4.5,3,52.7
2010,1,1,9,-11.4,866.4,7,9,82.9
2010,1,1,12,-9.3,866,8.3,11,89.7
2010,1,1,15,-9.1,865.3,11.1,9,89.4
2010,1,1,18,-8.9,864.7,10.5,3,88.9
2010,1,1,21,-8.9,864.4,12.4,9,90.1
2010,1,2,0,-9,864,14,11,90.9
2010,1,2,3,-9.2,863.6,11.9,11,91.4
2010,1,2,6,-9.4,863.8,10.5,17,91.1
2010,1,2,9,-8.7,863.7,10.5,13,91.2
2010,1,2,12,-8.3,863.6,11.1,7,90.7
2010,1,2,15,-8,863.6,13.7,13,90.2
2010,1,2,18,-7.7,864.4,11.8,20,89.9
2010,1,2,21,-7.6,864.6,12.8,11,91
2010,1,3,0,-7.8,866.2,11,13,91.7
2010,1,3,3,-8,867.2,10.3,32,91.9
2010,1,3,6,-8.2,867.8,10.5,24,91.9
2010,1,3,9,-7.9,868.7,10.4,25,91.7
2010,1,3,12,-7.5,869.6,NA,14,91.4
2010,1,3,15,-7,869.7,NA,NA,90.9
2010,1,3,18,-7.3,869.7,4.9,351,90
2010,1,3,21,-7.5,870.5,3.9,302,91.1
2010,1,4,0,-7.5,870.3,NA,NA,91.8
2010,1,4,3,-8.3,870.2,NA,NA,91.8
2010,1,4,6,-9.5,869.8,NA,NA,91.2
2010,1,4,9,-11.7,869,2.1,87,88.9
2010,1,4,12,-8.7,867.6,NA,37,89.8
2010,1,4,15,-6.9,867,NA,29,87.7
2010,1,4,18,-6.5,865.6,11.8,62,86.1
2010,1,4,21,-7.1,866.2,NA,44,82.5
2010,1,5,0,-8.6,866.6,15.4,47,79.6
2010,1,5,3,-9.2,866.8,15.4,40,81.2
2010,1,5,6,-9.1,867.3,13.3,47,80
2010,1,5,9,-7.9,868.8,NA,47,79.8
2010,1,5,12,-7.4,869.2,13.5,44,80.2
2010,1,5,15,-5.7,869.8,11.1,50,76.5
2010,1,5,18,-5.7,870.2,13.5,37,73.1
2010,1,5,21,-6.2,871.7,9,30,76.1
2010,1,6,0,-8.9,872.2,10.8,46,73.8
2010,1,6,3,NA,872.7,10.1,39,72.7
2010,1,6,6,-11.4,872.8,11.2,47,71.3
2010,1,6,9,-11.2,873.3,11.3,44,69.9
2010,1,6,12,-8.5,873.3,12.4,38,67.7
2010,1,6,15,-7.3,874.4,NA,5,67
2010,1,6,18,-6.6,874.8,NA,4,69
2010,1,6,21,-6.5,875.3,5.2,11,73.2
2010,1,7,0,-7.6,875,6.8,4,77.9
2010,1,7,3,-8.1,875.6,4.1,8,73.2
2010,1,7,6,-7.5,875.5,3.6,16,74.1
2010,1,7,9,-9,875.9,3.3,23,69
2010,1,7,12,-7.6,875.6,5.2,38,70.8
2010,1,7,15,-4.6,875.6,2.2,22,66.7
2010,1,7,18,-3.9,875.3,3.6,2,64.2
2010,1,7,21,NA,875.7,0.5,191,53.8
2010,1,8,0,NA,875.7,0.8,89,65
2010,1,8,3,-6.1,875.3,NA,25,64.8
2010,1,8,6,-8.7,875.4,NA,32,61.5
