Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1986,3,1,0,NA,NA,NA,NA,NA
1986,3,1,3,NA,NA,NA,NA,NA
1986,3,1,6,NA,NA,NA,NA,NA
1986,3,1,9,NA,NA,NA,NA,NA
1986,3,1,12,NA,NA,NA,NA,NA
1986,3,1,15,NA,NA,NA,NA,NA
1986,3,1,18,NA,NA,NA,NA,NA
1986,3,1,21,NA,NA,NA,NA,NA
1986,3,2,0,NA,NA,NA,NA,NA
1986,3,2,3,NA,NA,NA,NA,NA
1986,3,2,6,NA,NA,NA,NA,NA
1986,3,2,9,NA,NA,NA,NA,NA
1986,3,2,12,NA,NA,NA,NA,NA
1986,3,2,15,NA,NA,NA,NA,NA
1986,3,2,18,NA,NA,NA,NA,NA
1986,3,2,21,NA,NA,NA,NA,NA
1986,3,3,0,NA,NA,NA,NA,NA
1986,3,3,3,NA,NA,NA,NA,NA
1986,3,3,6,NA,NA,NA,NA,NA
1986,3,3,9,NA,NA,NA,NA,NA
1986,3,3,12,NA,NA,NA,NA,NA
1986,3,3,15,NA,NA,NA,NA,NA
1986,3,3,18,NA,NA,NA,NA,NA
1986,3,3,21,NA,NA,NA,NA,NA
1986,3,4,0,NA,NA,NA,NA,NA
1986,3,4,3,NA,NA,NA,NA,NA
1986,3,4,6,-4.7,921.3,2.5,331,NA
1986,3,4,9,-4.6,921.7,5.7,316,NA
1986,3,4,12,-4.4,922,5.7,322,NA
1986,3,4,15,-4.1,922.7,3.8,279,NA
1986,3,4,18,-4.2,923.1,4.2,244,NA
1986,3,4,21,-5.9,924,5.7,261,NA
1986,3,5,0,-6.5,924.6,6,303,NA
1986,3,5,3,-6.9,924.8,4,313,NA
1986,3,5,6,-7.6,924.7,5,329,NA
1986,3,5,9,-7.6,924.2,6.5,302,NA
1986,3,5,12,-7.6,923.4,5.2,317,NA
1986,3,5,15,-6.6,922.3,5.2,298,NA
1986,3,5,18,-7,921,7.5,320,NA
1986,3,5,21,-8,919.5,7.5,326,NA
1986,3,6,0,-9.4,917.9,8.8,324,NA
1986,3,6,3,-11.1,916.7,NA,260,NA
1986,3,6,6,NA,915.1,NA,222,NA
1986,3,6,9,NA,914,2,248,NA
1986,3,6,12,NA,911.3,0.5,292,NA
1986,3,6,15,NA,910.1,0.3,0,NA
1986,3,6,18,-12.4,908,2,219,NA
1986,3,6,21,-10.2,906.7,0.3,0,NA
1986,3,7,0,-12.4,905.1,NA,317,NA
1986,3,7,3,-13.1,903.9,NA,322,NA
1986,3,7,6,-13.6,902.2,9.2,324,NA
1986,3,7,9,-13.5,901.2,7.7,329,NA
1986,3,7,12,-12,899.6,7.2,313,NA
1986,3,7,15,-11.4,898.3,7.5,331,NA
1986,3,7,18,-11.2,897,5.7,324,NA
1986,3,7,21,-11.7,895.2,5,327,NA
1986,3,8,0,-14.5,893.9,4.7,319,NA
1986,3,8,3,-14.1,891.6,6.3,320,NA
1986,3,8,6,-17.1,889.6,9.5,324,NA
1986,3,8,9,-16.2,888.3,NA,334,NA
1986,3,8,12,-16.5,888.5,8.2,316,NA
1986,3,8,15,-16.7,889.2,7,310,NA
1986,3,8,18,-17.1,889.6,11.5,322,NA
1986,3,8,21,-17.5,891.3,9,320,NA
1986,3,9,0,-19,893.3,10,319,NA
1986,3,9,3,-20.7,894.3,10.7,327,NA
1986,3,9,6,-20.5,895.9,6.3,286,NA
1986,3,9,9,-21.1,896.9,NA,233,NA
1986,3,9,12,-19.9,897.4,NA,0,NA
1986,3,9,15,-18.9,897.4,1.5,295,NA
