Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2014,1,17,0,NA,NA,NA,NA,NA
2014,1,17,3,NA,NA,NA,NA,NA
2014,1,17,6,NA,NA,NA,NA,NA
2014,1,17,9,NA,NA,NA,NA,NA
2014,1,17,12,NA,NA,NA,NA,NA
2014,1,17,15,NA,NA,NA,NA,NA
2014,1,17,18,NA,NA,NA,NA,NA
2014,1,17,21,-12.1,853.6,8.9,112,69.4
2014,1,18,0,-13.6,851.9,9.2,108,70.1
2014,1,18,3,-14.1,850.4,NA,106,65
2014,1,18,6,NA,848.4,NA,151,49.3
2014,1,18,9,-12.4,846.5,2.9,97,64.8
2014,1,18,12,-11.9,844.8,4.1,81,63.6
2014,1,18,15,-12.8,843.3,3.4,86,64.4
2014,1,18,18,-12.9,842.2,3.7,93,65.2
2014,1,18,21,-13.8,842,2.6,11,77.5
2014,1,19,0,-15.2,841.1,5.7,89,74.6
2014,1,19,3,-15.9,841,5.9,69,73.7
2014,1,19,6,-16.2,841.8,3.9,341,87.5
2014,1,19,9,-14.8,842.4,3,2,83.4
2014,1,19,12,-14.6,842.7,NA,101,84.9
2014,1,19,15,-13.9,843.6,NA,81,83.8
2014,1,19,18,-12.8,844.6,6.8,48,81.1
2014,1,19,21,-12.9,845.7,5.5,52,83.3
2014,1,20,0,-13.1,846.9,4.7,321,85.2
2014,1,20,3,-13.3,848.1,4.9,43,84.8
2014,1,20,6,-13.2,849.4,5.6,352,84.3
2014,1,20,9,-13.2,850.8,3.6,42,83.8
2014,1,20,12,-12.7,850.7,7.8,100,82.3
2014,1,20,15,-12.1,850.5,NA,85,81.5
2014,1,20,18,-11.4,850.5,10.9,86,82.2
2014,1,20,21,-11.6,849.8,12.2,98,83
2014,1,21,0,-12.3,849.4,11.6,94,84.8
2014,1,21,3,-13.1,848.4,11.5,100,84.7
2014,1,21,6,-13.5,847.5,13.3,95,84.2
2014,1,21,9,-13,847.1,12.6,91,83.4
2014,1,21,12,-12.6,846.3,12.2,97,81
2014,1,21,15,-12,845.3,11.4,90,81
2014,1,21,18,-12,844.2,11,90,83.4
2014,1,21,21,-12.3,843.8,9.8,90,83.9
2014,1,22,0,-11.7,843.1,9.2,85,86.9
2014,1,22,3,-11.6,843.1,8.3,80,86.8
2014,1,22,6,-12.6,842.7,11.4,85,86.2
2014,1,22,9,-11.7,842.7,NA,88,85.3
2014,1,22,12,-11.4,843,14.4,87,85.8
2014,1,22,15,-11.3,842.6,14.6,89,82.9
2014,1,22,18,-11.2,842.8,13.4,86,81.9
2014,1,22,21,-10.5,843.4,11,70,85.5
2014,1,23,0,-10.9,843.7,13.2,83,86
2014,1,23,3,-11.8,843.7,12.6,80,86.6
2014,1,23,6,-13.3,843.6,16.8,77,85.8
2014,1,23,9,-14.2,846,NA,84,82.4
2014,1,23,12,-12.3,845.4,14.4,83,85.6
2014,1,23,15,-11.2,846.4,11.9,67,84.6
2014,1,23,18,-11.1,846.7,13.9,78,85.2
2014,1,23,21,-10.9,848.5,NA,27,84
2014,1,24,0,-12.3,849.8,NA,59,86.1
2014,1,24,3,-12.4,849.7,4.3,57,85.5
2014,1,24,6,-14.1,849.1,NA,87,85.4
2014,1,24,9,-12.8,849.1,7.3,64,84.8
2014,1,24,12,-12,848.6,12.2,83,85.8
2014,1,24,15,-10.3,849.5,9.6,28,84.4
2014,1,24,18,-10.2,850.5,11,40,79.7
2014,1,24,21,-10.8,850.4,11.7,74,84.6
2014,1,25,0,-12.4,850,13,84,86.1
2014,1,25,3,-13.3,849,15.9,95,85.9
2014,1,25,6,-14.4,848.9,15.3,93,85.1
2014,1,25,9,-14.4,849.2,15.1,95,83.5
2014,1,25,12,-14.4,848.6,16.7,97,81.8
2014,1,25,15,-14.5,848,16.9,96,76.8
2014,1,25,18,-14.6,847.3,16.5,92,73.5
2014,1,25,21,-15.1,847.3,13.4,93,75.3
2014,1,26,0,-16.3,846.8,13.6,99,72.1
2014,1,26,3,-17,846.4,13.7,102,73.4
2014,1,26,6,-17.2,846.5,10.3,107,78.6
2014,1,26,9,-16.9,846.8,10.7,97,79.5
2014,1,26,12,-15.1,847,10.2,92,80.8
2014,1,26,15,-14.1,847.2,8.5,88,80.8
2014,1,26,18,-13.9,847.3,8.8,93,81
2014,1,26,21,-13.3,847.1,9.3,83,84.7
2014,1,27,0,-13.2,847.6,6.5,65,85.5
2014,1,27,3,-13.4,847.6,5.5,352,85.9
2014,1,27,6,-16.1,847.7,3.5,74,82.5
2014,1,27,9,-16.7,847.4,7.2,94,83.1
2014,1,27,12,-14.1,846.5,7.9,92,83.3
2014,1,27,15,-12.9,845.9,9.7,67,82.6
2014,1,27,18,-12.9,845.2,8.6,61,84.6
2014,1,27,21,-12.4,845.1,6.8,41,85.9
2014,1,28,0,-12.9,844.3,7.2,50,85.3
2014,1,28,3,-13.9,843.6,6.9,57,85.1
2014,1,28,6,-14,843.4,4.4,4,85.7
2014,1,28,9,-14.8,843.7,3.7,306,84.9
2014,1,28,12,-13.8,843.8,4.4,320,83.8
2014,1,28,15,NA,843.9,1.6,314,83.5
2014,1,28,18,NA,843.9,1.3,295,76.8
2014,1,28,21,-14.9,844,3.4,51,74.4
2014,1,29,0,NA,844.1,0.6,359,83.2
2014,1,29,3,-16.8,844,4.2,95,86.6
2014,1,29,6,-20.3,844.6,4.7,93,82.8
2014,1,29,9,-19.8,845.2,5.4,98,80.7
2014,1,29,12,-18.7,845.5,6,98,81
2014,1,29,15,-16.7,845.7,6.8,96,80
2014,1,29,18,-16.9,846.3,5.1,93,80.5
2014,1,29,21,-18,846.8,4.3,82,81
2014,1,30,0,-20,847.4,2.1,332,83.5
2014,1,30,3,-17.7,847.4,3.2,111,84.2
2014,1,30,6,-17.2,847.6,4.9,57,83.6
2014,1,30,9,-18.7,847.5,7.3,93,81.4
2014,1,30,12,-17.5,847.3,8.1,90,80.5
2014,1,30,15,-16.5,847.3,6.8,86,81
2014,1,30,18,-15.3,846.8,9.2,78,82.6
2014,1,30,21,-16.1,847.1,5.5,56,84
2014,1,31,0,-18.1,846.9,6.9,84,84.2
2014,1,31,3,-18.2,846.7,10.3,91,83.6
2014,1,31,6,-17.9,846.2,11.6,93,82.2
2014,1,31,9,-17.8,845.7,13.7,92,78.8
2014,1,31,12,-17.4,845.5,16.1,90,76.4
2014,1,31,15,-17.8,845.6,14.2,96,76.5
2014,1,31,18,-17.2,846.2,NA,85,79.4
2014,1,31,21,-17.2,846.8,NA,80,82.7
2014,2,1,0,-17.2,847.3,NA,74,84.3
2014,2,1,3,-18.2,847.5,3.5,71,84
2014,2,1,6,-19.2,847.8,3.2,79,82.2
2014,2,1,9,-18.5,848.1,4.2,58,82.1
2014,2,1,12,-16.9,848.4,6,55,80.5
2014,2,1,15,-16.5,848.5,5.2,67,81.8
2014,2,1,18,-15.4,848.1,5.3,53,83.2
2014,2,1,21,-16.1,848.1,4.5,32,83
2014,2,2,0,-16.8,848.5,6,334,83.6
