Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1998,12,1,0,-4.8,980.3,3.7,302,60
1998,12,1,3,-4.9,980.1,5.3,188,52
1998,12,1,6,-5,978.6,3.9,302,84
1998,12,1,9,-4.4,977.6,NA,212,76
1998,12,1,12,NA,981.5,NA,192,91
1998,12,1,15,NA,983.7,NA,237,63
1998,12,1,18,NA,984.8,0.6,215,23
1998,12,1,21,NA,984.4,0.6,33,27
1998,12,2,0,-12.5,985.7,2.7,254,42
1998,12,2,3,-10.8,986.2,5.1,187,43
1998,12,2,6,NA,987.4,1.6,215,45
1998,12,2,9,NA,987.4,1.6,345,53
1998,12,2,12,NA,986.9,1.8,209,54
1998,12,2,15,-13.4,986,2.5,281,68
1998,12,2,18,-13.1,985.8,2.5,277,61
1998,12,2,21,-10.6,985.6,2.7,289,65
1998,12,3,0,NA,985.1,1.9,293,51
1998,12,3,3,-6.8,983.9,3.7,255,40
1998,12,3,6,-6,983.1,4.9,251,57
1998,12,3,9,-7.2,982.2,4.7,248,65
1998,12,3,12,-8.9,982,3.3,315,75
1998,12,3,15,-10.8,981.1,2.9,296,91
1998,12,3,18,-10.4,980.9,2.3,338,73
1998,12,3,21,-6.4,980.9,2.3,345,58
1998,12,4,0,NA,980.9,1.4,61,50
1998,12,4,3,NA,980,0.6,135,14
1998,12,4,6,-4,978.9,2.3,164,55
1998,12,4,9,NA,978.4,3.1,137,79
1998,12,4,12,NA,978.6,2.5,184,82
1998,12,4,15,NA,978.7,1.4,293,83
1998,12,4,18,NA,979.7,1.4,295,63
1998,12,4,21,NA,980.4,1.4,212,36
1998,12,5,0,NA,980.6,0.4,140,21
1998,12,5,3,-3.4,980.2,2.1,119,37
1998,12,5,6,NA,980.3,1.4,343,55
1998,12,5,9,NA,980.2,2.7,306,90
1998,12,5,12,NA,980.5,0.8,345,90
1998,12,5,15,-10.1,980.1,2.1,326,NA
1998,12,5,18,-8,980.4,2.1,277,56
1998,12,5,21,NA,980.2,1.9,306,72
1998,12,6,0,NA,979.7,1.6,345,42
1998,12,6,3,NA,978.5,0.6,5,21
1998,12,6,6,NA,977.4,0.6,312,50
1998,12,6,9,NA,976.6,2.3,317,80
1998,12,6,12,NA,975.7,1,267,75
1998,12,6,15,NA,974.9,0.6,345,77
1998,12,6,18,NA,974.7,1.8,338,94
1998,12,6,21,NA,974.3,2.9,336,74
1998,12,7,0,NA,973.8,2.7,277,45
1998,12,7,3,-0.5,973.4,2.3,331,50
1998,12,7,6,NA,973.7,1.6,345,65
1998,12,7,9,NA,974,1.4,49,75
1998,12,7,12,NA,974.3,3.9,137,93
1998,12,7,15,NA,974.7,5.8,144,99
1998,12,7,18,-8.8,975.6,2.3,77,79
