Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1989,3,1,0,-10.6,974.6,7,90,NA
1989,3,1,3,NA,NA,NA,NA,NA
1989,3,1,6,-9.4,976.7,8,67.5,NA
1989,3,1,9,NA,NA,NA,NA,NA
1989,3,1,12,-8.8,979.5,6,90,NA
1989,3,1,15,NA,NA,NA,NA,NA
1989,3,1,18,-10.4,980.7,10,112.5,NA
1989,3,1,21,NA,NA,NA,NA,NA
1989,3,2,0,-10.8,983.1,10,112.5,NA
1989,3,2,3,NA,NA,NA,NA,NA
1989,3,2,6,-9.9,982.5,6,90,NA
1989,3,2,9,NA,NA,NA,NA,NA
1989,3,2,12,-9.2,980.7,3,135,NA
1989,3,2,15,NA,NA,NA,NA,NA
1989,3,2,18,-10.6,980.7,3,180,NA
1989,3,2,21,NA,NA,NA,NA,NA
1989,3,3,0,-12.2,980.4,4,180,NA
1989,3,3,3,NA,NA,NA,NA,NA
1989,3,3,6,-12.5,979.3,3,270,NA
1989,3,3,9,NA,NA,NA,NA,NA
1989,3,3,12,-10.8,978.2,3,45,NA
1989,3,3,15,NA,NA,NA,NA,NA
1989,3,3,18,-13.6,978.6,2,270,NA
1989,3,3,21,NA,NA,NA,NA,NA
1989,3,4,0,-13,978.2,3,225,NA
1989,3,4,3,NA,NA,NA,NA,NA
1989,3,4,6,-12.5,979.9,2,292.5,NA
1989,3,4,9,NA,NA,NA,NA,NA
1989,3,4,12,-10.6,982,2,225,NA
1989,3,4,15,NA,NA,NA,NA,NA
1989,3,4,18,-10.8,983.9,NA,67.5,NA
1989,3,4,21,NA,NA,NA,NA,NA
1989,3,5,0,-11.6,986,NA,247.5,NA
1989,3,5,3,NA,NA,NA,NA,NA
1989,3,5,6,-9.3,985.6,NA,112.5,NA
1989,3,5,9,NA,NA,NA,NA,NA
1989,3,5,12,-7.9,985.7,NA,90,NA
1989,3,5,15,NA,NA,NA,NA,NA
1989,3,5,18,-10.3,985.3,7,90,NA
1989,3,5,21,NA,NA,NA,NA,NA
1989,3,6,0,-11.8,985.8,NA,112.5,NA
1989,3,6,3,NA,NA,NA,NA,NA
1989,3,6,6,-11,985.8,10,NA,NA
1989,3,6,9,NA,NA,NA,NA,NA
1989,3,6,12,-10.4,987.9,7,NA,NA
1989,3,6,15,NA,NA,NA,NA,NA
1989,3,6,18,-12.9,991,11,NA,NA
1989,3,6,21,NA,NA,NA,NA,NA
1989,3,7,0,-14.6,995.5,13,NA,NA
1989,3,7,3,NA,NA,NA,NA,NA
1989,3,7,6,-13,996.3,12,90,NA
1989,3,7,9,NA,NA,NA,NA,NA
1989,3,7,12,-11.5,994,NA,67.5,NA
1989,3,7,15,NA,NA,NA,NA,NA
1989,3,7,18,-14,993.4,NA,112.5,NA
1989,3,7,21,NA,NA,NA,NA,NA
1989,3,8,0,-14.2,989.4,12,112.5,NA
1989,3,8,3,NA,NA,NA,NA,NA
1989,3,8,6,-11.1,985.1,NA,90,NA
1989,3,8,9,NA,NA,NA,NA,NA
1989,3,8,12,-11.2,979.5,4,247.5,NA
1989,3,8,15,NA,NA,NA,NA,NA
1989,3,8,18,-11.1,977.3,8,112.5,NA
1989,3,8,21,NA,NA,NA,NA,NA
1989,3,9,0,-10.2,977.1,NA,90,NA
1989,3,9,3,NA,NA,NA,NA,NA
1989,3,9,6,-8.7,976.2,NA,90,NA
1989,3,9,9,NA,NA,NA,NA,NA
1989,3,9,12,-7.8,972.8,7,67.5,NA
1989,3,9,15,NA,NA,NA,NA,NA
1989,3,9,18,-8,970.4,NA,90,NA
1989,3,9,21,NA,NA,NA,NA,NA
1989,3,10,0,-8.4,968.8,14,NA,NA
1989,3,10,3,NA,NA,NA,NA,NA
1989,3,10,6,-8.2,969.6,11,NA,NA
1989,3,10,9,NA,NA,NA,NA,NA
1989,3,10,12,-8,970.5,10,NA,NA
1989,3,10,15,NA,NA,NA,NA,NA
1989,3,10,18,-10.2,971.9,9,112.5,NA
1989,3,10,21,NA,NA,NA,NA,NA
1989,3,11,0,-11.2,975.3,10,112.5,NA
1989,3,11,3,NA,NA,NA,NA,NA
1989,3,11,6,-10.3,977.3,8,90,NA
1989,3,11,9,NA,NA,NA,NA,NA
1989,3,11,12,-9.6,982.1,4,157.5,NA
1989,3,11,15,NA,NA,NA,NA,NA
1989,3,11,18,-9,986,4,90,NA
1989,3,11,21,NA,NA,NA,NA,NA
1989,3,12,0,-9.4,988.4,8,90,NA
1989,3,12,3,NA,NA,NA,NA,NA
1989,3,12,6,-7.6,988.1,8,112.5,NA
1989,3,12,9,NA,NA,NA,NA,NA
1989,3,12,12,-6,987,7,112.5,NA
1989,3,12,15,NA,NA,NA,NA,NA
1989,3,12,18,-6.5,985.8,3,157.5,NA
1989,3,12,21,NA,NA,NA,NA,NA
1989,3,13,0,-6.2,983.8,NA,90,NA
1989,3,13,3,NA,NA,NA,NA,NA
1989,3,13,6,-5.5,984.8,9,NA,NA
1989,3,13,9,NA,NA,NA,NA,NA
1989,3,13,12,-6.1,987.9,8,NA,NA
1989,3,13,15,NA,NA,NA,NA,NA
1989,3,13,18,-8.1,990.2,7,NA,NA
1989,3,13,21,NA,NA,NA,NA,NA
1989,3,14,0,-7.8,992,7,112.5,NA
1989,3,14,3,NA,NA,NA,NA,NA
1989,3,14,6,-7.9,993.5,5,90,NA
1989,3,14,9,NA,NA,NA,NA,NA
1989,3,14,12,-8.5,993.1,8,NA,NA
1989,3,14,15,NA,NA,NA,NA,NA
1989,3,14,18,-10.6,992.3,10,NA,NA
1989,3,14,21,NA,NA,NA,NA,NA
1989,3,15,0,-13,990.9,10,NA,NA
1989,3,15,3,NA,NA,NA,NA,NA
1989,3,15,6,-12.1,990.2,12,NA,NA
1989,3,15,9,NA,NA,NA,NA,NA
1989,3,15,12,-13,989.4,10,NA,NA
1989,3,15,15,NA,NA,NA,NA,NA
1989,3,15,18,-15.3,988.2,11,112.5,NA
1989,3,15,21,NA,NA,NA,NA,NA
1989,3,16,0,-17.4,988.3,13,NA,NA
1989,3,16,3,NA,NA,NA,NA,NA
1989,3,16,6,-16.3,988,9,NA,NA
1989,3,16,9,NA,NA,NA,NA,NA
1989,3,16,12,-15.1,988.7,5,90,NA
1989,3,16,15,NA,NA,NA,NA,NA
1989,3,16,18,-17,988.3,6,135,NA
1989,3,16,21,NA,NA,NA,NA,NA
1989,3,17,0,-18,989.4,7,112.5,NA
1989,3,17,3,NA,NA,NA,NA,NA
1989,3,17,6,-16.8,990.1,5,67.5,NA
1989,3,17,9,NA,NA,NA,NA,NA
1989,3,17,12,-15.8,989.7,1,292.5,NA
1989,3,17,15,NA,NA,NA,NA,NA
1989,3,17,18,-16,989.4,NA,112.5,NA
1989,3,17,21,NA,NA,NA,NA,NA
1989,3,18,0,-16.5,990.1,10,112.5,NA
1989,3,18,3,NA,NA,NA,NA,NA
1989,3,18,6,-15.8,990.5,NA,270,NA
1989,3,18,9,NA,NA,NA,NA,NA
1989,3,18,12,-14.4,991.1,2,180,NA
1989,3,18,15,NA,NA,NA,NA,NA
1989,3,18,18,-17.1,989.4,2,157.5,NA
