Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
2008,1,1,0,NA,NA,NA,NA,NA
2008,1,1,3,NA,NA,NA,NA,NA
2008,1,1,6,NA,NA,NA,NA,NA
2008,1,1,9,NA,NA,NA,NA,NA
2008,1,1,12,NA,NA,NA,NA,NA
2008,1,1,15,NA,NA,NA,NA,NA
2008,1,1,18,NA,NA,NA,NA,NA
2008,1,1,21,NA,NA,NA,NA,NA
2008,1,2,0,NA,NA,NA,NA,NA
2008,1,2,3,NA,NA,NA,NA,NA
2008,1,2,6,NA,NA,NA,NA,NA
2008,1,2,9,NA,NA,NA,NA,NA
2008,1,2,12,NA,NA,NA,NA,NA
2008,1,2,15,-30.21,NA,4.15,166.88,84.25
2008,1,2,18,-33.54,NA,2.38,19.75,55.27
2008,1,2,21,NA,NA,3.3,13.7,65.08
2008,1,3,0,-36.77,NA,3.23,10.92,66.92
2008,1,3,3,-35.68,NA,3,5.67,71.26
2008,1,3,6,-33.15,NA,3.2,4,74.04
2008,1,3,9,-30.78,NA,3.47,347,91.61
2008,1,3,12,-29.86,NA,2.65,323,89.51
2008,1,3,15,NA,NA,1.43,325.25,90.4
2008,1,3,18,NA,NA,0.6,350.5,53.68
2008,1,3,21,-35.17,NA,2.24,6.17,48.51
2008,1,4,0,NA,NA,0.63,1.29,58.6
2008,1,4,3,-33.01,NA,NA,NA,36.66
2008,1,4,6,NA,NA,NA,NA,99.1
2008,1,4,9,NA,NA,0.53,153.5,NA
2008,1,4,12,-30.5,NA,2,157,96.4
2008,1,4,15,-30.67,NA,2.53,151.5,95.94
2008,1,4,18,-32.97,NA,2.2,350.21,96.44
2008,1,4,21,NA,NA,2.4,319.42,NA
2008,1,5,0,-37.36,NA,2.2,308.5,92.97
2008,1,5,3,-35.95,NA,2.4,298.92,90.49
2008,1,5,6,-33.04,NA,3.13,303.67,91.14
2008,1,5,9,-30.99,NA,5.1,87.25,85.76
2008,1,5,12,-30.81,NA,6,71.64,85.74
2008,1,5,15,-29.88,NA,4.44,60.8,85.37
2008,1,5,18,-32.02,NA,NA,79.5,89.45
2008,1,5,21,NA,NA,NA,63.25,92.52
2008,1,6,0,-35.36,NA,3.73,44.67,87.61
2008,1,6,3,-34.38,NA,4.38,27.6,72.36
2008,1,6,6,-32.73,NA,4.8,19,63.04
2008,1,6,9,-31.12,NA,5.8,11.75,69.39
2008,1,6,12,-30.17,NA,6.45,8.25,68.77
2008,1,6,15,-31,NA,6.42,350.56,75.72
2008,1,6,18,-32.89,NA,4.37,352.14,86.08
2008,1,6,21,-35.92,NA,4.51,1.17,87.53
2008,1,7,0,-37.02,NA,4.83,343.86,94.65
2008,1,7,3,-36.61,NA,NA,335.19,95.36
2008,1,7,6,-34.8,NA,NA,329,96.5
2008,1,7,9,-32.68,NA,4.82,319.56,97.69
2008,1,7,12,-31.6,NA,4.4,310.17,92.49
2008,1,7,15,-31.8,NA,3.28,302.6,88.51
2008,1,7,18,-34.72,NA,2.4,325.83,96.72
2008,1,7,21,NA,NA,2.78,326.38,98.42
2008,1,8,0,-37.31,NA,2.75,310.5,96.88
2008,1,8,3,-36.94,NA,2.3,301.75,93.87
2008,1,8,6,-35.32,NA,2.6,275,96.19
2008,1,8,9,NA,NA,2.2,270.57,94.44
2008,1,8,12,NA,NA,1.36,224.5,90.38
2008,1,8,15,NA,NA,0.1,NA,56.41
2008,1,8,18,NA,NA,NA,200.44,55.94
2008,1,8,21,NA,NA,NA,46.08,95.86
2008,1,9,0,NA,NA,NA,56.57,96.07
2008,1,9,3,-39.64,NA,3.23,43.64,88.32
2008,1,9,6,-36.43,NA,4.4,31.5,76.47
2008,1,9,9,NA,NA,4.8,23.5,71.37
2008,1,9,12,-33.21,NA,5.47,15.33,60.81
2008,1,9,15,-33.68,NA,5.03,16.21,64.58
2008,1,9,18,-35.75,NA,4.47,18.33,65.88
2008,1,9,21,-38.31,NA,4.75,9.12,74.9
2008,1,10,0,-39.1,NA,5.2,17,70.55
2008,1,10,3,-37.67,NA,5.84,9.2,77.15
2008,1,10,6,-35.28,NA,6.53,6,82.87
2008,1,10,9,-33.39,NA,7.6,354,88.19
2008,1,10,12,-32.45,NA,7.92,350.8,86.26
2008,1,10,15,-32.79,NA,7.88,352.5,88.95
2008,1,10,18,-34.52,NA,6.9,356.5,88.31
2008,1,10,21,-36.95,NA,6.8,359.75,92.62
2008,1,11,0,-38.21,NA,6.26,351.86,88.66
2008,1,11,3,NA,NA,6.34,3.29,84.54
2008,1,11,6,NA,NA,6.76,4.6,79.31
2008,1,11,9,NA,NA,6.95,3.25,83.93
2008,1,11,12,-32.2,NA,7,1,NA
2008,1,11,15,-32.09,NA,5.69,8.07,72.48
2008,1,11,18,-33.83,NA,3.87,15.33,61.74
2008,1,11,21,-35.92,NA,4.83,20.29,69.77
2008,1,12,0,-36.54,NA,5.31,14.14,74.63
2008,1,12,3,-35.63,NA,5.93,10.92,71.84
2008,1,12,6,-33.67,NA,6.4,5.75,74.83
2008,1,12,9,-31.37,NA,6.88,359.2,83.4
2008,1,12,12,-30.74,NA,6.94,357.71,82.85
2008,1,12,15,-30.81,NA,5.15,354,85.45
2008,1,12,18,-32.66,NA,3.8,4,72.5
2008,1,12,21,NA,NA,3.89,12.06,70.84
2008,1,13,0,-37.05,NA,4.4,6.36,76.7
2008,1,13,3,-36.37,NA,4,12.4,64.95
2008,1,13,6,-33.93,NA,4.25,10.12,63.32
2008,1,13,9,-32.16,NA,4.4,7.5,65.89
2008,1,13,12,-30.75,NA,4.77,359.71,75.06
2008,1,13,15,-31.34,NA,4.2,5.62,68.97
2008,1,13,18,NA,NA,3.64,8.2,64.87
2008,1,13,21,-36.33,NA,4.2,10,77.9
2008,1,14,0,-37.97,NA,4.4,4.61,80.16
2008,1,14,3,-36.77,NA,4.4,9,72.88
2008,1,14,6,-34.23,NA,3.6,358.4,85.98
2008,1,14,9,-32.52,NA,3.43,357.58,86.93
2008,1,14,12,-31.61,NA,2.8,350.3,90.45
2008,1,14,15,-32.12,NA,3.22,3.2,64.24
2008,1,14,18,-35.33,NA,2.16,19.3,54.17
2008,1,14,21,NA,NA,NA,25.5,63.61
2008,1,15,0,-39.48,NA,NA,22.9,61.66
2008,1,15,3,-38.41,NA,NA,31,70
2008,1,15,6,NA,NA,2.13,40,83.59
2008,1,15,9,NA,NA,1.8,49.5,93.62
2008,1,15,12,NA,NA,1.8,62.83,93.76
2008,1,15,15,NA,NA,1.76,86.39,94.47
2008,1,15,18,-34.66,NA,2.66,92.71,96.24
2008,1,15,21,NA,NA,2.9,79.25,95.78
2008,1,16,0,-38.43,NA,NA,57.31,85.85
2008,1,16,3,-37.45,NA,NA,31.8,67.88
2008,1,16,6,-34.56,NA,NA,27.17,62.53
2008,1,16,9,NA,NA,2.72,33.9,76.07
2008,1,16,12,-30.15,NA,2.5,41.5,80.8
2008,1,16,15,-31.18,NA,2.25,73.19,NA
2008,1,16,18,-34.13,NA,2.83,62.14,90.02
2008,1,16,21,NA,NA,3.27,51.25,88.32
2008,1,17,0,-37.89,NA,4.2,38.25,81.15
2008,1,17,3,-37.41,NA,4.85,28.75,71.05
2008,1,17,6,-35.21,NA,4.4,33.75,68.68
2008,1,17,9,-33.54,NA,4.32,38.6,78.55
2008,1,17,12,-32.5,NA,4.33,26.33,64.87
2008,1,17,15,-32.43,NA,3.37,20.29,57.57
2008,1,17,18,NA,NA,1.86,33.21,76.01
2008,1,17,21,NA,NA,2.8,24.5,65.22
2008,1,18,0,-40.19,NA,2.77,15.75,57.88
