Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,11,25,-4.7,0.25,981.45,0.25,4.27,0.25,NA,0,80.76,0.25,NA,NA,0
2014,11,26,-5.96,0.75,984.59,1,1.29,1,NA,0,81.1,1,NA,NA,0
2014,11,27,-7.11,0.5,984.26,1,2.63,1,NA,0,89.36,1,NA,NA,0
2014,11,28,-7.61,0.75,976.04,1,2.27,1,NA,0,84.77,1,NA,NA,0
2014,11,29,-5.86,1,973.01,1,2.23,1,NA,0,90.52,1,NA,NA,0
2014,11,30,-6.16,1,970.78,1,1.68,1,NA,0,86.47,1,NA,NA,0
2014,12,1,-6.16,0.25,968.45,1,1.38,1,NA,0,71.1,1,NA,NA,0
2014,12,2,-2.05,0.5,967.02,1,2.6,1,NA,0,68.76,1,NA,NA,0
2014,12,3,-5.07,0.375,973.27,1,2.32,1,NA,0,73.8,1,NA,NA,0
2014,12,4,NA,0.125,978.5,1,1.32,1,NA,0,70.32,1,NA,NA,0
2014,12,5,NA,0.125,974.14,1,1.35,1,NA,0,77.94,1,NA,NA,0
2014,12,6,NA,0.125,969.68,1,0.92,1,NA,0,77.94,0.875,NA,NA,0
2014,12,7,NA,0.125,966.71,1,1.48,1,NA,0,82.66,1,NA,NA,0
2014,12,8,-1.9,0.25,968.12,1,1.29,1,NA,0,80.82,1,NA,NA,0
2014,12,9,NA,0,971.16,1,0.77,1,NA,0,85.72,0.875,NA,NA,0
2014,12,10,-3.07,0.75,961.74,1,3.95,1,NA,0,92.47,1,NA,NA,0
2014,12,11,-2.08,0.375,957.18,1,3.63,0.75,NA,0,87.98,1,NA,NA,0
2014,12,12,-1.84,0.625,968.49,1,3.43,0.875,NA,0,80.72,1,NA,NA,0
2014,12,13,-2.62,0.375,978.24,1,1.7,1,NA,0,78.21,1,NA,NA,0
2014,12,14,-3.08,0.375,977.07,1,1.99,1,NA,0,87.78,1,NA,NA,0
2014,12,15,-4.72,0.5,972.38,1,2.81,1,NA,0,89.91,1,NA,NA,0
2014,12,16,-4.62,0.25,974.76,1,1.61,1,NA,0,84.11,0.875,NA,NA,0
