Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2002,11,5,-16.03,0.375,987.58,0.5,5.25,0.5,246.25,0.5,NA,0,4.26,231.51,0.5
2002,11,6,-15.9,0.25,987.85,0.5,6.88,0.5,233.75,0.5,NA,0,6.67,230.5,0.5
2002,11,7,-13.18,0.5,982.26,0.625,11.9,0.625,198.2,0.625,NA,0,11.72,197.7,0.625
2002,11,8,-10.05,0.5,978.74,0.625,15.62,0.5,180.2,0.625,NA,0,15.59,178.92,0.5
2002,11,9,-10.84,0.625,976.77,0.75,14.75,0.75,193.83,0.75,NA,0,13.84,188.83,0.75
2002,11,10,-16.42,0.5,978.63,0.75,7.5,0.75,282.5,0.75,NA,0,7.17,282.93,0.75
2002,11,11,-12.43,0.375,984.78,0.75,6.58,0.75,224,0.75,NA,0,3.96,211.97,0.75
2002,11,12,-11.33,0.75,981.78,0.75,12.25,0.5,190.67,0.75,NA,0,11.69,182.59,0.5
2002,11,13,-7.28,0.625,978.92,0.625,12.2,0.625,185.4,0.625,NA,0,11.91,187.05,0.625
2002,11,14,-5.7,0.5,969.7,0.5,9.83,0.375,218,0.5,NA,0,9.36,210.91,0.375
2002,11,15,NA,0.125,978.63,0.375,NA,0.125,235,0.375,NA,0,NA,NA,0.125
2002,11,16,-10.3,0.25,986.65,0.5,2,0.25,139,0.375,NA,0,1.18,187.81,0.25
2002,11,17,-4.53,0.75,968.4,0.75,28.83,0.375,146.33,0.75,NA,0,28.83,146.87,0.375
2002,11,18,-1.58,0.75,981.82,0.75,14.17,0.75,329,0.75,NA,0,13.93,329.06,0.75
2002,11,19,-2.62,0.5,982.97,0.75,8,0.375,323.17,0.75,NA,0,7.47,319.78,0.375
2002,11,20,-9.57,0.5,973.82,0.75,10.5,0.625,289.33,0.75,NA,0,10.21,286.21,0.625
2002,11,21,-7.17,0.375,972.04,0.625,9.5,0.5,287.6,0.625,NA,0,8.87,305.93,0.5
2002,11,22,-10.45,0.25,976.42,0.625,15.5,0.375,181.4,0.625,NA,0,15.16,176.03,0.375
2002,11,23,-6.65,0.5,974.6,0.5,15.5,0.375,217.25,0.5,NA,0,15.3,212.64,0.375
2002,11,24,-3.62,0.5,979.8,0.5,7.25,0.5,102.75,0.5,NA,0,6.45,104.84,0.5
2002,11,25,-6.32,0.5,977.7,0.625,6.9,0.625,229.4,0.625,NA,0,5.55,225.06,0.625
2002,11,26,-12.6,0.375,969.47,0.875,6.5,0.875,265.86,0.875,NA,0,5.9,276.7,0.875
2002,11,27,-15.93,0.375,967.14,0.625,7.9,0.625,262.6,0.625,NA,0,7.14,261.27,0.625
2002,11,28,-11.18,0.5,976.38,0.625,5.38,0.5,182.6,0.625,NA,0,5.15,183.62,0.5
2002,11,29,-9.98,0.75,979.1,0.75,13.83,0.75,211.5,0.75,NA,0,12.16,204.06,0.75
2002,11,30,-11.37,0.375,978.4,0.5,7,0.375,240,0.5,NA,0,6.43,222.98,0.375
2002,12,1,-13.95,0.5,978.1,0.5,10.88,0.5,278.75,0.5,NA,0,10.76,281.29,0.5
2002,12,2,-11.9,0.375,970.98,0.5,13.12,0.5,272.25,0.5,NA,0,12.5,274.74,0.5
