Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,11,1,-5.91,0.25,NA,0,NA,0,NA,0,80,0.25,NA,NA,0
2000,11,2,-6.95,0.375,NA,0,NA,0,NA,0,65.33,0.375,NA,NA,0
2000,11,3,-7.63,0.625,NA,0,NA,0,NA,0,76.8,0.625,NA,NA,0
2000,11,4,-4.78,0.25,NA,0,NA,0,NA,0,78,0.25,NA,NA,0
2000,11,5,-5.04,0.5,NA,0,NA,0,NA,0,78,0.5,NA,NA,0
2000,11,6,2.24,0.25,NA,0,NA,0.125,NA,0,NA,0.125,NA,NA,0
2000,11,7,-1.34,0.375,NA,0,1.8,0.25,NA,0.125,75,0.25,NA,NA,0
2000,11,8,-4.67,0.625,NA,0,NA,0,249,0.25,68.4,0.625,NA,NA,0
2000,11,9,-5.03,0.375,NA,0,NA,0.125,NA,0,82.67,0.375,NA,NA,0
2000,11,10,-4.17,0.75,NA,0,3.9,0.25,NA,0,69.67,0.75,NA,NA,0
2000,11,11,-5.21,0.75,NA,0,NA,0,272.4,0.625,72,0.75,NA,NA,0
2000,11,12,-3.73,0.625,NA,0,NA,0,NA,0.125,85,0.625,NA,NA,0
2000,11,13,-5.49,0.5,NA,0,NA,0,315,0.25,81.25,0.5,NA,NA,0
2000,11,14,-2.86,0.5,NA,0,NA,0,322,0.375,97,0.375,NA,NA,0
2000,11,15,-3.67,0.625,NA,0,2.05,0.25,NA,0,91.2,0.625,NA,NA,0
2000,11,16,-2.85,0.75,NA,0,2.38,0.625,314,0.375,92.33,0.75,2.73,313.9,0.375
2000,11,17,-2.92,0.5,NA,0,1.07,0.5,162,0.25,88,0.5,1.29,153.63,0.25
2000,11,18,-4.63,0.375,NA,0,NA,0,NA,0,87.33,0.375,NA,NA,0
2000,11,19,-4.22,0.625,NA,0,NA,0.125,NA,0,80,0.625,NA,NA,0
2000,11,20,-0.97,0.625,NA,0,NA,0,NA,0.125,84,0.375,NA,NA,0
2000,11,21,-3.1,0.5,NA,0,NA,0,NA,0.125,79,0.5,NA,NA,0
2000,11,22,-1.43,0.375,NA,0,NA,0,NA,0,86.67,0.375,NA,NA,0
2000,11,23,-1.85,0.375,NA,0,2.4,0.25,NA,0,94,0.375,NA,NA,0
2000,11,24,-1.63,0.75,NA,0,5.62,0.5,282,0.375,77.67,0.75,NA,NA,0.125
2000,11,25,-0.79,0.375,NA,0,NA,0,234,0.25,78,0.5,NA,NA,0
2000,11,26,3.68,0.375,NA,0,4.8,0.25,NA,0.125,44,0.375,NA,NA,0
2000,11,27,-1.03,0.375,NA,0,4.3,0.375,NA,0,66,0.375,NA,NA,0
2000,11,28,-1.14,0.625,NA,0,NA,0,NA,0.125,82.4,0.625,NA,NA,0
2000,11,29,-1.12,0.625,NA,0,NA,0,NA,0,84.4,0.625,NA,NA,0
2000,11,30,-2.32,0.375,NA,0,2.65,0.25,NA,0.125,98,0.375,NA,NA,0.125
2000,12,1,NA,0,NA,0,NA,0.125,NA,0,NA,0.125,NA,NA,0
2000,12,2,-1.72,0.625,NA,0,2.2,0.25,304,0.375,75.6,0.625,NA,NA,0
2000,12,3,0.2,0.75,NA,0,9.17,0.375,NA,0.125,78.67,0.75,NA,NA,0.125
2000,12,4,-0.6,0.5,NA,0,NA,0,NA,0,74.5,0.5,NA,NA,0
2000,12,5,-2.61,0.25,NA,0,2.65,0.25,NA,0,71.33,0.375,NA,NA,0
2000,12,6,-2.97,0.375,NA,0,NA,0,267,0.25,94.67,0.375,NA,NA,0
2000,12,7,-2.56,0.5,NA,0,NA,0.125,NA,0,74,0.5,NA,NA,0
2000,12,8,-0.48,0.375,NA,0,NA,0,297,0.5,80.5,0.5,NA,NA,0
2000,12,9,-2.89,0.375,NA,0,NA,0,NA,0,84,0.375,NA,NA,0
2000,12,10,-1.46,0.625,NA,0,NA,0,310,0.375,86,0.625,NA,NA,0
2000,12,11,-1.9,0.625,NA,0,NA,0,NA,0.125,80.4,0.625,NA,NA,0
2000,12,12,-2.26,0.75,NA,0,3.53,0.75,NA,0,65,0.75,NA,NA,0
2000,12,13,-2.95,0.375,NA,0,1.82,0.625,NA,0.125,84.4,0.625,NA,NA,0.125
2000,12,14,-3.41,0.375,NA,0,NA,0.125,156,0.375,97.33,0.375,NA,NA,0.125
2000,12,15,-3.33,0.25,NA,0,NA,0.125,68,0.375,96,0.375,NA,NA,0.125
2000,12,16,-2.68,0.75,NA,0,NA,0,NA,0,90,0.5,NA,NA,0
2000,12,17,-3.2,0.5,NA,0,NA,0,NA,0,73.5,0.5,NA,NA,0
2000,12,18,0.04,0.25,NA,0,NA,0,NA,0,71,0.25,NA,NA,0
2000,12,19,4.12,0.5,NA,0,NA,0,255,0.25,49.2,0.625,NA,NA,0
2000,12,20,0.44,0.625,NA,0,NA,0,NA,0.125,79.33,0.375,NA,NA,0
2000,12,21,-0.53,0.625,NA,0,NA,0,NA,0,80.8,0.625,NA,NA,0
2000,12,22,-1.16,0.625,NA,0,NA,0.125,273,0.5,88,0.625,NA,NA,0.125
2000,12,23,-1.52,0.375,NA,0,4.7,0.375,NA,0,76.67,0.375,NA,NA,0
2000,12,24,-1.87,0.375,NA,0,3.8,0.375,159,0.25,76,0.375,3.4,158.82,0.25
2000,12,25,-1.85,0.5,NA,0,NA,0,204,0.375,79,0.5,NA,NA,0
2000,12,26,-2.56,0.5,NA,0,NA,0.125,252,0.375,75.5,0.5,NA,NA,0
2000,12,27,-1.59,0.25,NA,0,NA,0,306,0.25,NA,0.125,NA,NA,0
2000,12,28,-1.25,0.375,NA,0,NA,0,207,0.25,NA,0.125,NA,NA,0
2000,12,29,-1.23,0.625,NA,0,NA,0.125,NA,0.125,64,0.375,NA,NA,0.125
2000,12,30,-0.63,0.375,NA,0,2.65,0.5,280,0.375,87,0.25,1.76,300.38,0.25
2000,12,31,1.27,0.5,NA,0,NA,0,309,0.5,NA,0.125,NA,NA,0
2001,1,1,0.83,0.25,NA,0,NA,0,NA,0,76,0.25,NA,NA,0
2001,1,2,-0.4,0.25,NA,0,NA,0.125,NA,0,87,0.25,NA,NA,0
2001,1,3,-1.74,0.375,NA,0,2.1,0.625,NA,0,91.2,0.625,NA,NA,0
2001,1,4,-2.46,0.625,NA,0,3.9,0.25,NA,0,89.2,0.625,NA,NA,0
2001,1,5,-1.51,0.5,NA,0,NA,0.125,NA,0,69.5,0.5,NA,NA,0
2001,1,6,-0.18,0.5,NA,0,NA,0,NA,0,70.67,0.375,NA,NA,0
