Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1987,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,21,NA,0,NA,0,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1987,1,22,0.1,0.75,NA,0,NA,0,180,0.375,NA,0,NA,NA,0
1987,1,23,-0.43,0.75,NA,0,1.65,0.5,188,0.25,NA,0,3.15,188,0.25
1987,1,24,-3.95,0.5,NA,0,1.35,0.5,121.25,0.5,NA,0,1.15,129.83,0.5
1987,1,25,-3.33,0.875,NA,0,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1987,1,26,-3.68,0.625,NA,0,0.53,0.375,191.67,0.375,NA,0,0.19,307.38,0.375
1987,1,27,-3.77,0.375,NA,0,1.23,0.75,116.33,0.375,NA,0,0.98,152.75,0.375
1987,1,28,-1.25,0.25,NA,0,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1987,1,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
