Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2001,5,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,22,-2.66,1,987.04,0.875,NA,0,NA,0,79.01,1,NA,NA,0
2001,5,23,-3.65,1,981.03,1,NA,0,NA,0,77.44,1,NA,NA,0
2001,5,24,-2.33,0.875,979.42,0.75,NA,0,NA,0,84.43,0.875,NA,NA,0
2001,5,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,27,-1.15,0.25,977,0.25,6.95,0.25,18.5,0.25,84.35,0.25,6.95,18.59,0.25
2001,5,28,-1.01,1,967.25,1,10.65,0.25,79.62,1,89.88,1,10.65,38.54,0.25
2001,5,29,-2.4,1,965,1,7.69,0.875,276.88,1,80.9,1,6.82,316.04,0.875
2001,5,30,-4.16,1,967.74,1,4.28,1,113.75,1,78.45,1,2.78,139.86,1
2001,5,31,-5.65,1,969.5,0.875,4.44,1,210.12,1,73.8,1,4.25,202.55,1
2001,6,1,-5.79,1,976.37,1,3.3,0.875,145.12,1,71.73,1,1.15,140.3,0.875
2001,6,2,-5.01,1,982.15,1,8.8,0.5,113.62,1,59.6,1,8.32,132.96,0.5
2001,6,3,-5.94,1,985.61,1,8.33,0.875,105.25,1,52.57,1,7.79,101.79,0.875
2001,6,4,-5.81,1,982.15,1,3.36,1,213.88,1,68.73,1,1.01,349.03,1
2001,6,5,-6.63,0.875,985.94,0.875,4.44,0.875,201.14,0.875,72.89,0.875,3.56,199.72,0.875
2001,6,6,-6.89,1,987.91,1,3.32,0.625,162.25,1,69.36,1,1.73,137.9,0.625
2001,6,7,-6.98,1,990.19,1,2.4,0.75,160.43,0.875,71.45,1,1.05,119.36,0.75
2001,6,8,-6.4,1,992.75,1,7.23,0.875,87,1,65.21,1,7.06,87.54,0.875
2001,6,9,-6.29,1,992.6,1,9.3,0.875,91.75,1,59.74,1,8.68,91.67,0.875
2001,6,10,-3.62,1,989.49,1,7,1,73.62,1,86.98,1,5.22,67.34,1
2001,6,11,-1.45,1,985.53,1,11.62,0.625,72,1,85.29,1,11.17,23.6,0.625
2001,6,12,-0.97,1,986.72,1,9.62,0.5,208.5,1,84.79,1,8.73,330.02,0.5
2001,6,13,-1.65,1,986.04,1,9.3,0.75,191.5,1,84.37,0.875,2.56,58.29,0.75
2001,6,14,-2,1,997.94,1,10.26,0.625,304.25,1,87.69,1,9.95,314.9,0.625
2001,6,15,-1.63,1,995.6,1,7.5,0.375,241.12,1,91.84,1,6.76,310.09,0.375
2001,6,16,-2.19,1,1002.25,1,6.05,0.25,316.75,1,92.76,1,5.79,311.3,0.25
2001,6,17,-5.88,1,1005.16,1,8.58,0.5,292.62,1,73.55,1,7.97,277.39,0.5
2001,6,18,-5.88,1,989.14,1,5.65,0.75,122.62,1,72.74,1,3.89,112.24,0.75
2001,6,19,-5.8,1,970.44,1,13,0.75,294.25,1,80.69,1,12.52,274.18,0.75
2001,6,20,-6.95,1,984.59,0.875,12.53,0.375,241.5,1,73.11,1,9.23,262.4,0.375
2001,6,21,-5.58,0.75,978.36,0.875,11.77,0.375,211.71,0.875,76.3,1,0.6,291.1,0.375
2001,6,22,-8.4,1,1012.68,1,6.1,0.625,142.75,1,67.43,1,3.08,104.58,0.625
2001,6,23,-5.5,1,1014.14,1,6.36,1,176.38,1,77.58,1,6.18,176.45,1
2001,6,24,-4.83,1,1002.51,1,3.29,0.875,199.86,0.875,87.83,1,1.41,346.04,0.875
