Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,8,9,-19.57,0.375,997.93,0.375,10.55,0.25,184,0.375,58,0.375,10.49,185.91,0.25
1999,8,10,-16.12,0.5,998.85,0.5,16.65,0.25,172.5,0.5,73.5,0.5,16.65,174,0.25
1999,8,11,-11.41,0.75,996.33,0.75,11.35,0.5,177,0.75,72.4,0.625,11.31,178.15,0.5
1999,8,12,-6.72,0.5,977.05,0.5,9.9,0.25,163.5,0.5,91,0.5,9.56,159.31,0.25
1999,8,13,-5.36,0.75,962,0.875,9.55,0.25,220,0.75,94.86,0.875,4.98,58.66,0.25
1999,8,14,-7.92,0.75,969.13,0.75,12.6,0.5,180,0.75,79.67,0.75,11.94,176.46,0.5
1999,8,15,-19.31,0.375,975.8,0.375,3.4,0.375,230,0.375,52.67,0.375,2.61,217.79,0.375
1999,8,16,-21.58,0.75,959.4,0.75,13.7,0.625,189,0.75,71,0.5,13.52,187.09,0.625
1999,8,17,-21.34,0.625,970.92,0.625,9.17,0.375,222,0.625,65.6,0.625,9.16,211.24,0.375
1999,8,18,-18.83,0.375,970.93,0.375,17.7,0.375,180,0.375,74.67,0.375,17.7,180,0.375
1999,8,19,-18.33,0.625,974.6,0.625,24.33,0.375,187.2,0.625,82.8,0.625,24.13,178.39,0.375
1999,8,20,-20.21,0.75,973.57,0.75,7.23,0.75,198,0.75,61.33,0.75,7.16,198.42,0.75
1999,8,21,-19.91,0.75,980,0.75,4.6,0.75,229,0.75,57.67,0.75,4.35,227.04,0.75
1999,8,22,-23.38,0.875,976.6,0.875,12.57,0.5,200.57,0.875,74.29,0.875,12.47,200.92,0.5
1999,8,23,-22.02,0.75,973.83,0.75,13.73,0.75,206,0.75,76.33,0.75,13.64,205.94,0.75
1999,8,24,-21.97,0.75,987.3,0.75,8,0.25,175,0.75,71.6,0.625,7.62,196.43,0.25
1999,8,25,-22.96,0.75,993.23,0.75,17.95,0.25,176,0.75,77,0.75,17.93,182.99,0.25
1999,8,26,-20.6,0.625,981.28,0.625,23.95,0.25,151.2,0.625,76.8,0.625,23.43,157.14,0.25
1999,8,27,-18.81,0.375,971.53,0.375,15.65,0.25,156,0.375,74.67,0.375,15.63,164.95,0.25
1999,8,28,-18.41,0.5,973.27,0.375,13.57,0.375,202.5,0.5,70,0.5,13.12,197.6,0.375
1999,8,29,-21.38,0.625,991.6,0.625,12.3,0.375,205.2,0.625,56,0.625,12.26,204.1,0.375
1999,8,30,-14.1,0.75,1000.17,0.75,5.32,0.625,229,0.75,NA,0,4.03,202.32,0.625
1999,8,31,-13.42,0.75,984.87,0.75,7.25,0.75,159,0.75,79,0.5,7.09,159.34,0.75
1999,9,1,-17.69,0.5,972.9,0.5,7.58,0.5,220.5,0.5,NA,0.125,7.17,218.85,0.5
1999,9,2,-23.8,0.875,979.8,0.875,12.82,0.625,195.43,0.875,72,0.625,12.68,193.1,0.625
1999,9,3,-25.85,0.75,979.7,0.75,5,0.375,220.8,0.625,66.33,0.75,3.93,208.27,0.375
1999,9,4,-23.81,0.5,976.95,0.5,6.7,0.25,195,0.5,60,0.5,6.66,204.72,0.25
1999,9,5,-19.26,0.5,976.87,0.375,14.2,0.25,184.5,0.5,69.5,0.5,13.9,189.69,0.25
1999,9,6,-20.69,0.5,985.65,0.5,8.87,0.375,193.5,0.5,62,0.5,8.63,202.19,0.375
1999,9,7,-14.58,0.625,974.4,0.625,20.56,0.625,164.4,0.625,76.4,0.625,20.49,164.31,0.625
1999,9,8,-13.6,0.625,986.72,0.625,7.62,0.5,178.8,0.625,72.8,0.625,6.91,183.52,0.5
1999,9,9,-16.02,0.75,992.9,0.75,5.48,0.625,204,0.75,61.33,0.75,5.15,212.57,0.625
1999,9,10,-17.95,0.75,985.87,0.75,15.73,0.375,203,0.75,71.5,0.5,15.31,201.86,0.375
1999,9,11,-17.81,0.875,981.71,0.875,12.97,0.375,173.14,0.875,NA,0.125,12.75,168.17,0.375
1999,9,12,-13.1,0.75,982.8,0.75,5.07,0.75,218,0.75,NA,0,4.08,213.44,0.75
1999,9,13,-14.74,0.625,996.36,0.625,5.7,0.5,211.2,0.625,60,0.625,5.46,207.57,0.5
1999,9,14,-12.28,0.625,996.6,0.625,14.53,0.5,177.6,0.625,63.6,0.625,14.05,177.24,0.5
1999,9,15,-10.59,0.5,988.75,0.5,NA,0,186,0.5,74,0.5,NA,NA,0
1999,9,16,-16.32,0.5,986.6,0.5,10.1,0.25,204,0.5,68.67,0.375,9.89,206.87,0.25
1999,9,17,-18.06,0.625,991.48,0.625,7.78,0.5,201.6,0.625,58.4,0.625,7.62,204.66,0.5
1999,9,18,-18.79,0.875,993.23,0.875,13.06,0.625,199.71,0.875,66.29,0.875,12.99,199.64,0.625
1999,9,19,-23.37,0.75,991.13,0.75,10.62,0.625,213,0.75,60.33,0.75,10.61,211.19,0.625
1999,9,20,-22.82,0.75,982.3,0.75,9.96,0.625,203,0.75,60.33,0.75,9.88,201.73,0.625
1999,9,21,-22.69,0.75,979.67,0.75,13.77,0.75,202,0.375,72.33,0.75,12.28,201.87,0.375
1999,9,22,-22.23,0.625,978.64,0.625,13.45,0.5,195.6,0.625,67.6,0.625,13.44,196.51,0.5
1999,9,23,-19.15,0.625,967.6,0.625,17.65,0.5,194.4,0.625,76,0.625,17.15,190.55,0.5
1999,9,24,-23.77,0.375,972,0.375,13,0.375,208,0.375,59,0.25,12.99,208.37,0.375
1999,9,25,-24.49,0.625,970.56,0.625,13.1,0.5,200.4,0.625,73,0.25,13.03,200.74,0.5
