Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2005,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,29,-12.15,0.25,985.38,0.625,1.68,0.625,251.6,0.625,64.66,0.625,0.81,330.73,0.625
2005,1,30,-15.8,0.25,982.59,1,2.08,1,260.62,1,62.8,1,0.91,321,1
2005,1,31,-13.93,0.5,978.5,1,2.54,1,296.62,1,70.33,1,2.5,342.95,1
2005,2,1,-5.58,0.75,971.46,1,3.56,1,259.25,1,79.84,0.875,0.74,284.89,1
2005,2,2,-10.18,1,973.12,1,4.59,1,128.75,1,87.31,1,4.3,132.94,1
2005,2,3,-12.84,0.625,976.75,1,2.44,1,200.62,1,81.34,1,0.6,85.25,1
2005,2,4,-9.22,0.75,972.52,1,2.77,0.875,223.88,1,79.52,1,0.63,250.69,0.875
2005,2,5,-6.48,0.625,977.62,1,7.08,0.75,166.75,1,79.85,1,6.87,167.28,0.75
2005,2,6,-9.92,0.75,982.78,1,3.19,1,229.25,1,74.62,1,1.47,198.12,1
2005,2,7,-12.02,0.75,988.26,1,2.7,1,226.5,1,71.39,1,1.06,236.47,1
2005,2,8,-17.9,0.25,989.82,1,2.02,1,194.25,1,59.94,1,0.97,271.51,1
2005,2,9,-11.9,0.5,988.12,1,2.26,1,251.62,1,68.47,1,1.04,240.22,1
2005,2,10,-12.13,0.875,980.79,1,3.76,1,223.38,1,70.89,1,1.33,239.43,1
2005,2,11,-15.3,0.25,970.48,1,2.12,1,203.88,1,65.04,1,1.4,338.23,1
2005,2,12,-12.8,0.375,969.11,1,3.48,1,225.62,1,66.83,1,1.76,321.68,1
2005,2,13,-12.47,0.5,970.49,1,2.5,1,196.5,1,63.73,1,1.65,327.28,1
2005,2,14,NA,0.125,966.09,1,2.09,1,255.5,1,59.34,1,0.58,266.54,1
2005,2,15,-15.93,0.5,969.06,1,3.63,0.75,231.62,1,65.65,1,2.02,219.57,0.75
2005,2,16,-13.03,0.375,971.41,1,2.69,1,217.25,1,64.08,1,1.55,211.72,1
2005,2,17,-21.07,0.375,970.68,1,2.12,1,195.5,1,71.71,1,1.16,4.67,1
2005,2,18,-19.2,0.25,979.58,1,2.15,1,200.38,1,70.66,1,1.91,195.79,1
2005,2,19,-17.87,0.375,981.68,1,2.35,1,178.62,1,79.2,1,1.46,343.56,1
2005,2,20,-17.05,0.25,987.08,1,1.65,1,192.75,1,78.58,1,0.73,228.91,1
2005,2,21,NA,0.125,991.29,1,1.96,1,142.88,1,78.88,1,1.08,343.8,1
2005,2,22,-23.93,0.375,982.65,1,2.52,1,146.5,1,85.19,1,2.36,146.46,1
2005,2,23,-23.5,0.625,979.89,1,2.15,1,278.5,1,84.74,1,1.64,309.36,1
2005,2,24,-23.07,0.875,986.3,1,2.79,1,218.62,1,70.69,1,0.73,224.87,1
2005,2,25,-15.02,0.75,991.68,1,3.52,1,234.62,1,62.86,1,2.4,219.85,1
2005,2,26,-16.05,0.75,988.7,1,2.74,1,227.5,1,68.38,1,0.9,251.95,1
2005,2,27,-21.6,0.25,984.76,1,1.75,1,160.38,1,75.22,1,0.06,334.83,1
2005,2,28,NA,0.125,995.16,1,2.09,1,244.12,1,69.06,1,0.97,293,1
2005,3,1,-18.32,0.75,991.45,1,2.34,1,232,1,70.84,1,0.94,0.1,1
2005,3,2,-26.26,1,986.65,1,2.33,1,171.12,1,73.46,1,1.35,181.36,1
2005,3,3,-26.75,0.5,989.98,1,3.09,1,199.12,1,70.33,1,0.31,225,1
2005,3,4,-30.42,1,993.12,1,1.51,1,213.12,1,69.34,1,1.05,198.96,1
2005,3,5,-32.65,1,990.52,1,5.19,1,165.25,1,71.16,1,4.93,158.38,1
2005,3,6,-35.08,0.75,990.02,0.625,2.61,0.875,263.38,1,66.44,1,2.06,297.22,0.875
2005,3,7,-35.67,0.5,991.98,0.625,2.31,1,243.38,1,67.75,1,2.03,335.98,1
2005,3,8,-36.39,0.875,989.68,0.5,1.55,1,309.88,1,59.81,1,1.11,340.57,1
2005,3,9,-31.32,0.5,987.03,0.875,3.05,1,221.62,1,63.69,1,2.26,333.2,1
2005,3,10,-16.8,0.75,984.35,1,3.2,1,251.75,1,80.08,1,2.25,236.1,1
2005,3,11,-22.6,0.75,987.06,1,3.36,1,180.75,1,84.19,1,2.1,186.71,1
2005,3,12,-30.32,0.75,971.15,0.75,2.28,1,202.25,1,76.7,1,1.05,309.51,1
2005,3,13,-33.06,0.875,971.69,0.875,2.78,1,246,1,77.05,1,2.24,340.72,1
2005,3,14,-24.83,0.375,977.94,1,4.15,1,227.88,1,86.89,1,1.62,217.42,1
2005,3,15,-27.38,1,971.82,1,2.86,1,256.88,1,80.06,1,1.74,281.38,1
2005,3,16,-25.79,0.875,974.39,1,2.22,1,158.75,1,75.45,1,0.69,257.42,1
2005,3,17,-22.17,0.75,984.1,1,3.61,1,212,1,85.3,1,2.02,200.65,1
2005,3,18,-28.54,0.875,982.21,0.875,3.39,1,236.25,1,79.75,1,1.97,308.23,1
2005,3,19,-34.54,1,982.22,0.625,3.06,1,216.5,1,76.51,1,2.06,302.44,1
2005,3,20,-32.42,0.75,974.86,0.875,3.5,0.875,168.86,0.875,75.36,1,1.62,358.05,0.875
2005,3,21,-10.78,0.5,974.34,1,9.34,0.625,170.38,1,81.17,0.5,8.94,169.2,0.625
2005,3,22,-16.31,1,976.46,1,5.65,1,192.88,1,87.7,1,4.86,185.28,1
2005,3,23,-22.8,0.75,978.32,1,3.48,1,209.75,1,85.42,1,2.83,202.5,1
2005,3,24,-30.6,0.625,985.23,0.75,2.55,1,226.88,1,77.8,1,1.48,340.99,1
2005,3,25,-36.16,0.875,990.5,0.25,1.7,1,200.5,1,72.97,1,1.09,14.85,1
2005,3,26,-33.96,0.625,991.8,0.375,1.24,1,141.88,1,77.47,1,0.3,34.48,1
2005,3,27,-24.15,0.5,991.91,1,3.55,1,230.38,1,80.62,1,1.85,219.79,1
2005,3,28,-29.44,0.625,990.51,0.875,2.91,1,210.12,1,75.79,1,0.79,246.48,1
2005,3,29,-25.57,0.75,987.04,1,2.77,0.875,209.38,1,81.33,1,1.3,348.36,0.875
2005,3,30,-18.08,1,980.1,1,5.1,1,190.88,1,76.28,1,4.13,188.16,1
2005,3,31,-25.6,0.25,981.75,1,4.22,0.625,138.88,1,86.44,1,2.88,131.28,0.625
2005,4,1,-23.32,0.5,980.39,1,2.06,1,234.62,1,78.53,1,0.42,249.97,1
2005,4,2,-30.19,1,978,1,3.39,1,218.25,1,73.16,1,1.45,251.46,1
2005,4,3,NA,0.125,979.43,0.375,5.36,0.875,209.62,1,76.67,1,1.56,149.11,0.875
2005,4,4,-24.83,0.875,974.14,1,3.54,0.875,192.88,1,84.92,1,0.36,278.62,0.875
2005,4,5,-19.66,0.875,962.61,1,3.46,1,162,1,84.58,1,2.15,185.62,1
2005,4,6,-23.02,0.625,971.65,1,6.5,0.875,153.75,1,85.08,1,5.74,141.51,0.875
2005,4,7,-24.96,1,978.89,1,1.92,0.75,241.88,1,88.94,1,0.95,239.65,0.75
2005,4,8,-29.99,0.875,972.91,0.875,3.12,1,220,1,80.72,1,1.31,247.74,1
2005,4,9,-31.15,0.25,967.03,0.75,2.4,0.5,177,1,84.94,0.875,1.87,254.28,0.5
2005,4,10,-24.3,0.75,968.52,1,3.18,0.625,238.88,1,89.76,1,2.49,336.29,0.625
2005,4,11,-22.4,0.625,973.72,1,5.12,0.5,190,1,90.35,1,2.96,152.89,0.5
2005,4,12,-28.5,0.75,975,0.375,2.29,1,183.62,1,82.26,1,1.71,333.44,1
2005,4,13,NA,0.125,968.36,0.875,5.06,0.625,194.5,1,93.12,1,3.36,167.87,0.625
2005,4,14,-17.08,0.5,975.11,1,8.5,0.25,185.62,1,92.42,0.75,8.23,154.63,0.25
2005,4,15,-25.46,0.625,976.86,1,2.02,1,213.88,1,85.74,1,1.24,237.82,1
2005,4,16,-40.36,0.875,NA,0,1.04,1,132.5,1,67.25,1,0.48,124.13,1
2005,4,17,-42.6,1,NA,0,2.55,0.75,145.86,0.875,63.86,1,2.42,159.57,0.75
2005,4,18,-43.77,1,NA,0,2.33,1,266.25,1,62.04,1,1,336.37,1
2005,4,19,-47.26,1,NA,0,2.08,0.75,231.67,0.75,56.92,1,1.85,353.97,0.75
2005,4,20,-42.12,0.625,NA,0,1.59,0.875,151.86,0.875,62.15,1,0.73,19.54,0.875
2005,4,21,-49.45,1,NA,0,1.39,1,171.75,1,53.84,1,0.33,53.03,1
2005,4,22,-47.34,0.875,NA,0,2.8,0.75,161.75,1,57.3,1,1.68,140.78,0.75
2005,4,23,-44.44,0.875,NA,0,3.71,0.875,214,1,60.89,1,2.61,201.29,0.875
2005,4,24,-34.04,0.875,NA,0,2.4,0.75,259.33,0.75,74.74,1,1.83,310.14,0.75
2005,4,25,-30.35,1,977.27,0.75,2.86,1,205,1,80.08,1,1.35,265.75,1
2005,4,26,-30.38,0.625,983.37,0.875,3.14,0.875,261.57,0.875,79.81,1,2.21,344.22,0.875
2005,4,27,-29.63,0.875,989.12,1,3.46,1,208.25,1,79.74,1,1.29,327.88,1
2005,4,28,-34.9,1,989.95,0.25,2.83,1,106.5,1,75.05,1,1.35,124.9,1
2005,4,29,-32.86,0.875,997.6,0.25,4.69,1,173.5,1,77.3,1,4.56,172.63,1
2005,4,30,-29.31,1,980.98,1,2.36,1,260.5,1,81.88,1,1.75,304.11,1
2005,5,1,-23.88,0.625,973.91,1,5.7,0.5,168.88,1,91.12,1,4.13,171.16,0.5
2005,5,2,-18.5,0.375,958.61,1,8.55,0.25,167.25,1,94.04,0.625,6.32,130.49,0.25
2005,5,3,-28.4,0.75,973.76,0.625,3.57,0.75,162.25,1,82.16,1,1.54,141.19,0.75
2005,5,4,-29.47,0.875,979.65,0.5,3.65,1,240.75,1,81.99,1,0.95,359.01,1
2005,5,5,-26.45,0.75,970.51,1,3.02,1,223.12,1,86.66,1,1.3,278.88,1
2005,5,6,-17.24,0.625,974.06,1,8.18,0.625,178.5,1,93.49,0.875,7.98,177.59,0.625
2005,5,7,-20.6,0.75,975.39,1,2.69,0.875,164,1,89.26,1,1.78,187.67,0.875
2005,5,8,-17.9,0.625,974.7,1,6.28,0.625,183.12,1,92.62,1,5.08,184.34,0.625
2005,5,9,-19.42,0.5,980.05,1,3.04,1,187.5,1,88.97,1,1.74,162.47,1
2005,5,10,-19.07,0.75,982.51,1,3.99,1,195.12,1,83.75,1,2.41,183.58,1
2005,5,11,-23.46,0.625,979.89,1,3.02,1,191,1,80.9,1,0.28,242.68,1
2005,5,12,-21.07,0.75,983.59,1,4.44,0.875,157.62,1,79.61,1,2.5,159.07,0.875
2005,5,13,-31.4,0.375,984.85,0.5,2.82,0.75,134.62,1,81.61,1,0.29,81.87,0.75
2005,5,14,-30.27,0.75,996.5,0.375,3.23,0.75,241.57,0.875,77.88,1,1.94,307.31,0.75
2005,5,15,-28.05,0.5,993.64,0.625,5.29,1,189.5,1,78.97,1,3.55,206.43,1
2005,5,16,-22.6,0.75,983.88,1,4.65,1,187.88,1,81.72,1,3.15,144.37,1
2005,5,17,-11.05,0.25,974.5,0.75,6.02,0.75,209.88,1,76.07,0.75,3.96,175.83,0.75
2005,5,18,-16.42,0.5,980.24,1,5.19,0.875,192,1,84.85,1,2.95,176.52,0.875
2005,5,19,-20.09,1,981,1,3.72,1,215,1,88.33,1,0.91,200.61,1
2005,5,20,-26.69,0.875,974.6,1,2.96,0.875,276.14,0.875,80.78,1,0.89,351.22,0.875
2005,5,21,-42.18,0.625,NA,0,1.57,1,195.75,1,66.99,1,0.91,321.93,1
2005,5,22,-35.88,0.5,NA,0,3.25,0.5,240.88,1,77.5,1,3.11,299.32,0.5
2005,5,23,-42.4,0.875,NA,0,2.17,0.875,194.71,0.875,63.73,1,0.41,38.32,0.875
2005,5,24,-43.78,0.75,NA,0,1.56,1,192,1,62.86,1,1.34,197.46,1
2005,5,25,-43.3,0.75,NA,0,1.16,1,197.38,1,61.8,1,1.11,192.32,1
2005,5,26,-31.64,0.625,NA,0,2.11,1,255.5,1,76.49,1,1.76,250.66,1
2005,5,27,-27.86,0.625,997.95,0.25,2.19,1,221,1,81.97,1,1.04,233.45,1
2005,5,28,-22.34,0.875,998.52,1,7.68,0.75,167.25,1,91.72,1,7.46,166.73,0.75
2005,5,29,-26.02,0.625,988.65,1,5.66,0.875,171.88,1,82.78,1,4.61,160.14,0.875
2005,5,30,-39.11,1,NA,0,2.56,1,185.12,1,69.15,1,1.2,199.93,1
2005,5,31,-39.52,0.75,NA,0,4.68,1,259.12,1,69.12,1,2.49,316.02,1
2005,6,1,-39.9,1,NA,0,2.66,1,182.12,1,67.09,1,0.86,24.75,1
2005,6,2,-45.9,0.5,NA,0,1.54,0.875,208.86,0.875,60.76,1,0.49,344.93,0.875
2005,6,3,-44.96,1,NA,0,2.29,0.875,176.29,0.875,60.11,1,1.03,111.51,0.875
2005,6,4,-44.88,1,NA,0,2.73,0.875,202,0.875,60.01,1,1.97,177.78,0.875
2005,6,5,-48.12,1,NA,0,1.94,1,201.75,1,55.44,1,1.55,338.05,1
2005,6,6,-52.06,1,NA,0,1.77,1,209.5,1,49.61,1,1.19,338.23,1
2005,6,7,-51.41,0.875,NA,0,2.72,1,229.5,1,50.69,1,1.03,295.57,1
2005,6,8,-45.67,0.375,NA,0,2.69,1,251.5,1,58.12,1,1.44,239.3,1
2005,6,9,-32.47,0.375,981.67,0.375,5.07,0.75,180.5,1,73.25,1,1.03,179.25,0.75
2005,6,10,-40.94,0.875,NA,0,2.41,1,160.62,1,65.79,1,0.57,351.79,1
2005,6,11,-37.3,0.625,NA,0,2.26,1,212.12,1,70.45,1,1.17,312.6,1
2005,6,12,-20.6,0.625,982.39,0.875,3.9,0.375,172.62,1,92.61,1,3.73,183.14,0.375
2005,6,13,-23.63,0.375,980.92,1,4.73,0.75,137.5,1,85.64,1,2.26,123.72,0.75
2005,6,14,-39.88,0.625,NA,0,2.29,1,141.5,1,68.99,1,0.67,20.59,1
2005,6,15,-38.12,0.75,NA,0,1.77,1,212.12,1,70.45,1,0.4,252.13,1
2005,6,16,-34.52,0.5,NA,0,2.36,1,207.38,1,74.04,1,0.48,301.72,1
2005,6,17,-45.84,0.875,NA,0,2.04,1,166.5,1,59.19,1,1.48,158.78,1
2005,6,18,-47.93,0.875,NA,0,2.6,0.75,270.67,0.75,56.8,1,2.47,326.62,0.75
2005,6,19,-51.95,0.5,NA,0.125,1.77,0.875,205.88,1,62.23,0.875,0.81,281.95,0.875
2005,6,20,-8.44,0.875,982.18,1,16.93,0.375,157.75,1,NA,0,16.32,151.62,0.375
2005,6,21,-14.42,0.625,983.15,1,5.12,0.5,96.62,1,93.06,0.625,3.74,135.3,0.5
2005,6,22,-18.61,0.875,984.11,1,10.83,0.75,154.88,1,96.24,0.875,10.55,156.85,0.75
2005,6,23,-18.57,0.875,975.54,1,11.78,0.5,189.5,1,93.72,1,11.69,163.6,0.5
2005,6,24,-21.02,0.75,997.1,1,13.92,0.625,175,1,90.14,1,12.59,168.18,0.625
2005,6,25,-24,0.75,978.69,1,3.56,0.875,229.38,1,77.47,1,2.21,241.59,0.875
2005,6,26,-23.29,1,993.24,1,3.85,0.75,172.12,1,91.01,1,3.68,164.04,0.75
2005,6,27,-30.1,0.75,990.54,0.875,3.59,0.875,277.5,1,78.8,1,2.53,307.82,0.875
