Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,12,NA,0,967.81,0.875,4.58,0.75,209.67,0.75,78.12,0.75,4.56,209.03,0.75
2011,1,13,NA,0,968.6,1,1.36,0.875,151.75,1,65.81,1,0.8,172.69,0.875
2011,1,14,NA,0,976.41,1,1.34,1,154.62,1,68.88,1,0.73,171.03,1
2011,1,15,NA,0,974.92,1,3.6,0.875,126,1,79.26,1,1.51,160.49,0.875
2011,1,16,NA,0,977.68,1,2.25,1,128.38,1,75.33,1,1.65,123.02,1
2011,1,17,NA,0,981.65,1,1.94,1,113.75,1,77.72,1,1.65,109.73,1
2011,1,18,NA,0,980.2,1,1.21,1,129.75,1,81.47,1,0.34,295.89,1
2011,1,19,-4.73,0.375,975.41,1,1.93,0.75,187.25,1,84,1,1.51,228.03,0.75
2011,1,20,-5.79,1,970.48,1,5.44,0.875,189.62,1,77.09,1,5.29,191.38,0.875
2011,1,21,-4.62,0.625,968.04,1,1.89,0.875,174.57,0.875,73.97,1,1.72,212.37,0.875
