Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,1,8,-5.74,0.625,911.44,0.875,3.86,0.875,150.43,0.875,65.2,0.875,2.38,97.53,0.875
2013,1,9,-4.46,0.625,910.9,1,3.23,0.875,126.38,1,56.55,1,2.55,116.43,0.875
2013,1,10,NA,0.125,906.5,1,1.35,1,172.75,1,68.45,1,0.59,60.32,1
2013,1,11,-3.5,0.625,906.76,1,2.66,1,177.38,1,48.39,1,1.77,151.59,1
2013,1,12,NA,0.125,910.7,1,1.32,1,172.25,1,77.24,1,0.86,6.93,1
2013,1,13,-4.86,0.625,916.26,1,2.74,0.875,239.38,1,85.84,1,1.5,354.1,0.875
2013,1,14,1.59,0.875,916.24,1,3.12,1,103.12,1,44.74,1,2.95,105.94,1
2013,1,15,0.88,0.75,909.49,1,3.34,1,142.25,1,44.15,1,2.78,102.4,1
2013,1,16,0.12,0.75,904.5,1,2.74,1,147,1,47.75,1,1.23,66.94,1
2013,1,17,-3.94,0.625,910.58,1,2.16,1,156.75,1,80.36,1,0.88,6.81,1
2013,1,18,-5.36,0.875,911.7,1,3.42,1,181.38,1,82.08,1,1.51,31.31,1
2013,1,19,-5.67,0.375,908.16,1,2.31,1,157.5,1,79.21,1,1.49,92.17,1
2013,1,20,-7.59,0.875,902.02,1,5,0.875,116.75,1,63.17,1,4.42,122.68,0.875
2013,1,21,-8.74,0.875,903.5,1,8.92,0.5,90.25,1,68.3,1,8.6,96.16,0.5
2013,1,22,-8.9,1,908.39,1,9.57,0.875,116.88,1,68.19,1,9.39,82.75,0.875
2013,1,23,-6.32,1,906.12,1,4.6,1,201.62,1,93.08,1,3.65,15.4,1
2013,1,24,-5.25,0.5,909.75,1,2.38,1,252.88,1,94,1,2.24,327.23,1
2013,1,25,-7.07,0.375,913.35,1,2.36,0.625,244.5,1,92.78,1,1.31,339.44,0.625
2013,1,26,-6.24,0.875,900.9,1,6.45,0.25,150.62,1,91.06,1,6.32,97.22,0.25
2013,1,27,-8.64,1,890.82,1,12.12,0.75,84.62,1,81.61,1,12.08,83.74,0.75
