Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2016,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,18,-17.3,0.375,803.83,0.75,2.75,0.75,79.83,0.75,68.55,0.75,2.66,80.85,0.75
2016,1,19,-9.92,0.625,801.95,1,2.81,1,63.75,1,80.15,1,2.71,63.66,1
2016,1,20,-11.94,0.875,800.35,1,5.46,1,68.5,1,81,1,5.23,67.17,1
2016,1,21,-12.89,1,801.09,1,5.06,1,107.88,1,77.14,1,4.66,108.23,1
2016,1,22,NA,0.125,798.58,1,1.23,0.875,181.43,0.875,76.54,1,0.77,358.13,0.875
2016,1,23,-14.15,0.75,797.56,1,2.33,0.875,224.43,0.875,80.22,1,1.62,345.21,0.875
2016,1,24,-12.28,0.625,802.35,1,2.56,1,134.62,1,82.5,1,1.87,35.07,1
2016,1,25,-18.67,0.75,804.14,1,2.5,1,92.38,1,74.74,1,2.32,90.6,1
2016,1,26,-18.64,0.625,802.01,1,3.46,1,92,1,75.33,1,3.32,93.07,1
2016,1,27,-17.92,1,801.72,1,6.46,1,77.38,1,73.16,1,6.32,74.87,1
2016,1,28,-17.56,1,806.61,1,4.72,1,71,1,76.55,1,4.63,67.75,1
2016,1,29,-17.15,1,805.45,1,5.14,0.875,118.88,1,73.2,1,5.13,122.67,0.875
2016,1,30,-20.18,0.75,795.25,1,5.31,1,118.38,1,70.09,1,5.27,118.92,1
2016,1,31,-22.15,0.5,791.34,1,3.94,1,113.75,1,72.21,1,3.84,111.91,1
2016,2,1,-18.23,0.75,791.65,1,3.82,0.75,50.88,1,77.35,1,3.72,47.75,0.75
2016,2,2,-17.14,1,798.18,1,7.47,0.875,37.75,1,79.51,1,7.41,39.63,0.875
2016,2,3,-19.84,1,795.94,1,10.15,1,107.25,1,76.24,1,9.96,108.76,1
2016,2,4,-21.6,1,789.2,1,11.32,1,101.5,1,75.75,1,11.32,101.56,1
2016,2,5,-19.99,1,793.41,1,8.76,0.875,97.62,1,74.67,1,8.47,101.89,0.875
2016,2,6,-18.73,1,800.16,1,5.22,1,59.38,1,77.42,1,5.17,59.49,1
2016,2,7,-18.51,0.875,795.41,1,8,1,98.75,1,76.9,1,7.64,100.65,1
2016,2,8,-20.91,1,790.46,1,9.56,1,110.75,1,75.28,1,9.55,110.73,1
2016,2,9,-20.77,0.875,797.45,1,6.99,1,98.88,1,74.38,1,6.7,100.08,1
2016,2,10,-23.7,0.625,801.58,1,5.99,1,97.75,1,74.7,1,5.78,98.01,1
2016,2,11,-21.28,0.625,798.89,1,6.11,1,93,1,74.91,1,5.78,92,1
2016,2,12,-22.18,0.625,802.02,1,5.6,1,105.62,1,73.85,1,5.33,105.66,1
2016,2,13,-23.63,0.75,799.86,1,5.76,1,106.88,1,72.54,1,5.6,110.93,1
2016,2,14,-19.34,1,797.9,1,4.45,1,67.12,1,77.56,1,4.24,67.35,1
2016,2,15,-19.23,0.875,795.21,1,3.28,1,64.25,1,78.61,1,3.05,64.83,1
2016,2,16,-19.99,0.875,790.28,1,4.46,1,51.75,1,78.64,1,4.21,48.31,1
2016,2,17,-21.45,1,787.18,1,5.88,1,43.5,1,76.85,1,5.84,43.79,1
2016,2,18,-25.45,1,784.1,1,7.44,1,63.38,1,72.9,1,7.31,63.52,1
2016,2,19,-26.16,0.875,785.18,1,6.7,1,92,1,71.9,1,6.16,92.81,1
2016,2,20,-26.74,0.875,792.62,1,5.58,1,99.12,1,72.67,1,5.46,100.7,1
2016,2,21,-22.92,1,790,1,8.61,0.875,109.62,1,75.53,1,8.56,113.95,0.875
2016,2,22,-21.51,1,791.52,1,6.25,1,55.38,1,77.26,1,6.2,55.42,1
2016,2,23,-23.8,0.375,795.45,1,2.67,0.875,95.14,0.875,72.01,1,2.53,83.52,0.875
2016,2,24,-31.76,0.625,805.08,1,3.05,1,131.12,1,69.25,1,3.03,130.99,1
2016,2,25,-26.43,0.75,805.12,1,7.19,1,94.88,1,73.21,1,6.8,95.38,1
2016,2,26,-18.75,1,805.09,1,6.26,1,102.88,1,79.25,1,5.55,101.95,1
2016,2,27,-23.52,1,806.6,1,6.99,1,116,1,75.22,1,6.69,116.21,1
2016,2,28,-25.79,1,802.71,1,7.51,1,120.38,1,72.26,1,7.49,120.4,1
2016,2,29,-21.83,0.375,798.71,1,8.64,1,96.12,1,73.49,1,8.16,92.26,1
2016,3,1,-21.6,0.875,797.7,1,9.1,1,71.25,1,76.69,1,8.5,69.96,1
2016,3,2,-24.06,0.875,797.84,1,7.94,1,74,1,76.36,1,6.95,73.52,1
2016,3,3,-22.1,1,785.8,1,7.6,1,82.62,1,76.22,1,7.25,83.54,1
2016,3,4,-26.8,1,791.58,1,4.14,1,64.88,1,73.88,1,4.09,60.17,1
2016,3,5,-21.79,1,795.65,1,1.73,0.875,179.57,0.875,77.28,1,1.44,176.79,0.875
2016,3,6,-27.4,0.75,795.04,1,3.19,1,144.38,1,72.59,1,2.69,126.19,1
2016,3,7,-28.97,0.75,795.89,1,2.5,1,124.88,1,71.6,1,2.49,125.13,1
2016,3,8,-24.3,0.75,796.69,1,4.16,1,116.12,1,73.83,1,4.08,114.42,1
2016,3,9,-29.48,0.75,798.86,1,5.32,1,114.12,1,71.06,1,5.25,114.38,1
2016,3,10,-29.77,1,797.56,1,6.12,1,117.25,1,70.72,1,6.12,117.28,1
2016,3,11,-33.15,0.75,793.25,1,3.28,1,137,1,68.14,1,3.19,133.59,1
