Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,2,9,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2013,2,10,5.58,0.625,956.85,1,3.94,0.625,181.43,0.875,66.71,1,3.2,295.7,0.625
2013,2,11,7.1,0.75,959.51,1,10.23,0.375,223,1,62.25,1,8.31,239.62,0.375
2013,2,12,5.7,0.25,956.93,1,1.87,0.75,286.13,1,82.63,1,1.34,337.93,0.75
2013,2,13,11.74,0.625,940.84,1,2.43,0.375,291.88,1,84.51,1,2.19,336.19,0.375
2013,2,14,5.86,0.875,939.03,1,11.7,0.25,226.75,1,60.2,1,11.69,322.26,0.25
2013,2,15,0.08,0.5,962.01,1,1.57,0.875,194.43,0.875,90.8,1,0.51,331.98,0.875
2013,2,16,9.7,0.375,954.1,1,2.18,0.5,249.88,1,62.5,1,1.63,290.79,0.5
2013,2,17,5.57,0.375,959.41,1,2.57,0.875,196.38,1,67.8,1,2.05,267.14,0.875
2013,2,18,3.62,0.625,946.75,1,2.64,0.875,197.88,1,83.14,1,1.01,279.52,0.875
2013,2,19,3.1,1,947.94,1,5.47,0.75,306.13,1,75.19,1,4.5,298.56,0.75
2013,2,20,0.56,0.875,941.85,1,3.7,0.5,266.57,0.875,75.21,1,3.54,246.63,0.5
2013,2,21,-0.59,1,948.71,1,5.57,0.5,267.63,1,70.63,1,4.56,275.54,0.5
2013,2,22,-0.14,0.875,960.2,1,3.5,0.5,226.13,1,65.39,1,2.67,257.58,0.5
2013,2,23,1.71,1,962.84,1,7.98,0.5,228.63,1,61.35,1,3.83,280.67,0.5
2013,2,24,3.74,0.875,958.21,1,8.34,0.625,264.5,1,57.74,1,7.1,253.81,0.625
2013,2,25,0.33,0.5,967.05,1,1.58,0.75,130.38,1,85.3,1,1.19,6.48,0.75
