Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2007,4,1,-27.05,1,786.71,1,4.45,1,34.12,1,86.45,1,4.43,34.41,1
2007,4,2,-28.88,0.75,787.06,1,5.7,0.75,84.25,1,82.56,1,5.47,46.67,0.75
2007,4,3,-31.95,1,784.68,1,5.59,1,66.25,1,81.06,1,5.51,20.96,1
2007,4,4,-33.47,0.875,785.81,1,6.49,1,140,1,79.16,1,6.44,4.14,1
2007,4,5,-35.53,0.375,786.58,1,4.75,1,25.75,1,76.12,1,4.65,23.27,1
2007,4,6,-37.43,0.75,783.1,1,2.05,1,57.12,1,73.62,1,1.99,58.76,1
2007,4,7,-33.61,1,783.9,1,3.83,1,35.88,1,78.7,1,3.8,36.26,1
2007,4,8,-32,0.75,784.6,1,4.12,1,13.62,1,80.47,1,4.07,12.87,1
2007,4,9,-32.56,0.875,784.42,1,4.97,1,138.25,1,80.67,1,4.82,1.63,1
2007,4,10,-25.86,1,784.24,1,4.24,1,318.12,1,83.05,1,4.12,320.37,1
2007,4,11,-23.67,0.375,785.35,1,5.24,1,322.88,1,90.96,1,4.75,324.68,1
2007,4,12,-24.31,1,792.52,1,3.1,1,306.12,1,90.45,1,2.99,302.84,1
2007,4,13,-24.66,0.875,790.64,1,2.67,1,273.25,1,89.94,1,2.05,276.27,1
2007,4,14,-26.39,1,791.36,1,2.67,1,291.12,1,87.76,1,2.41,285.84,1
2007,4,15,-33,0.75,787.5,1,2.9,1,305,1,83.36,1,2.85,305.88,1
2007,4,16,-25.36,0.625,775.64,1,6,0.625,335.25,1,91.3,0.875,5.79,332.68,0.625
2007,4,17,-20.63,0.375,777.09,1,6.56,1,164.38,1,91.24,0.875,4.22,347.1,1
2007,4,18,-22.57,0.875,772.21,1,7.82,1,55.25,1,92.12,1,7.77,10.21,1
2007,4,19,-24.46,0.625,776.54,1,4.03,1,254.75,1,85.33,1,1.85,287.34,1
