Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1990,1,1,-17.83,0.875,715.79,0.875,6.19,0.875,205.93,0.875,NA,0,6.12,204.92,0.875
1990,1,2,-20.07,0.5,714.09,1,7.07,1,203.62,1,NA,0,6.64,201.54,1
1990,1,3,-18.73,0.625,709.88,0.75,8.17,0.75,169.17,0.75,NA,0,7.63,166.43,0.75
1990,1,4,-19.93,0.625,705.48,0.75,8.3,0.75,169.5,0.75,NA,0,8.07,168.21,0.75
1990,1,5,-20.3,0.875,707.69,0.875,7.6,0.875,165.86,0.875,NA,0,7.53,164.96,0.875
1990,1,6,-21.43,0.75,706.37,0.75,4.47,0.75,174.67,0.75,NA,0,3.88,176.72,0.75
1990,1,7,-21.57,1,703.98,1,3.97,1,169.31,1,NA,0,3.75,166.75,1
1990,1,8,-22.31,0.625,701.72,0.625,5.13,0.625,191.1,0.625,NA,0,4.6,194.94,0.625
1990,1,9,-20.19,0.625,703.96,0.875,2.79,0.875,172.14,0.875,NA,0,2.64,166.05,0.875
1990,1,10,-20.9,0.5,708.46,0.875,2.74,0.875,199.43,0.875,NA,0,2.46,196.87,0.875
1990,1,11,-24.44,0.5,709.93,0.875,4.86,0.875,206.14,0.875,NA,0,4.61,203.29,0.875
1990,1,12,-19.05,0.625,710.74,0.625,5.74,0.625,148.6,0.625,NA,0,5.18,142.42,0.625
1990,1,13,-19.72,0.25,711.63,0.375,5.83,0.375,185,0.375,NA,0,5.43,185.08,0.375
1990,1,14,NA,0,719.64,0.625,1.02,0.625,181,0.625,NA,0,0.91,182.65,0.625
1990,1,15,-20.03,0.625,713.16,0.625,7.73,0.375,198,0.625,NA,0,7.73,181.89,0.375
1990,1,16,-18.78,0.5,722.87,0.75,3.62,0.75,191.17,0.75,NA,0,3.19,181.53,0.75
1990,1,17,-17.47,0.5,726.4,0.5,5.15,0.5,182.75,0.5,NA,0,5.11,182.16,0.5
1990,1,18,-18.97,0.5,724.07,0.75,5.7,0.75,217.5,0.75,NA,0,5.11,217.77,0.75
1990,1,19,-20.22,0.5,721.64,0.875,5.29,0.875,230.14,0.875,NA,0,5.04,227.26,0.875
1990,1,20,-22.26,0.25,716.78,0.5,3.98,0.5,181.75,0.5,NA,0,3.84,178.93,0.5
1990,1,21,-22.31,0.5,714.75,0.5,5.7,0.5,192,0.5,NA,0,5.57,192.39,0.5
1990,1,22,-21.42,0.5,711.72,0.75,5.88,0.75,220.67,0.75,NA,0,5.71,220.55,0.75
1990,1,23,-25.45,0.5,708.6,0.5,5.22,0.5,232.5,0.5,NA,0,4.89,232.41,0.5
1990,1,24,-26.65,0.625,705.94,0.875,4.83,0.875,202.29,0.875,NA,0,4.01,192.01,0.875
1990,1,25,-28.31,0.5,706.96,0.625,6.32,0.625,250.4,0.625,NA,0,6.22,248.66,0.625
1990,1,26,-23.96,0.5,703.8,0.5,5.4,0.5,206.5,0.5,NA,0,4.93,207.69,0.5
1990,1,27,-24.17,0.625,700.87,0.875,4.2,0.875,196.43,0.875,NA,0,3.7,187.83,0.875
1990,1,28,-26.89,0.625,701.34,1,5.45,1,241.62,1,NA,0,5.01,238.33,1
1990,1,29,-29.26,0.25,703.8,0.5,7,0.5,262.25,0.5,NA,0,7,262.33,0.5
1990,1,30,NA,0.125,707.37,0.375,6.63,0.375,253.67,0.375,NA,0,6.63,253.81,0.375
1990,1,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,2,1,-22.02,0.25,702.13,0.375,6.7,0.375,224,0.375,NA,0,6.38,224.15,0.375
1990,2,2,-28.2,0.625,699.2,0.875,8.71,0.875,227.86,0.875,NA,0,8.23,226.43,0.875
1990,2,3,-30.27,0.5,698.19,1,7.9,1,232.62,1,NA,0,7.81,231.68,1
1990,2,4,-26.02,0.25,705.73,0.75,3.2,0.75,206.33,0.75,NA,0,2.73,206.72,0.75
1990,2,5,-25.28,0.375,709.23,0.75,2.87,0.75,221.33,0.75,NA,0,2.59,220.41,0.75
1990,2,6,-30.33,0.375,707.02,0.625,7.4,0.625,243.2,0.625,NA,0,7.33,242.59,0.625
1990,2,7,-29.92,0.25,698.48,0.5,8.5,0.5,227,0.5,NA,0,8.27,226.5,0.5
1990,2,8,-28.84,0.375,696.98,0.625,6.7,0.625,204.8,0.625,NA,0,6.61,207.09,0.625
1990,2,9,-27.31,0.5,700.64,0.625,5.6,0.625,198.4,0.625,NA,0,5.31,196.78,0.625
1990,2,10,-24.8,0.75,702.2,0.875,6.11,0.875,174.43,0.875,NA,0,5.79,175.6,0.875
1990,2,11,-28.86,0.875,702.18,1,7.68,1,235.88,1,NA,0,7.34,236.64,1
1990,2,12,-31.47,0.5,704.95,1,6.41,1,256.31,1,NA,0,6.37,255.53,1
1990,2,13,-28.59,0.5,709.68,0.75,6.28,0.75,173.17,0.75,NA,0,5.25,158.26,0.75
1990,2,14,-26.39,0.5,708.1,0.5,8.72,0.5,157.25,0.5,NA,0,8.63,157.23,0.5
1990,2,15,-30.02,0.625,707.92,0.75,7.27,0.75,197.67,0.75,NA,0,7.14,197.3,0.75
1990,2,16,-30.97,0.625,705.06,1,7.18,1,212.62,1,NA,0,6.76,211.56,1
1990,2,17,-31.3,0.375,705.25,0.5,6.08,0.5,210.25,0.5,NA,0,6.01,209.9,0.5
1990,2,18,-33.29,0.5,705.75,0.5,8.07,0.5,211.25,0.5,NA,0,7.96,212.04,0.5
1990,2,19,-29.78,0.625,707.53,1,8.2,1,201.12,1,NA,0,8,201.62,1
1990,2,20,-29.83,0.75,704.14,1,8.05,1,200.12,1,NA,0,7.91,200.04,1
1990,2,21,-30.51,0.75,705.07,0.75,7.48,0.75,214,0.75,NA,0,7.24,211.83,0.75
1990,2,22,-29.72,0.75,706.96,1,5.12,1,229.75,1,NA,0,4.76,234.86,1
1990,2,23,-31.57,0.625,703.7,0.75,7.12,0.75,247.83,0.75,NA,0,7.05,246.4,0.75
1990,2,24,-32.49,0.5,700.5,0.75,7.75,0.75,250.83,0.75,NA,0,7.72,250.23,0.75
1990,2,25,-38.17,0.375,706.97,0.75,6.22,0.75,248.33,0.75,NA,0,6.14,248.58,0.75
1990,2,26,-34.19,0.375,700.47,0.75,7.53,0.75,196.83,0.75,NA,0,7.06,199.48,0.75
1990,2,27,-36.68,0.375,695.28,0.5,9.18,0.5,250.25,0.5,NA,0,9.14,250.24,0.5
1990,2,28,-36.93,0.625,703.66,0.625,5.46,0.625,236.8,0.625,NA,0,5.19,235.89,0.625
1990,3,1,-33.8,0.375,706.3,0.625,5.86,0.625,251,0.625,NA,0,5.86,250.96,0.625
1990,3,2,-38.45,0.375,709.68,0.625,5.68,0.625,256,0.625,NA,0,5.66,255.61,0.625
1990,3,3,-39.82,0.375,709.68,0.5,4.32,0.5,233.25,0.5,NA,0,3.8,244.83,0.5
1990,3,4,-30.48,0.5,709.63,0.5,5.95,0.5,172.5,0.5,NA,0,5.94,172.88,0.5
1990,3,5,-30.49,0.625,699.32,0.625,10.02,0.625,209.6,0.625,NA,0,9.99,209.43,0.625
1990,3,6,-28.53,0.375,706.83,0.375,4.33,0.375,196.33,0.375,NA,0,4.33,197.19,0.375
1990,3,7,-30.31,0.625,711.31,1,6.55,1,225.38,1,NA,0,6.38,227.55,1
1990,3,8,-33.85,0.875,710.03,1,10.62,1,228.88,1,NA,0,10.5,229.57,1
1990,3,9,-36.01,0.625,706.08,0.625,12.18,0.625,211.8,0.625,NA,0,11.91,210.74,0.625
1990,3,10,-34.19,0.875,704.6,0.875,11.96,0.875,210.29,0.875,NA,0,11.81,209.67,0.875
1990,3,11,-34.39,0.625,705.32,0.625,10.5,0.625,226,0.625,NA,0,10.33,224.76,0.625
1990,3,12,-37.69,0.625,703.9,0.75,9.67,0.75,243.5,0.75,NA,0,9.65,243.38,0.75
1990,3,13,-41.99,1,703.38,1,9.65,1,242.25,1,NA,0,9.58,242.17,1
1990,3,14,-44.08,0.875,698.59,0.875,8.99,0.875,NA,0,NA,0,NA,NA,0
1990,3,15,-43.65,0.625,690.3,0.75,8.82,0.75,NA,0,NA,0,NA,NA,0
1990,3,16,-45.27,1,691.54,1,8.92,1,NA,0,NA,0,NA,NA,0
1990,3,17,-46.09,0.75,696.66,1,8.34,1,NA,0,NA,0,NA,NA,0
1990,3,18,-47.02,0.875,697.56,0.875,8.57,0.875,NA,0,NA,0,NA,NA,0
1990,3,19,-48.08,0.75,694.93,0.875,9.04,0.875,NA,0,NA,0,NA,NA,0
1990,3,20,-48.16,0.375,698.03,0.5,7.03,0.5,NA,0,NA,0,NA,NA,0
1990,3,21,-48.41,0.5,694.25,0.5,7.65,0.5,NA,0,NA,0,NA,NA,0
1990,3,22,-48.04,0.75,691.05,0.75,9.73,0.75,NA,0,NA,0,NA,NA,0
1990,3,23,-46.35,0.5,702.33,0.5,5.58,0.5,NA,0,NA,0,NA,NA,0
1990,3,24,-43.05,0.5,702.28,0.75,7.4,0.75,NA,0,NA,0,NA,NA,0
