Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,2,1,NA,0.125,998.95,1,1.4,0.75,172.33,0.75,59.88,1,0.78,33.05,0.75
2000,2,2,-12.2,0.375,996.69,1,2.96,1,144,1,69.62,1,2.2,165.25,1
2000,2,3,-15.3,0.875,993.65,1,6.07,0.875,181.12,1,76.62,1,5.96,177.45,0.875
2000,2,4,-14.97,0.5,994.15,1,2.86,0.875,146.88,1,72.25,1,1.83,12.89,0.875
2000,2,5,-12.03,0.375,992.98,1,2.61,1,137,1,68,1,0.72,180.96,1
2000,2,6,-10.3,0.75,989.09,1,3.3,1,95.38,1,72.25,1,2.84,97.04,1
2000,2,7,-12.03,0.5,984.19,1,3.98,1,189.25,1,75,1,3.82,191.93,1
2000,2,8,-14.42,0.75,984.08,1,3.6,1,201.88,1,78.38,1,3.53,202.38,1
2000,2,9,NA,0.125,986.04,1,1.48,1,137.88,1,70.75,1,1.4,141.81,1
2000,2,10,-15.2,0.875,990.71,1,8.38,1,186,1,83.62,1,8.18,190.1,1
2000,2,11,-12.76,1,991.76,1,14.1,0.875,189.75,1,91,1,14.03,190.35,0.875
2000,2,12,-12.04,1,990.07,1,10,1,192.38,1,86.75,1,9.89,192.88,1
2000,2,13,-11.13,0.75,983.78,1,3.6,1,71.75,1,80.12,1,3.02,55.39,1
2000,2,14,-13.21,1,982.06,1,5.09,1,133.25,1,84,1,4.3,142.12,1
2000,2,15,-14.53,1,983.74,1,5.71,1,137.12,1,86.12,1,5.51,137.59,1
2000,2,16,-13.97,1,987.62,1,5.36,1,132.75,1,83.38,1,5.35,132.6,1
2000,2,17,-15.24,0.875,984.9,1,5.51,1,155.12,1,83.25,1,5.09,151.68,1
2000,2,18,-18.36,0.875,973.9,1,5.18,1,121.12,1,76,1,4.23,125.16,1
2000,2,19,-18.6,1,971.36,1,11.52,0.75,194.75,1,85.5,1,11.33,194.02,0.75
2000,2,20,-15.83,0.875,974.5,1,5.4,0.875,189.88,1,73.38,1,3.75,195.85,0.875
2000,2,21,-17.19,1,973.04,1,5.58,1,160.25,1,81,1,5.17,165.19,1
2000,2,22,-17.5,1,977.82,1,8.37,0.75,194.62,1,84.5,1,8.33,192.84,0.75
2000,2,23,-17.96,1,987.39,1,6.54,0.875,176,1,77.75,1,6.3,176.99,0.875
2000,2,24,-18.11,1,985.26,1,7.24,0.625,186.75,1,76.38,1,6.92,180.95,0.625
2000,2,25,-20.66,0.625,973.85,1,2.09,0.875,107.38,1,68.12,1,0.75,102.78,0.875
2000,2,26,-11.16,0.625,967.5,1,4.3,0.625,213,1,74,1,3.34,225,0.625
2000,2,27,-14.94,0.875,972.3,1,4.29,0.875,166,1,70.75,1,4.08,156.74,0.875
2000,2,28,-14.71,0.875,980.72,1,3.4,0.375,156.62,1,78.88,1,3.09,152.58,0.375
2000,2,29,-17.58,0.75,978.14,1,2.73,0.75,35.17,0.75,84,1,2.61,38,0.75
2000,3,1,-18.02,1,978.69,1,3.9,1,138.88,1,78.38,1,3.4,150.78,1
2000,3,2,-18.46,0.875,983.94,1,5.81,1,172,1,80,1,5.53,172.9,1
2000,3,3,-19.88,0.75,984.55,1,6.15,1,175.62,1,78.75,1,5.93,178.19,1
2000,3,4,-20.68,0.75,985.45,1,3.66,0.875,156.25,1,82.12,1,3.37,159.21,0.875
2000,3,5,-22.7,0.75,990.98,1,2.31,0.875,152.14,0.875,74.12,1,1.82,135.58,0.875
2000,3,6,-24.46,0.625,991.42,1,6.3,0.5,175.12,1,76.12,1,6.06,164.69,0.5
2000,3,7,-19.42,1,981.81,1,13.46,0.625,200.25,1,76.62,1,13.37,203.44,0.625
