Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,12,-13.53,0.375,863.37,0.375,4.6,0.375,189,0.375,77.23,0.375,4.57,190.75,0.375
2009,12,13,-14.99,1,860.78,1,6.94,1,200.5,1,78,1,6.67,201.07,1
2009,12,14,-12.6,1,858.18,1,6.99,1,179.5,1,81.86,1,6.82,179.65,1
2009,12,15,-11.05,1,859.04,1,9.2,0.875,161.25,1,87.01,1,8.95,164.27,0.875
2009,12,16,-10.03,1,862.93,1,11.07,0.875,147.88,1,89.91,1,10.71,145.92,0.875
2009,12,17,-10.4,1,859.18,1,13.19,0.875,135.12,1,89.48,1,13.07,135.49,0.875
2009,12,18,-8.74,1,860.06,1,8.16,1,147.25,1,89.06,1,7.9,145.24,1
2009,12,19,-8.4,1,861.14,1,5.56,1,163.12,1,80.3,1,5.12,167.4,1
2009,12,20,-10.91,0.875,859.74,1,6.8,0.875,206.12,1,78.7,1,6.75,206.44,0.875
2009,12,21,-11.1,0.625,861.07,1,6.06,1,203,1,77.05,1,5.76,202.95,1
2009,12,22,-9.61,1,861.27,1,5.39,1,139.5,1,86.49,1,4.47,140.25,1
2009,12,23,-8.6,1,863.55,1,6.09,1,120.88,1,91.24,1,5.99,117.16,1
2009,12,24,-10.04,1,866.1,1,6.09,1,184.38,1,84.11,1,5.86,189.15,1
2009,12,25,-10.35,0.75,869.34,1,6.36,1,168.75,1,79.48,1,5.56,167.45,1
2009,12,26,-10.33,1,869.47,1,5.78,1,138.75,1,86.5,1,4.83,131.18,1
2009,12,27,-10.17,1,869.01,1,7.31,0.875,132.88,1,89.06,1,6.96,135,0.875
2009,12,28,-15.23,0.5,872.54,0.875,6.82,0.75,207.14,0.875,76.44,0.875,6.54,214.63,0.75
2009,12,29,-12.07,0.875,875.24,1,4.18,1,195.88,1,84.97,1,2.7,196.64,1
2009,12,30,-9.23,0.75,876.98,1,3.58,1,332.5,1,88.18,1,3.4,331.51,1
2009,12,31,-8.46,0.875,876.28,1,7.44,0.875,266.38,1,79.68,1,5.8,253.94,0.875
2010,1,1,-12.94,1,873.93,1,10.8,1,232.62,1,71.43,1,10.75,232.56,1
